episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1114,60.81565575819663,61.5955596578648,48.29054967454462,49.02073145560672,0.7799038996681702,0.7301817810621003,1.0680955344212308,0.007799038996681702,0.007301817810621003,0.0075504284036513524,12.574828202258075,281,238,600,514,21,21,-27206.095548842583,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529,281,238,600,514,21,21,-27206.095548842583,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529,281,238,600,514,260,21,0,319,217,21,0,276,0.43333333333333335,0.42217898832684825,0.9252669039145908,0.9117647058823529,0.44905008635578586,0.44016227180527384,281,238,-27206.095548842583,100.0,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529
2,0.0,99.5,1105,60.81565575819663,61.29714410584042,48.29054967454462,48.73886446488679,0.4814883476437899,0.4483147903421667,1.0739961250805583,0.0024074417382189493,0.0022415739517108336,0.0023245078449648914,12.558279640953629,230,184,606,499,20,12,-27450.045474641316,0.3795379537953795,0.3687374749498998,0.9130434782608696,0.9347826086956522,511,422,1206,1013,41,33,-54656.1410234839,0.42371475953565507,0.4165844027640671,0.9197651663405089,0.9218009478672986,230,184,606,499,210,20,0,376,172,12,0,315,0.3465346534653465,0.34468937875751504,0.9130434782608695,0.9347826086956522,0.3583617747440273,0.3531827515400411,230,184,-27450.045474641316,200.0,0.42371475953565507,0.4165844027640671,0.9197651663405089,0.9218009478672986
3,0.0,99.5,1032,60.81565575819663,61.194037932437105,48.29054967454462,48.63414520057082,0.37838217424047826,0.34359552602619914,1.1012430185474145,0.0012612739141349275,0.0011453184200873304,0.001203296167111129,12.559892731866285,166,137,585,447,11,14,-25938.71015367177,0.28376068376068375,0.30648769574944074,0.9337349397590361,0.8978102189781022,677,559,1791,1460,52,47,-80594.85117715567,0.378001116694584,0.38287671232876713,0.9231905465288035,0.9159212880143113,166,137,585,447,155,11,0,419,123,14,0,310,0.26495726495726496,0.2751677852348993,0.9337349397590361,0.8978102189781022,0.2700348432055749,0.2840646651270208,166,137,-25938.71015367177,300.0,0.378001116694584,0.38287671232876713,0.9231905465288035,0.9159212880143113
4,0.0,99.5,1021,60.81565575819663,61.13934545761931,48.29054967454462,48.51464695891067,0.32368969942267967,0.2240972843660458,1.4444159836134258,0.0008092242485566992,0.0005602432109151146,0.0006847337297359069,12.62469849870864,120,117,563,458,12,11,-26167.5889634411,0.21314387211367672,0.2554585152838428,0.9,0.905982905982906,797,676,2354,1918,64,58,-106762.44014059677,0.33857264231096007,0.3524504692387904,0.9196988707653702,0.9142011834319527,120,117,563,458,108,12,0,443,106,11,0,341,0.19182948490230906,0.2314410480349345,0.9,0.905982905982906,0.19600725952813067,0.2371364653243848,120,117,-26167.5889634411,400.0,0.33857264231096007,0.3524504692387904,0.9196988707653702,0.9142011834319527
5,0.0,99.5,1040,60.81565575819663,61.188321289090595,48.29054967454462,48.622773104173696,0.37266553089396837,0.3322234296290745,1.1217316349724258,0.0007453310617879368,0.000664446859258149,0.0007048889605230429,12.5655481849169,146,113,573,467,10,15,-26788.341087442674,0.2547993019197208,0.24197002141327623,0.9315068493150684,0.8672566371681416,943,789,2927,2385,74,73,-133550.78122803944,0.32217287324906047,0.33081761006289306,0.9215270413573701,0.9074778200253486,146,113,573,467,136,10,0,427,98,15,0,354,0.23734729493891799,0.20985010706638116,0.9315068493150684,0.8672566371681416,0.24156305506216696,0.2168141592920354,146,113,-26788.341087442674,500.0,0.32217287324906047,0.33081761006289306,0.9215270413573701,0.9074778200253486
6,0.0,99.5,1115,60.81565575819663,61.145344098250035,48.29054967454462,48.60365628205739,0.3296883400534085,0.313106607512772,1.0529587435805237,0.0005494805667556809,0.0005218443458546199,0.0005356624563051505,12.541687816192642,158,106,649,466,13,5,-29018.807375782842,0.24345146379044685,0.22746781115879827,0.9177215189873418,0.9528301886792453,1101,895,3576,2851,87,78,-162569.58860382228,0.30788590604026844,0.3139249386180288,0.9209809264305178,0.9128491620111732,158,106,649,466,145,13,0,491,101,5,0,360,0.22342064714946072,0.2167381974248927,0.9177215189873418,0.9528301886792453,0.2279874213836478,0.21908893709327548,158,106,-29018.807375782842,600.0,0.30788590604026844,0.3139249386180288,0.9209809264305178,0.9128491620111732
7,0.0,99.5,1067,60.81565575819663,61.22206434812938,48.29054967454462,48.58400832829475,0.4064085899327523,0.2934586537501289,1.38489216364632,0.0005805836999039319,0.00041922664821446987,0.0004999051740592009,12.638056019834629,140,100,605,462,8,7,-28222.435874262657,0.23140495867768596,0.21645021645021645,0.9428571428571428,0.9299999999999999,1241,995,4181,3313,95,85,-190792.02447808493,0.29681894283664195,0.30033202535466347,0.9234488315874295,0.914572864321608,140,100,605,462,132,8,0,465,93,7,0,362,0.21818181818181817,0.2012987012987013,0.9428571428571428,0.93,0.22110552763819097,0.2043956043956044,140,100,-28222.435874262657,700.0,0.29681894283664195,0.30033202535466347,0.9234488315874295,0.914572864321608
8,0.0,99.5,1077,60.81565575819663,61.15932330071295,48.29054967454462,48.614295981319465,0.3436675425163216,0.3237463067748436,1.0615334764431232,0.000429584428145402,0.0004046828834685545,0.00041713365580697825,12.545027319393483,150,161,560,517,11,17,-28659.5061776875,0.26785714285714285,0.3114119922630561,0.9266666666666666,0.8944099378881988,1391,1156,4741,3830,106,102,-219451.53065577243,0.2933980172959291,0.3018276762402089,0.9237958303378864,0.9117647058823529,150,161,560,517,139,11,0,410,144,17,0,356,0.24821428571428572,0.27852998065764023,0.9266666666666666,0.8944099378881988,0.25318761384335153,0.288,150,161,-28659.5061776875,800.0,0.2933980172959291,0.3018276762402089,0.9237958303378864,0.9117647058823529
9,0.0,99.5,1090,60.81565575819663,61.149367508892084,48.29054967454462,48.597025009795296,0.333711750695457,0.30647533525067416,1.0888698446891507,0.0003707908341060633,0.00034052815027852686,0.0003556594921922951,12.552342499096788,150,112,605,485,7,11,-29192.407718242728,0.24793388429752067,0.2309278350515464,0.9533333333333334,0.9017857142857143,1541,1268,5346,4315,113,113,-248643.93837401515,0.2882528993640105,0.29385863267670914,0.926670992861778,0.9108832807570978,150,112,605,485,143,7,0,455,101,11,0,373,0.23636363636363636,0.20824742268041238,0.9533333333333334,0.9017857142857143,0.2391304347826087,0.21308016877637131,150,112,-29192.407718242728,900.0,0.2882528993640105,0.29385863267670914,0.926670992861778,0.9108832807570978
10,0.0,99.5,1125,60.81565575819663,61.251140992283666,48.29054967454462,48.5443605162668,0.43548523408703943,0.2538108417221778,1.715786572126509,0.0004354852340870394,0.00025381084172217784,0.0003446480379046086,12.706780476016867,166,134,638,487,13,13,-30681.76458246594,0.2601880877742947,0.2751540041067762,0.9216867469879518,0.9029850746268657,1707,1402,5984,4802,126,126,-279325.7029564811,0.2852606951871658,0.29196168263223654,0.9261862917398945,0.9101283880171184,166,134,638,487,153,13,0,472,121,13,0,353,0.23981191222570533,0.24845995893223818,0.9216867469879518,0.9029850746268657,0.2448,0.2552742616033755,166,134,-30681.76458246594,1000.0,0.2852606951871658,0.29196168263223654,0.9261862917398945,0.9101283880171184
