episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1114,60.81565575819663,61.5955596578648,48.29054967454462,49.02073145560672,0.7799038996681702,0.7301817810621003,1.0680955344212308,0.007799038996681702,0.007301817810621003,0.0075504284036513524,12.574828202258075,281,238,600,514,21,21,109415.87931717315,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529,281,238,600,514,21,21,109415.87931717315,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529,281,238,600,514,260,21,0,319,217,21,0,276,0.43333333333333335,0.42217898832684825,0.9252669039145908,0.9117647058823529,0.44905008635578586,0.44016227180527384,281,238,109415.87931717315,100.0,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529
2,0.0,99.5,1147,60.81565575819663,61.79117852536517,48.29054967454462,49.10265318638472,0.9755227671685418,0.8121035118400997,1.2012295882801438,0.004877613835842709,0.004060517559200498,0.004469065697521603,12.688525338980448,364,295,642,505,34,19,114175.24432728832,0.5669781931464174,0.5841584158415841,0.9065934065934066,0.9355932203389831,645,533,1242,1019,55,40,223591.12364446148,0.5193236714975845,0.5230618253189402,0.9147286821705426,0.924953095684803,364,295,642,505,330,34,0,278,276,19,0,210,0.514018691588785,0.5465346534653466,0.9065934065934066,0.9355932203389831,0.5427631578947368,0.5679012345679012,364,295,114175.24432728832,200.0,0.5193236714975845,0.5230618253189402,0.9147286821705426,0.924953095684803
3,0.0,99.5,1066,60.81565575819663,61.88703481378292,48.29054967454462,49.14405271577626,1.0713790555862914,0.8535030412316402,1.2552726865978674,0.0035712635186209716,0.0028450101374388006,0.0032081368280298863,12.742982098006657,390,318,583,483,35,25,107439.56529408606,0.6689536878216124,0.6583850931677019,0.9102564102564102,0.9213836477987422,1035,851,1825,1502,90,65,331030.6889385475,0.5671232876712329,0.566577896138482,0.9130434782608696,0.9236192714453584,390,318,583,483,355,35,0,193,293,25,0,165,0.6089193825042881,0.6066252587991718,0.9102564102564102,0.9213836477987422,0.6478102189781022,0.6397379912663755,390,318,107439.56529408606,300.0,0.5671232876712329,0.566577896138482,0.9130434782608696,0.9236192714453584
4,0.0,99.5,1094,60.81565575819663,61.980588957134316,48.29054967454462,49.260627473354184,1.164933198937689,0.9700777988095624,1.2008657453734586,0.0029123329973442225,0.002425194497023906,0.002668763747184064,12.719961483780132,435,365,595,499,34,30,111599.67475889709,0.7310924369747899,0.7314629258517034,0.9218390804597701,0.9178082191780822,1470,1216,2420,2001,124,95,442630.3636974446,0.6074380165289256,0.607696151924038,0.9156462585034013,0.921875,435,365,595,499,401,34,0,160,335,30,0,134,0.6739495798319328,0.6713426853707415,0.9218390804597701,0.9178082191780822,0.714795008912656,0.7142857142857143,435,365,111599.67475889709,400.0,0.6074380165289256,0.607696151924038,0.9156462585034013,0.921875
5,0.0,99.5,1107,60.81565575819663,62.125482757949534,48.29054967454462,49.37433222329341,1.3098269997529073,1.0837825487487862,1.2085699306240782,0.0026196539995058145,0.0021675650974975723,0.0023936095485016934,12.751150534656126,424,393,599,508,36,24,114018.66022305598,0.7078464106844741,0.7736220472440944,0.9150943396226415,0.9389312977099237,1894,1609,3019,2509,160,119,556649.0239205007,0.6273600529976814,0.6412913511359107,0.9155227032734953,0.9260410192666252,424,393,599,508,388,36,0,175,369,24,0,115,0.6477462437395659,0.7263779527559056,0.9150943396226415,0.9389312977099237,0.6891651865008881,0.762396694214876,424,393,114018.66022305598,500.0,0.6273600529976814,0.6412913511359107,0.9155227032734953,0.9260410192666252
6,0.0,99.5,1202,60.81565575819663,62.20780753947767,48.29054967454462,49.3429634105245,1.3921517812810436,1.0524137359798758,1.3228179504753863,0.0023202529688017394,0.001754022893299793,0.002037137931050766,12.864844128953173,525,401,673,529,49,32,124944.36429726308,0.7800891530460624,0.7580340264650284,0.9066666666666666,0.9201995012468828,2419,2010,3692,3038,209,151,681593.3882177637,0.6552004333694474,0.6616194865042792,0.9136006614303431,0.9248756218905473,525,401,673,529,476,49,0,148,369,32,0,128,0.7072808320950966,0.6975425330812854,0.9066666666666666,0.9201995012468828,0.7628205128205128,0.7424547283702213,525,401,124944.36429726308,600.0,0.6552004333694474,0.6616194865042792,0.9136006614303431,0.9248756218905473
7,0.0,99.5,1111,60.81565575819663,62.27883191675342,48.29054967454462,49.42587528085148,1.4631761585567915,1.135325606306857,1.2887722697600485,0.002090251655081131,0.0016218937232955102,0.0018560726891883204,12.85295663590194,488,387,620,491,52,25,116808.57506008781,0.7870967741935484,0.7881873727087576,0.8934426229508197,0.9354005167958657,2907,2397,4312,3529,261,176,798401.9632778516,0.674165120593692,0.6792292434117314,0.9102167182662538,0.9265748852732583,488,387,620,491,436,52,0,132,362,25,0,104,0.7032258064516129,0.7372708757637475,0.8934426229508197,0.9354005167958657,0.7676056338028169,0.776824034334764,488,387,116808.57506008781,700.0,0.674165120593692,0.6792292434117314,0.9102167182662538,0.9265748852732583
8,0.0,99.5,1136,60.81565575819663,62.086784916127584,48.29054967454462,49.536530972886766,1.2711291579309574,1.2459812983421443,1.0201831758006912,0.0015889114474136967,0.0015574766229276805,0.0015731940351706886,12.550253943240818,491,416,607,529,34,31,120800.35422351203,0.8088962108731467,0.7863894139886578,0.9307535641547862,0.9254807692307693,3398,2813,4919,4058,295,207,919202.3175013636,0.6907908111404757,0.6931986200098571,0.9131842260153031,0.9264130821187344,491,416,607,529,457,34,0,116,385,31,0,113,0.7528830313014827,0.7277882797731569,0.9307535641547862,0.9254807692307693,0.7975567190226877,0.7730923694779116,491,416,120800.35422351203,800.0,0.6907908111404757,0.6931986200098571,0.9131842260153031,0.9264130821187344
9,0.0,99.5,1141,60.81565575819663,62.23480394694442,48.29054967454462,49.35332420309213,1.4191481887477906,1.0627745285475072,1.3353238628021495,0.0015768313208308785,0.001180860587275008,0.0013788459540529433,12.881479743852289,499,412,628,513,51,36,122371.90840263563,0.7945859872611465,0.8031189083820662,0.8977955911823647,0.912621359223301,3897,3225,5547,4571,346,243,1041574.2259039992,0.7025419145484045,0.7055348938963028,0.9112137541698743,0.9246511627906977,499,412,628,513,448,51,0,129,376,36,0,101,0.7133757961783439,0.732943469785575,0.8977955911823647,0.912621359223301,0.7764298093587522,0.7882599580712788,499,412,122371.90840263563,900.0,0.7025419145484045,0.7055348938963028,0.9112137541698743,0.9246511627906977
10,0.0,99.5,1208,60.81565575819663,62.24270450349971,48.29054967454462,49.42419282181675,1.4270487453030825,1.1336431472721316,1.2588165409343923,0.0014270487453030825,0.0011336431472721315,0.0012803459462876069,12.818511681682956,552,432,677,531,46,36,130786.04231758516,0.8153618906942393,0.8135593220338984,0.9166666666666666,0.9166666666666666,4449,3657,6224,5102,392,279,1172360.2682215844,0.7148136246786633,0.7167777342218737,0.9118903124297595,0.9237079573420837,552,432,677,531,506,46,0,125,396,36,0,99,0.7474150664697193,0.7457627118644068,0.9166666666666666,0.9166666666666666,0.8019017432646592,0.8,552,432,130786.04231758516,1000.0,0.7148136246786633,0.7167777342218737,0.9118903124297595,0.9237079573420837
