episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1114,60.81565575819663,61.5955596578648,48.29054967454462,49.02073145560672,0.7799038996681702,0.7301817810621003,1.0680955344212308,0.007799038996681702,0.007301817810621003,0.0075504284036513524,12.574828202258075,281,238,600,514,21,21,245595.55429895376,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529,281,238,600,514,21,21,245595.55429895376,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529,281,238,600,514,260,21,0,319,217,21,0,276,0.43333333333333335,0.42217898832684825,0.9252669039145908,0.9117647058823529,0.44905008635578586,0.44016227180527384,281,238,245595.55429895376,100.0,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529
2,0.0,99.5,1147,60.81565575819663,61.79117852536517,48.29054967454462,49.10265318638472,0.9755227671685418,0.8121035118400997,1.2012295882801438,0.004877613835842709,0.004060517559200498,0.004469065697521603,12.688525338980448,364,295,642,505,34,19,255938.66280252388,0.5669781931464174,0.5841584158415841,0.9065934065934066,0.9355932203389831,645,533,1242,1019,55,40,501534.21710147767,0.5193236714975845,0.5230618253189402,0.9147286821705426,0.924953095684803,364,295,642,505,330,34,0,278,276,19,0,210,0.514018691588785,0.5465346534653466,0.9065934065934066,0.9355932203389831,0.5427631578947368,0.5679012345679012,364,295,255938.66280252388,200.0,0.5193236714975845,0.5230618253189402,0.9147286821705426,0.924953095684803
3,0.0,99.5,1066,60.81565575819663,61.88703481378292,48.29054967454462,49.14405271577626,1.0713790555862914,0.8535030412316402,1.2552726865978674,0.0035712635186209716,0.0028450101374388006,0.0032081368280298863,12.742982098006657,390,318,583,483,35,25,240543.30645311897,0.6689536878216124,0.6583850931677019,0.9102564102564102,0.9213836477987422,1035,851,1825,1502,90,65,742077.5235545966,0.5671232876712329,0.566577896138482,0.9130434782608696,0.9236192714453584,390,318,583,483,355,35,0,193,293,25,0,165,0.6089193825042881,0.6066252587991718,0.9102564102564102,0.9213836477987422,0.6478102189781022,0.6397379912663755,390,318,240543.30645311897,300.0,0.5671232876712329,0.566577896138482,0.9130434782608696,0.9236192714453584
4,0.0,99.5,1094,60.81565575819663,61.980588957134316,48.29054967454462,49.260627473354184,1.164933198937689,0.9700777988095624,1.2008657453734586,0.0029123329973442225,0.002425194497023906,0.002668763747184064,12.719961483780132,435,365,595,499,34,30,249660.14067671605,0.7310924369747899,0.7314629258517034,0.9218390804597701,0.9178082191780822,1470,1216,2420,2001,124,95,991737.6642313127,0.6074380165289256,0.607696151924038,0.9156462585034013,0.921875,435,365,595,499,401,34,0,160,335,30,0,134,0.6739495798319328,0.6713426853707415,0.9218390804597701,0.9178082191780822,0.714795008912656,0.7142857142857143,435,365,249660.14067671605,400.0,0.6074380165289256,0.607696151924038,0.9156462585034013,0.921875
5,0.0,99.5,1097,60.81565575819663,61.99834163957413,48.29054967454462,49.238385996957405,1.1826858813775019,0.9478363224127833,1.247774381938532,0.002365371762755004,0.0018956726448255666,0.002130522203790285,12.759955642616724,464,348,606,491,46,26,252838.35861294632,0.7656765676567657,0.7087576374745418,0.9008620689655172,0.9252873563218391,1934,1564,3026,2492,170,121,1244576.022844259,0.6391275611368142,0.6276083467094703,0.9120992761116856,0.9226342710997443,464,348,606,491,418,46,0,142,322,26,0,143,0.6897689768976898,0.6558044806517311,0.9008620689655172,0.9252873563218391,0.7464285714285714,0.6924731182795699,464,348,252838.35861294632,500.0,0.6391275611368142,0.6276083467094703,0.9120992761116856,0.9226342710997443
6,0.0,99.5,1175,60.81565575819663,62.136202578431444,48.29054967454462,49.34648138893417,1.3205468202348172,1.0559317143895512,1.2505986914108775,0.0022009113670580288,0.001759886190649252,0.0019803987788536404,12.789721189497271,484,411,650,525,37,30,273862.3500525427,0.7446153846153846,0.7828571428571428,0.9235537190082644,0.927007299270073,2418,1975,3676,3017,207,151,1518438.3728968017,0.6577801958650707,0.6546237984753066,0.9143920595533499,0.9235443037974683,484,411,650,525,447,37,0,166,381,30,0,114,0.6876923076923077,0.7257142857142858,0.9235537190082644,0.927007299270073,0.7292006525285482,0.7696969696969697,484,411,273862.3500525427,600.0,0.6577801958650707,0.6546237984753066,0.9143920595533499,0.9235443037974683
7,0.0,99.5,1120,60.81565575819663,62.08369384893007,48.29054967454462,49.401240629754206,1.268038090733441,1.1106909552095843,1.1416659915936433,0.0018114829867620585,0.0015867013645851204,0.0016990921756735895,12.682453219175862,483,375,628,492,40,32,263700.2399679152,0.7691082802547771,0.7621951219512195,0.917184265010352,0.9146666666666666,2901,2350,4304,3509,247,183,1782138.612864717,0.6740241635687733,0.6697064690795098,0.9148569458807307,0.9221276595744681,483,375,628,492,443,40,0,145,343,32,0,117,0.7054140127388535,0.6971544715447154,0.917184265010352,0.9146666666666666,0.7534013605442177,0.7456521739130435,483,375,263700.2399679152,700.0,0.6740241635687733,0.6697064690795098,0.9148569458807307,0.9221276595744681
8,0.0,99.5,1139,60.81565575819663,62.03892495235895,48.29054967454462,49.484221331860454,1.2232691941623202,1.1936716573158321,1.0247953753991639,0.0015290864927029002,0.0014920895716447901,0.0015105880321738452,12.554703620498493,470,421,609,530,34,33,271048.980618732,0.7717569786535303,0.7943396226415095,0.9276595744680851,0.9216152019002375,3371,2771,4913,4039,281,216,2053187.593483449,0.6861388153877468,0.6860609061648923,0.9166419460100861,0.9220498015156983,470,421,609,530,436,34,0,139,388,33,0,109,0.715927750410509,0.7320754716981132,0.9276595744680851,0.9216152019002375,0.7582608695652174,0.7806841046277666,470,421,271048.980618732,800.0,0.6861388153877468,0.6860609061648923,0.9166419460100861,0.9220498015156983
9,0.0,99.5,1142,60.81565575819663,62.32388852686794,48.29054967454462,49.41659619019446,1.5082327686713128,1.1260465156498398,1.3394053866424105,0.00167581418741257,0.0012511627951664888,0.0014634884912895292,12.907292336673478,521,398,639,503,45,35,274709.78112915624,0.8153364632237872,0.7912524850894632,0.9136276391554703,0.9120603015075377,3892,3169,5552,4542,326,251,2327897.374612605,0.7010086455331412,0.697710259797446,0.9162384378211716,0.9207952035342379,521,398,639,503,476,45,0,118,363,35,0,105,0.7449139280125195,0.7216699801192843,0.9136276391554703,0.9120603015075377,0.8013468013468014,0.7756410256410257,521,398,274709.78112915624,900.0,0.7010086455331412,0.697710259797446,0.9162384378211716,0.9207952035342379
10,0.0,99.5,1207,60.81565575819663,62.26541771624528,48.29054967454462,49.51228185366707,1.4497619580486543,1.2217321791224478,1.1866446532414305,0.0014497619580486542,0.0012217321791224479,0.001335747068585551,12.753135862578212,550,429,671,536,49,42,293295.5909041932,0.819672131147541,0.8003731343283582,0.9109090909090909,0.9020979020979021,4442,3598,6223,5078,375,293,2621192.965516798,0.713803631688896,0.708546671918078,0.9155785682125169,0.9185658699277376,550,429,671,536,501,49,0,121,387,42,0,107,0.7466467958271237,0.7220149253731343,0.9109090909090909,0.9020979020979021,0.8054662379421221,0.7834008097165992,550,429,293295.5909041932,1000.0,0.713803631688896,0.708546671918078,0.9155785682125169,0.9185658699277376
