episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1114,60.81565575819663,61.5955596578648,48.29054967454462,49.02073145560672,0.7799038996681702,0.7301817810621003,1.0680955344212308,0.007799038996681702,0.007301817810621003,0.0075504284036513524,12.574828202258075,281,238,600,514,21,21,-27333.78277127006,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529,281,238,600,514,21,21,-27333.78277127006,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529,281,238,600,514,260,21,0,319,217,21,0,276,0.43333333333333335,0.42217898832684825,0.9252669039145908,0.9117647058823529,0.44905008635578586,0.44016227180527384,281,238,-27333.78277127006,100.0,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529
2,0.0,99.5,1105,60.81565575819663,61.29714410584042,48.29054967454462,48.74004289679497,0.4814883476437899,0.4494932222503465,1.0711804401260219,0.0024074417382189493,0.0022474661112517323,0.0023274539247353405,12.557101209045449,230,184,606,499,20,12,-27606.696320266532,0.3795379537953795,0.3687374749498998,0.9130434782608696,0.9347826086956522,511,422,1206,1013,41,33,-54940.47909153659,0.42371475953565507,0.4165844027640671,0.9197651663405089,0.9218009478672986,230,184,606,499,210,20,0,376,172,12,0,315,0.3465346534653465,0.34468937875751504,0.9130434782608695,0.9347826086956522,0.3583617747440273,0.3531827515400411,230,184,-27606.696320266532,200.0,0.42371475953565507,0.4165844027640671,0.9197651663405089,0.9218009478672986
3,0.0,99.5,1032,60.81565575819663,61.194037932437105,48.29054967454462,48.63414520057082,0.37838217424047826,0.34359552602619914,1.1012430185474145,0.0012612739141349275,0.0011453184200873304,0.001203296167111129,12.559892731866285,166,137,585,447,11,14,-26168.934277690445,0.28376068376068375,0.30648769574944074,0.9337349397590361,0.8978102189781022,677,559,1791,1460,52,47,-81109.41336922703,0.378001116694584,0.38287671232876713,0.9231905465288035,0.9159212880143113,166,137,585,447,155,11,0,419,123,14,0,310,0.26495726495726496,0.2751677852348993,0.9337349397590361,0.8978102189781022,0.2700348432055749,0.2840646651270208,166,137,-26168.934277690445,300.0,0.378001116694584,0.38287671232876713,0.9231905465288035,0.9159212880143113
4,0.0,99.5,1016,60.81565575819663,61.13623918240789,48.29054967454462,48.55730621067629,0.3205834242112644,0.26675653613166617,1.201782827368212,0.000801458560528161,0.0006668913403291654,0.0007341749504286633,12.578932971731604,134,120,563,453,12,16,-26033.424059660523,0.23801065719360567,0.26490066225165565,0.9104477611940298,0.8666666666666667,811,679,2354,1913,64,63,-107142.83742888755,0.3445199660152931,0.3549398849973863,0.9210850801479655,0.9072164948453608,134,120,563,453,122,12,0,429,104,16,0,333,0.216696269982238,0.22958057395143489,0.9104477611940298,0.8666666666666667,0.22141560798548093,0.2379862700228833,134,120,-26033.424059660523,400.0,0.3445199660152931,0.3549398849973863,0.9210850801479655,0.9072164948453608
5,0.0,99.5,1041,60.81565575819663,61.19260510533788,48.29054967454462,48.574247930779336,0.37694934714125594,0.28369825623471456,1.3286981462071137,0.0007538986942825119,0.0005673965124694292,0.0006606476033759706,12.618357174558547,158,113,580,461,15,9,-26984.804210221067,0.27241379310344827,0.24511930585683298,0.9050632911392404,0.9203539823008849,969,792,2934,2374,79,72,-134127.64163910862,0.33026584867075665,0.33361415332771693,0.9184726522187823,0.9090909090909091,158,113,580,461,143,15,0,422,104,9,0,348,0.24655172413793103,0.22559652928416485,0.9050632911392406,0.9203539823008849,0.25309734513274335,0.23008849557522124,158,113,-26984.804210221067,500.0,0.33026584867075665,0.33361415332771693,0.9184726522187823,0.9090909090909091
6,0.0,99.5,1103,60.81565575819663,61.16998509350394,48.29054967454462,48.56836330300521,0.3543293353073125,0.2778136284605921,1.2754209981371527,0.0005905488921788541,0.00046302271410098684,0.0005267858031399204,12.601621790498726,143,114,633,470,11,9,-28950.3326663405,0.2259083728278041,0.2425531914893617,0.9230769230769231,0.9210526315789473,1112,906,3567,2844,90,81,-163077.9743054491,0.3117465657415195,0.31856540084388185,0.9190647482014389,0.9105960264900662,143,114,633,470,132,11,0,490,105,9,0,356,0.20853080568720378,0.22340425531914893,0.9230769230769231,0.9210526315789473,0.21221864951768488,0.227765726681128,143,114,-28950.3326663405,600.0,0.3117465657415195,0.31856540084388185,0.9190647482014389,0.9105960264900662
7,0.0,99.5,1052,60.81565575819663,61.14230893877842,48.29054967454462,48.56789560292407,0.3266531805817934,0.2773459283794466,1.1777824988830836,0.0004666474008311334,0.00039620846911349517,0.00043142793497231427,12.574413335854352,140,107,601,451,10,10,-27810.68751047137,0.23294509151414308,0.23725055432372505,0.9285714285714286,0.9065420560747663,1252,1013,4168,3295,100,91,-190888.6618159205,0.30038387715930903,0.30743550834597877,0.9201277955271565,0.9101678183613031,140,107,601,451,130,10,0,461,97,10,0,344,0.21630615640599002,0.21507760532150777,0.9285714285714286,0.9065420560747663,0.21996615905245348,0.2199546485260771,140,107,-27810.68751047137,700.0,0.30038387715930903,0.30743550834597877,0.9201277955271565,0.9101678183613031
8,0.0,99.5,1066,60.81565575819663,61.1741105174106,48.29054967454462,48.61146967825558,0.35845475921396996,0.32092000371095963,1.1169598500217408,0.00044806844901746246,0.00040115000463869955,0.000424609226828081,12.562640839155016,150,134,569,497,11,8,-28459.166489759737,0.26362038664323373,0.26961770623742454,0.9266666666666666,0.9402985074626866,1402,1147,4737,3792,111,99,-219347.82830568025,0.29596791218070506,0.3024789029535865,0.920827389443652,0.9136878814298169,150,134,569,497,139,11,0,419,126,8,0,363,0.24428822495606328,0.2535211267605634,0.9266666666666666,0.9402985074626866,0.24910394265232974,0.25766871165644173,150,134,-28459.166489759737,800.0,0.29596791218070506,0.3024789029535865,0.920827389443652,0.9136878814298169
9,0.0,99.5,1076,60.81565575819663,61.184167396991846,48.29054967454462,48.5437615789293,0.3685116387952192,0.25321190438467767,1.4553487905346623,0.0004094573764391324,0.0002813465604274196,0.000345401968433276,12.640405818062547,143,118,590,486,6,8,-29010.520366430526,0.2423728813559322,0.24279835390946503,0.958041958041958,0.9322033898305084,1545,1265,5327,4278,117,107,-248358.34867211076,0.29003191289656466,0.2956989247311828,0.9242718446601942,0.9154150197628459,143,118,590,486,137,6,0,447,110,8,0,368,0.23220338983050848,0.22633744855967078,0.958041958041958,0.9322033898305084,0.2345890410958904,0.2301255230125523,143,118,-29010.520366430526,900.0,0.29003191289656466,0.2956989247311828,0.9242718446601942,0.9154150197628459
10,0.0,99.5,1130,60.81565575819663,61.214178751913074,48.29054967454462,48.68028849741496,0.3985229937164476,0.389738822870342,1.0225386087570443,0.0003985229937164476,0.000389738822870342,0.00039413090829339484,12.533890254498111,162,128,637,493,19,8,-30739.39776184001,0.2543171114599686,0.25963488843813387,0.8827160493827161,0.9375,1707,1393,5964,4771,136,115,-279097.7464339508,0.28621730382293764,0.29197233284426743,0.9203280609256005,0.9174443646805456,162,128,637,493,143,19,0,475,120,8,0,365,0.22448979591836735,0.2434077079107505,0.8827160493827161,0.9375,0.2313915857605178,0.24742268041237114,162,128,-30739.39776184001,1000.0,0.28621730382293764,0.29197233284426743,0.9203280609256005,0.9174443646805456
