episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1114,60.81565575819663,61.5955596578648,48.29054967454462,49.02073145560672,0.7799038996681702,0.7301817810621003,1.0680955344212308,0.007799038996681702,0.007301817810621003,0.0075504284036513524,12.574828202258075,281,238,600,514,21,21,110402.55768400179,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529,281,238,600,514,21,21,110402.55768400179,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529,281,238,600,514,260,21,0,319,217,21,0,276,0.43333333333333335,0.42217898832684825,0.9252669039145908,0.9117647058823529,0.44905008635578586,0.44016227180527384,281,238,110402.55768400179,100.0,0.4683333333333333,0.46303501945525294,0.9252669039145908,0.9117647058823529
2,0.0,99.5,1147,60.81565575819663,61.79117852536517,48.29054967454462,49.10265318638472,0.9755227671685418,0.8121035118400997,1.2012295882801438,0.004877613835842709,0.004060517559200498,0.004469065697521603,12.688525338980448,364,295,642,505,34,19,115489.12782861077,0.5669781931464174,0.5841584158415841,0.9065934065934066,0.9355932203389831,645,533,1242,1019,55,40,225891.68551261257,0.5193236714975845,0.5230618253189402,0.9147286821705426,0.924953095684803,364,295,642,505,330,34,0,278,276,19,0,210,0.514018691588785,0.5465346534653466,0.9065934065934066,0.9355932203389831,0.5427631578947368,0.5679012345679012,364,295,115489.12782861077,200.0,0.5193236714975845,0.5230618253189402,0.9147286821705426,0.924953095684803
3,0.0,99.5,1066,60.81565575819663,61.88703481378292,48.29054967454462,49.14405271577626,1.0713790555862914,0.8535030412316402,1.2552726865978674,0.0035712635186209716,0.0028450101374388006,0.0032081368280298863,12.742982098006657,390,318,583,483,35,25,108787.51281631153,0.6689536878216124,0.6583850931677019,0.9102564102564102,0.9213836477987422,1035,851,1825,1502,90,65,334679.19832892413,0.5671232876712329,0.566577896138482,0.9130434782608696,0.9236192714453584,390,318,583,483,355,35,0,193,293,25,0,165,0.6089193825042881,0.6066252587991718,0.9102564102564102,0.9213836477987422,0.6478102189781022,0.6397379912663755,390,318,108787.51281631153,300.0,0.5671232876712329,0.566577896138482,0.9130434782608696,0.9236192714453584
4,0.0,99.5,1094,60.81565575819663,61.98058895713432,48.29054967454462,49.260627473354184,1.164933198937696,0.9700777988095624,1.200865745373466,0.0029123329973442403,0.002425194497023906,0.002668763747184073,12.71996148378014,435,365,595,499,34,30,113094.30393840912,0.7310924369747899,0.7314629258517034,0.9218390804597701,0.9178082191780822,1470,1216,2420,2001,124,95,447773.5022673333,0.6074380165289256,0.607696151924038,0.9156462585034013,0.921875,435,365,595,499,401,34,0,160,335,30,0,134,0.6739495798319328,0.6713426853707415,0.9218390804597701,0.9178082191780822,0.714795008912656,0.7142857142857143,435,365,113094.30393840912,400.0,0.6074380165289256,0.607696151924038,0.9156462585034013,0.921875
5,0.0,99.5,1107,60.81565575819663,62.115020884599126,48.29054967454462,49.38100981152326,1.299365126402499,1.090460136978642,1.1915750813254613,0.002598730252804998,0.0021809202739572838,0.0023898252633811406,12.734011073075862,425,396,597,510,37,25,115710.17513270429,0.711892797319933,0.7764705882352941,0.9129411764705883,0.9368686868686869,1895,1612,3017,2511,161,120,563483.6774000375,0.6281073914484587,0.6419753086419753,0.9150395778364117,0.9255583126550868,425,396,597,510,388,37,0,172,371,25,0,114,0.6499162479061976,0.7274509803921568,0.9129411764705883,0.9368686868686869,0.6928571428571428,0.7649484536082474,425,396,115710.17513270429,500.0,0.6281073914484587,0.6419753086419753,0.9150395778364117,0.9255583126550868
6,0.0,99.5,1202,60.81565575819663,62.207807539477685,48.29054967454462,49.3429634105245,1.3921517812810578,1.0524137359798758,1.3228179504753999,0.002320252968801763,0.001754022893299793,0.0020371379310507778,12.864844128953187,525,401,673,529,49,32,126780.01366739157,0.7800891530460624,0.7580340264650284,0.9066666666666666,0.9201995012468828,2420,2013,3690,3040,210,152,690263.6910674291,0.6558265582655827,0.6621710526315789,0.9132231404958677,0.9244908097367114,525,401,673,529,476,49,0,148,369,32,0,128,0.7072808320950966,0.6975425330812854,0.9066666666666666,0.9201995012468828,0.7628205128205128,0.7424547283702213,525,401,126780.01366739157,600.0,0.6558265582655827,0.6621710526315789,0.9132231404958677,0.9244908097367114
7,0.0,99.5,1123,60.81565575819663,62.327154771916454,48.29054967454462,49.36298990016695,1.5114990137198276,1.07244022562233,1.4094016408632144,0.0021592843053140397,0.001532057465174757,0.0018456708852443984,12.964164871749503,496,383,629,494,50,29,119848.81447807826,0.7885532591414944,0.7753036437246964,0.8991935483870968,0.9242819843342036,2916,2396,4319,3534,260,181,810112.5055455074,0.6751562861773559,0.677985285795133,0.9108367626886146,0.924457429048414,496,383,629,494,446,50,0,133,354,29,0,111,0.7090620031796503,0.7165991902834008,0.8991935483870968,0.9242819843342036,0.770293609671848,0.7612903225806451,496,383,119848.81447807826,700.0,0.6751562861773559,0.677985285795133,0.9108367626886146,0.924457429048414
8,0.0,99.5,1130,60.81565575819663,62.14392024280698,48.29054967454462,49.49129504754727,1.3282644846103508,1.200745373002647,1.1061999608533348,0.0016603306057629385,0.0015009317162533087,0.0015806311610081236,12.65262519525971,478,413,610,520,43,37,121904.00340811336,0.7836065573770492,0.7942307692307692,0.9100418410041841,0.910411622276029,3394,2809,4929,4054,303,218,932016.5089536208,0.6885778048285657,0.692895905278737,0.9107248084855628,0.9223923104307583,478,413,610,520,435,43,0,132,376,37,0,107,0.7131147540983607,0.7230769230769231,0.9100418410041841,0.910411622276029,0.7671957671957672,0.7784679089026915,478,413,121904.00340811336,800.0,0.6885778048285657,0.692895905278737,0.9107248084855628,0.9223923104307583
9,0.0,99.5,1147,60.81565575819663,62.23638506523342,48.29054967454462,49.49258987655991,1.420729307036794,1.20204020201529,1.1819316064927436,0.001578588118929771,0.0013356002244614333,0.001457094171695602,12.74379518867351,509,419,633,514,44,34,125021.54433675471,0.8041074249605056,0.8151750972762646,0.9135559921414538,0.918854415274463,3903,3228,5562,4568,347,252,1057038.0532903755,0.7017259978425027,0.7066549912434326,0.9110940302331539,0.9219330855018587,509,419,633,514,465,44,0,124,385,34,0,95,0.7345971563981043,0.7490272373540856,0.9135559921414538,0.918854415274463,0.7894736842105263,0.8020833333333334,509,419,125021.54433675471,900.0,0.7017259978425027,0.7066549912434326,0.9110940302331539,0.9219330855018587
10,0.0,99.5,1208,60.81565575819663,62.36602769834907,48.29054967454462,49.49837189140275,1.550371940152445,1.2078222168581263,1.2836093909461141,0.0015503719401524449,0.0012078222168581264,0.0013790970785052857,12.867655806946324,554,428,678,530,52,43,132986.87496901714,0.8171091445427728,0.8075471698113208,0.9061371841155235,0.8995327102803738,4457,3656,6240,5098,399,295,1190024.9282593927,0.7142628205128205,0.7171439780306003,0.9104778999326901,0.9193107221006565,554,428,678,530,502,52,0,124,385,43,0,102,0.7404129793510325,0.7264150943396226,0.9061371841155235,0.8995327102803738,0.8019169329073482,0.7905544147843943,554,428,132986.87496901714,1000.0,0.7142628205128205,0.7171439780306003,0.9104778999326901,0.9193107221006565
