episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1152,60.81565575819663,61.61731701105513,48.29054967454462,48.84060264897659,0.8016612528585014,0.5500529744319707,1.4574255392153126,0.008016612528585014,0.005500529744319706,0.0067585711364523595,12.776714362078536,310,244,627,525,31,20,254864.7015890479,0.4944178628389155,0.46476190476190476,0.9,0.9180327868852459,310,244,627,525,31,20,254864.7015890479,0.4944178628389155,0.46476190476190476,0.9,0.9180327868852459,310,244,627,525,279,31,0,317,224,20,0,281,0.4449760765550239,0.4266666666666667,0.9,0.9180327868852459,0.46812080536912754,0.44356435643564357,310,244,254864.7015890479,100.0,0.4944178628389155,0.46476190476190476,0.9,0.9180327868852459
2,0.0,99.5,1153,60.81565575819663,61.73193727500791,48.29054967454462,48.964682972809406,0.9162815168112814,0.6741332982647847,1.3591993143934364,0.004581407584056407,0.003370666491323924,0.003976037037690165,12.767254302198502,326,280,634,519,28,20,258070.87566261948,0.5141955835962145,0.5394990366088632,0.9141104294478528,0.9285714285714286,636,524,1261,1044,59,40,512935.5772516674,0.5043616177636796,0.5019157088122606,0.9072327044025157,0.9236641221374046,326,280,634,519,298,28,0,308,260,20,0,239,0.47003154574132494,0.5009633911368016,0.9141104294478528,0.9285714285714286,0.49174917491749176,0.5210420841683366,326,280,258070.87566261948,200.0,0.5043616177636796,0.5019157088122606,0.9072327044025157,0.9236641221374046
3,0.0,99.5,1052,60.81565575819663,61.71404282099028,48.29054967454462,49.040661520897395,0.8983870627936525,0.7501118463527732,1.1976708102422722,0.0029946235426455085,0.0025003728211759105,0.0027474981819107097,12.673381300092885,324,256,594,458,21,19,238142.56500216416,0.5454545454545454,0.5589519650655022,0.9351851851851852,0.92578125,960,780,1855,1502,80,59,751078.1422538315,0.5175202156334232,0.5193075898801598,0.9166666666666666,0.9243589743589744,324,256,594,458,303,21,0,270,237,19,0,202,0.51010101010101,0.517467248908297,0.9351851851851852,0.92578125,0.5287958115183246,0.5398633257403189,324,256,238142.56500216416,300.0,0.5175202156334232,0.5193075898801598,0.9166666666666666,0.9243589743589744
4,0.0,99.5,1128,60.81565575819663,61.82169124125285,48.29054967454462,49.060307740642585,1.0060354830562233,0.7697580660979639,1.3069502319813162,0.002515088707640558,0.0019243951652449097,0.002219741936442734,12.761383500610265,374,295,630,498,32,29,258210.6745382738,0.5936507936507937,0.5923694779116466,0.9144385026737968,0.9016949152542373,1334,1075,2485,2000,112,88,1009288.8167921053,0.53682092555332,0.5375,0.9160419790104948,0.9181395348837209,374,295,630,498,342,32,0,256,266,29,0,203,0.5428571428571428,0.5341365461847389,0.9144385026737968,0.9016949152542373,0.5719063545150501,0.5671641791044776,374,295,258210.6745382738,400.0,0.53682092555332,0.5375,0.9160419790104948,0.9181395348837209
5,0.0,99.5,1093,60.81565575819663,61.784674239484204,48.29054967454462,49.03031877572172,0.9690184812875771,0.7397691011770959,1.3098931541554075,0.001938036962575154,0.0014795382023541919,0.001708787582464673,12.754355463762487,358,271,616,477,26,31,252616.92755206046,0.5811688311688312,0.5681341719077568,0.9273743016759777,0.8856088560885609,1692,1346,3101,2477,138,119,1261905.7443441658,0.54563044179297,0.5433992733144933,0.9184397163120568,0.9115898959881129,358,271,616,477,332,26,0,258,240,31,0,206,0.538961038961039,0.5031446540880503,0.9273743016759777,0.8856088560885609,0.5627118644067797,0.5381165919282511,358,271,252616.92755206046,500.0,0.54563044179297,0.5433992733144933,0.9184397163120568,0.9115898959881129
6,0.0,99.5,1097,60.81565575819663,61.70721557272183,48.29054967454462,49.13282972758648,0.8915598145252019,0.8422800530418613,1.0585075727548916,0.0014859330242086698,0.001403800088403102,0.0014448665563058859,12.574385845135346,370,321,596,501,31,26,256084.1875899698,0.6208053691275168,0.6407185628742516,0.9162162162162162,0.9190031152647975,2062,1667,3697,2978,169,145,1517989.9319341355,0.5577495266432242,0.5597716588314305,0.9180407371483996,0.9130173965206958,370,321,596,501,339,31,0,226,295,26,0,180,0.5687919463087249,0.5888223552894212,0.9162162162162162,0.9190031152647975,0.6,0.6210526315789474,370,321,256084.1875899698,600.0,0.5577495266432242,0.5597716588314305,0.9180407371483996,0.9130173965206958
7,0.0,99.5,1187,60.81565575819663,61.793555061271135,48.29054967454462,49.268165642062336,0.9778993030745085,0.9776159675177141,1.0002898229634218,0.001396999004392155,0.0013965942393110201,0.0013967966218515876,12.5253894192088,367,344,629,558,37,29,279998.27673851,0.5834658187599364,0.6164874551971327,0.8991825613079019,0.9156976744186046,2429,2011,4326,3536,206,174,1797988.2086726455,0.5614886731391586,0.5687217194570136,0.9151914368052696,0.91347588264545,367,344,629,558,330,37,0,262,315,29,0,214,0.5246422893481717,0.5645161290322581,0.8991825613079019,0.9156976744186046,0.5574324324324325,0.5954631379962193,367,344,279998.27673851,700.0,0.5614886731391586,0.5687217194570136,0.9151914368052696,0.91347588264545
8,0.0,99.5,1116,60.81565575819663,61.764676588006026,48.29054967454462,49.14953596223349,0.949020829809399,0.8589862876888716,1.1048148770369408,0.0011862760372617486,0.0010737328596110895,0.001130004448436419,12.615140625772533,363,313,593,523,32,21,265610.564634715,0.612141652613828,0.5984703632887189,0.9118457300275482,0.9329073482428115,2792,2324,4919,4059,238,195,2063598.7733073605,0.5675950396422037,0.5725548164572555,0.914756446991404,0.9160929432013769,363,313,593,523,331,32,0,230,292,21,0,210,0.5581787521079258,0.5583173996175909,0.9118457300275482,0.9329073482428115,0.5900178253119429,0.5816733067729084,363,313,265610.564634715,800.0,0.5675950396422037,0.5725548164572555,0.914756446991404,0.9160929432013769
9,0.0,99.5,1096,60.81565575819663,61.68529553082361,48.29054967454462,49.0967780520189,0.8696397726269822,0.8062283774742767,1.0786519017742324,0.0009662664140299802,0.0008958093083047519,0.000931037861167366,12.588517478804711,345,304,582,514,28,31,263312.3989662807,0.5927835051546392,0.5914396887159533,0.9188405797101449,0.8980263157894737,3137,2628,5501,4573,266,226,2326911.172273641,0.5702599527358662,0.5746774546249727,0.9152056104558496,0.9140030441400304,345,304,582,514,317,28,0,237,273,31,0,210,0.5446735395189003,0.5311284046692607,0.9188405797101449,0.8980263157894737,0.572202166064982,0.5652173913043478,345,304,263312.3989662807,900.0,0.5702599527358662,0.5746774546249727,0.9152056104558496,0.9140030441400304
10,0.0,99.5,1078,60.81565575819663,61.70641266827012,48.29054967454462,48.998820817756624,0.8907569100734918,0.7082711432120021,1.2576495860524808,0.0008907569100734918,0.0007082711432120022,0.0007995140266427469,12.707591850513495,347,296,583,495,23,26,261592.1463038219,0.5951972555746141,0.597979797979798,0.9337175792507204,0.9121621621621622,3484,2924,6084,5068,289,252,2588503.318577463,0.5726495726495726,0.5769534333070244,0.9170493685419059,0.9138166894664843,347,296,583,495,324,23,0,236,270,26,0,199,0.5557461406518011,0.5454545454545454,0.9337175792507204,0.9121621621621622,0.5785714285714286,0.5756929637526652,347,296,261592.1463038219,1000.0,0.5726495726495726,0.5769534333070244,0.9170493685419059,0.9138166894664843
