episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1152,60.81565575819663,61.61731701105513,48.29054967454462,48.84060264897659,0.8016612528585014,0.5500529744319707,1.4574255392153126,0.008016612528585014,0.005500529744319706,0.0067585711364523595,12.776714362078536,310,244,627,525,31,20,850.5555788777873,0.4944178628389155,0.46476190476190476,0.9,0.9180327868852459,310,244,627,525,31,20,850.5555788777873,0.4944178628389155,0.46476190476190476,0.9,0.9180327868852459,310,244,627,525,279,31,0,317,224,20,0,281,0.4449760765550239,0.4266666666666667,0.9,0.9180327868852459,0.46812080536912754,0.44356435643564357,310,244,850.5555788777873,100.0,0.4944178628389155,0.46476190476190476,0.9,0.9180327868852459
2,0.0,99.5,1161,60.81565575819663,61.79489959762015,48.29054967454462,49.01926829467832,0.9792438394235248,0.7287186201336979,1.3437886893076274,0.004896219197117624,0.0036435931006684897,0.004269906148893056,12.775631302941832,315,301,635,526,24,22,927.8471424715657,0.49606299212598426,0.5722433460076045,0.9238095238095239,0.9269102990033222,625,545,1262,1051,55,42,1778.402721349353,0.49524564183835185,0.5185537583254044,0.912,0.9229357798165138,315,301,635,526,291,24,0,320,279,22,0,225,0.4582677165354331,0.5304182509505704,0.9238095238095239,0.9269102990033222,0.4762684124386252,0.5535714285714286,315,301,927.8471424715657,200.0,0.49524564183835185,0.5185537583254044,0.912,0.9229357798165138
3,0.0,99.5,1054,60.81565575819663,61.66292294670457,48.29054967454462,48.92404771338874,0.8472671885079421,0.6334980388441167,1.3374424805700575,0.0028242239616931403,0.002111660129480389,0.0024679420455867647,12.73887523331583,365,267,604,450,29,21,929.9241106920449,0.6043046357615894,0.5933333333333334,0.9205479452054794,0.9213483146067416,990,812,1866,1501,84,63,2708.326832041398,0.5305466237942122,0.5409726848767489,0.9151515151515152,0.9224137931034483,365,267,604,450,336,29,0,239,246,21,0,183,0.5562913907284768,0.5466666666666666,0.9205479452054794,0.9213483146067416,0.5843478260869566,0.5734265734265734,365,267,929.9241106920449,300.0,0.5305466237942122,0.5409726848767489,0.9151515151515152,0.9224137931034483
4,0.0,99.5,1120,60.81565575819663,61.84277373667687,48.29054967454462,49.00866322501273,1.0271179784802413,0.7181135504681109,1.430300232895901,0.0025677949462006035,0.0017952838761702771,0.0021815394111854404,12.834110511664136,386,300,633,487,28,28,1067.9238682510245,0.6097946287519748,0.6160164271047228,0.927461139896373,0.9066666666666666,1376,1112,2499,1988,112,91,3776.2507002924226,0.5506202480992397,0.5593561368209256,0.9186046511627907,0.9181654676258992,386,300,633,487,358,28,0,247,272,28,0,187,0.5655608214849921,0.5585215605749486,0.927461139896373,0.9066666666666666,0.5917355371900826,0.5925925925925926,386,300,1067.9238682510245,400.0,0.5506202480992397,0.5593561368209256,0.9186046511627907,0.9181654676258992
5,0.0,99.5,1082,60.81565575819663,61.70100344173771,48.29054967454462,49.14379923885517,0.8853476835410845,0.853249564310552,1.0376186763792474,0.001770695367082169,0.001706499128621104,0.0017385972478516365,12.557204202882538,359,307,593,489,33,37,1032.696198225885,0.6053962900505903,0.6278118609406953,0.9080779944289694,0.8794788273615635,1735,1419,3092,2477,145,128,4808.9468985183075,0.5611254851228978,0.572870407751312,0.9164265129682997,0.9097956307258632,359,307,593,489,326,33,0,234,270,37,0,182,0.5497470489038786,0.5521472392638037,0.9080779944289693,0.8794788273615635,0.5821428571428572,0.5973451327433629,359,307,1032.696198225885,500.0,0.5611254851228978,0.572870407751312,0.9164265129682997,0.9097956307258632
6,0.0,99.5,1103,60.81565575819663,61.81585814360495,48.29054967454462,49.11841073932676,1.000202385408322,0.8278610647821409,1.2081766228147643,0.0016670039756805366,0.0013797684413035683,0.0015233862084920525,12.697447404278186,368,290,608,495,39,25,1073.65626024107,0.6052631578947368,0.5858585858585859,0.8940217391304348,0.9137931034482758,2103,1709,3700,2972,184,153,5882.603158759377,0.5683783783783783,0.5750336473755047,0.9125059438896814,0.9104739613809245,368,290,608,495,329,39,0,240,265,25,0,205,0.5411184210526315,0.5353535353535354,0.8940217391304348,0.9137931034482759,0.5782073813708261,0.5638297872340425,368,290,1073.65626024107,600.0,0.5683783783783783,0.5750336473755047,0.9125059438896814,0.9104739613809245
7,0.0,99.5,1177,60.81565575819663,61.816265679321724,48.29054967454462,49.20063914645127,1.000609921125097,0.9100894719066517,1.099463241815998,0.0014294427444644243,0.0013001278170095025,0.0013647852807369635,12.61562653287045,379,353,623,554,31,29,1191.2224638938667,0.608346709470305,0.6371841155234657,0.9182058047493403,0.9178470254957507,2482,2062,4323,3526,215,182,7073.825622653244,0.5741383298635208,0.5847986386840612,0.9133763094278807,0.9117361784675073,379,353,623,554,348,31,0,244,324,29,0,201,0.5585874799357945,0.5848375451263538,0.9182058047493403,0.9178470254957507,0.5878378378378378,0.6171428571428571,379,353,1191.2224638938667,700.0,0.5741383298635208,0.5847986386840612,0.9133763094278807,0.9117361784675073
8,0.0,99.5,1134,60.81565575819663,61.83947867922376,48.29054967454462,49.254620161568745,1.0238229210271328,0.9640704870241237,1.061979320814448,0.001279778651283916,0.0012050881087801546,0.0012424333800320352,12.584858517655015,365,333,602,532,39,30,1075.4855598267254,0.606312292358804,0.6259398496240601,0.8931506849315068,0.9099099099099099,2847,2395,4925,4058,254,212,8149.311182479969,0.5780710659898477,0.5901922129127649,0.9107832806462943,0.911482254697286,365,333,602,532,326,39,0,237,303,30,0,199,0.5415282392026578,0.5695488721804511,0.8931506849315068,0.9099099099099099,0.5790408525754884,0.603585657370518,365,333,1075.4855598267254,800.0,0.5780710659898477,0.5901922129127649,0.9107832806462943,0.911482254697286
9,0.0,99.5,1113,60.81565575819663,61.79274033574147,48.29054967454462,49.22700219585361,0.9770845775448436,0.9364525213089863,1.0433893393538642,0.0010856495306053818,0.001040502801454429,0.0010630761660299056,12.565738139887863,364,319,588,525,34,22,1101.2922366328703,0.6190476190476191,0.6076190476190476,0.9065934065934066,0.9310344827586207,3211,2714,5513,4583,288,234,9250.603419112838,0.5824415019045891,0.5921885228016583,0.9103083151666147,0.9137803979366249,364,319,588,525,330,34,0,224,297,22,0,206,0.5612244897959183,0.5657142857142857,0.9065934065934066,0.9310344827586207,0.5956678700361011,0.5904572564612326,364,319,1101.2922366328703,900.0,0.5824415019045891,0.5921885228016583,0.9103083151666147,0.9137803979366249
10,0.0,99.5,1096,60.81565575819663,61.881084640640104,48.29054967454462,49.149805985000995,1.0654288824434772,0.8592563104563737,1.2399430408344627,0.0010654288824434772,0.0008592563104563737,0.0009623425964499254,12.731278655639109,368,321,589,507,28,22,1054.8010849887094,0.6247877758913413,0.6331360946745562,0.9239130434782609,0.9314641744548287,3579,3035,6102,5090,316,256,10305.404504101547,0.5865290068829891,0.5962671905697446,0.9117071807767533,0.9156507413509061,368,321,589,507,340,28,0,221,299,22,0,186,0.5772495755517827,0.5897435897435898,0.9239130434782609,0.9314641744548287,0.6060606060606061,0.6164948453608248,368,321,1054.8010849887094,1000.0,0.5865290068829891,0.5962671905697446,0.9117071807767533,0.9156507413509061
