episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1105,60.81565575819663,61.67422548994446,48.29054967454462,49.011668808101966,0.8585697317478349,0.7211191335573446,1.1906073376703157,0.008585697317478349,0.007211191335573446,0.007898444326525898,12.662556681842496,329,251,604,501,25,18,817.4984152402097,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414,329,251,604,501,25,18,817.4984152402097,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414,329,251,604,501,304,25,0,275,233,18,0,250,0.5033112582781457,0.46506986027944114,0.9240121580547113,0.9282868525896414,0.5250431778929189,0.4824016563146998,329,251,817.4984152402097,100.0,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414
2,0.0,99.5,1123,60.81565575819663,61.77973079356047,48.29054967454462,49.178205349984,0.964075035363841,0.8876556754393761,1.0860912198715325,0.004820375176819205,0.00443827837719688,0.0046293267770080426,12.60152544357647,349,327,613,510,23,24,1031.791270203745,0.5693311582381729,0.6411764705882353,0.9340974212034384,0.926605504587156,678,578,1217,1011,48,42,1849.2896854439546,0.5571076417419885,0.5717111770524234,0.9292035398230089,0.9273356401384083,349,327,613,510,326,23,0,264,303,24,0,183,0.531810766721044,0.5941176470588235,0.9340974212034384,0.926605504587156,0.5525423728813559,0.6234567901234568,349,327,1031.791270203745,200.0,0.5571076417419885,0.5717111770524234,0.9292035398230089,0.9273356401384083
3,0.0,99.5,1108,60.81565575819663,61.994305878715664,48.29054967454462,49.12992214381015,1.1786501205190376,0.8393724692655269,1.4042039305272755,0.0039288337350634585,0.0027979082308850897,0.003363370982974274,12.864383734905516,421,343,617,491,31,33,1171.1059445597762,0.6823338735818476,0.6985743380855397,0.9263657957244655,0.9037900874635568,1099,921,1834,1502,79,75,3020.3956300037307,0.5992366412213741,0.6131824234354194,0.9281164695177434,0.9185667752442996,421,343,617,491,390,31,0,196,310,33,0,148,0.6320907617504052,0.6313645621181263,0.9263657957244655,0.9037900874635568,0.6655290102389079,0.6768558951965066,421,343,1171.1059445597762,300.0,0.5992366412213741,0.6131824234354194,0.9281164695177434,0.9185667752442996
4,0.0,99.5,1146,60.81565575819663,62.12557625176866,48.29054967454462,49.276835624890104,1.3099204935720365,0.9862859503454828,1.3281345973885046,0.0032748012339300914,0.002465714875863707,0.002870258054896899,12.84874062687856,467,364,644,502,44,28,1145.573801789515,0.7251552795031055,0.7250996015936255,0.9057815845824411,0.9230769230769231,1566,1285,2478,2004,123,103,4165.969431793246,0.6319612590799032,0.6412175648702595,0.921455938697318,0.9198443579766536,467,364,644,502,423,44,0,177,336,28,0,138,0.656832298136646,0.6693227091633466,0.9057815845824411,0.9230769230769231,0.705,0.7088607594936709,467,364,1145.573801789515,400.0,0.6319612590799032,0.6412175648702595,0.921455938697318,0.9198443579766536
5,0.0,99.5,1074,60.81565575819663,61.95404696731694,48.29054967454462,49.288513015266915,1.1383912091203143,0.9979633407222934,1.1407144557999334,0.0022767824182406285,0.001995926681444587,0.0021363545498426077,12.665533952050026,425,351,584,490,36,37,1192.4649697376208,0.7277397260273972,0.7163265306122449,0.9152941176470588,0.8945868945868946,1991,1636,3062,2494,159,140,5358.434401530867,0.6502286087524494,0.6559743384121892,0.9201406328478152,0.9144254278728606,425,351,584,490,389,36,0,159,314,37,0,139,0.666095890410959,0.6408163265306123,0.9152941176470588,0.8945868945868946,0.7098540145985401,0.6931567328918322,425,351,1192.4649697376208,500.0,0.6502286087524494,0.6559743384121892,0.9201406328478152,0.9144254278728606
6,0.0,99.5,1178,60.81565575819663,62.155936674367446,48.29054967454462,49.400577856483125,1.3402809161708191,1.1100281819385032,1.2074296292461808,0.002233801526951365,0.0018500469698975053,0.002041924248424435,12.755358817884321,483,418,630,548,36,26,1361.8742827207254,0.7666666666666667,0.7627737226277372,0.9254658385093167,0.937799043062201,2474,2054,3692,3042,195,166,6720.308684251592,0.6700975081256771,0.6752136752136753,0.9211802748585287,0.9191820837390458,483,418,630,548,447,36,0,147,392,26,0,130,0.7095238095238096,0.7153284671532847,0.9254658385093167,0.937799043062201,0.7525252525252525,0.7509578544061303,483,418,1361.8742827207254,600.0,0.6700975081256771,0.6752136752136753,0.9211802748585287,0.9191820837390458
7,0.0,99.5,1128,60.81565575819663,62.311735319716526,48.29054967454462,49.257775043500125,1.496079561519899,0.9672253689555035,1.5467745259158159,0.0021372565164569984,0.0013817505270792908,0.0017595035217681447,13.0539602762164,499,367,634,494,40,36,1309.6776273905657,0.7870662460567823,0.742914979757085,0.9198396793587175,0.9019073569482289,2973,2421,4326,3536,235,202,8029.986311642158,0.687239944521498,0.6846719457013575,0.9209552640430542,0.9165634035522512,499,367,634,494,459,40,0,135,331,36,0,127,0.7239747634069401,0.6700404858299596,0.9198396793587175,0.9019073569482289,0.7727272727272727,0.722707423580786,499,367,1309.6776273905657,700.0,0.687239944521498,0.6846719457013575,0.9209552640430542,0.9165634035522512
8,0.0,99.5,1146,60.81565575819663,62.268354020737235,48.29054967454462,49.38401178563978,1.4526982625406077,1.0934621110951568,1.3285309548454844,0.0018158728281757596,0.001366827638868946,0.0015913502335223528,12.884342235097456,501,411,644,502,43,28,1244.2922322390684,0.7779503105590062,0.8187250996015937,0.9141716566866267,0.9318734793187348,3474,2832,4970,4038,278,230,9274.278543881226,0.6989939637826962,0.7013372956909361,0.9199769717904434,0.9187853107344632,501,411,644,502,458,43,0,143,383,28,0,91,0.7111801242236024,0.7629482071713147,0.9141716566866267,0.9318734793187348,0.762063227953411,0.8080168776371308,501,411,1244.2922322390684,800.0,0.6989939637826962,0.7013372956909361,0.9199769717904434,0.9187853107344632
9,0.0,99.5,1189,60.81565575819663,62.17767960524897,48.29054967454462,49.479968957731955,1.3620238470523418,1.189419283187334,1.1451166685329603,0.0015133598300581576,0.00132157698131926,0.0014174684056887088,12.697710647517013,489,429,645,544,34,31,1502.7328125557472,0.7581395348837209,0.7886029411764706,0.9304703476482618,0.9277389277389277,3963,3261,5615,4582,312,261,10777.011356436973,0.7057880676758682,0.7116979484941074,0.9212717638152914,0.9199632014719411,489,429,645,544,455,34,0,156,398,31,0,115,0.7054263565891473,0.7316176470588235,0.9304703476482618,0.9277389277389277,0.7446808510638298,0.7758284600389863,489,429,1502.7328125557472,900.0,0.7057880676758682,0.7116979484941074,0.9212717638152914,0.9199632014719411
10,0.0,99.5,1182,60.81565575819663,62.228930979393944,48.29054967454462,49.40182080755526,1.413275221197317,1.1112711330106393,1.271764539917898,0.001413275221197317,0.0011112711330106392,0.0012622731771039781,12.827110171838683,517,417,650,532,49,32,1474.2583911989286,0.7953846153846154,0.7838345864661654,0.9052224371373307,0.9232613908872902,4480,3678,6265,5114,361,293,12251.269747635903,0.7150837988826816,0.7192021900664841,0.9194196428571428,0.9203371397498641,517,417,650,532,468,49,0,133,385,32,0,115,0.72,0.7236842105263158,0.9052224371373307,0.9232613908872902,0.778702163061564,0.77,517,417,1474.2583911989286,1000.0,0.7150837988826816,0.7192021900664841,0.9194196428571428,0.9203371397498641
