episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1152,60.81565575819663,61.61731701105513,48.29054967454462,48.84060264897659,0.8016612528585014,0.5500529744319707,1.4574255392153126,0.008016612528585014,0.005500529744319706,0.0067585711364523595,12.776714362078536,310,244,627,525,31,20,1839.480974103714,0.4944178628389155,0.46476190476190476,0.9,0.9180327868852459,310,244,627,525,31,20,1839.480974103714,0.4944178628389155,0.46476190476190476,0.9,0.9180327868852459,310,244,627,525,279,31,0,317,224,20,0,281,0.4449760765550239,0.4266666666666667,0.9,0.9180327868852459,0.46812080536912754,0.44356435643564357,310,244,1839.480974103714,100.0,0.4944178628389155,0.46476190476190476,0.9,0.9180327868852459
2,0.0,99.5,1154,60.81565575819663,61.68829435547994,48.29054967454462,48.99293463681722,0.8726385972833128,0.7023849622725962,1.2423936219532006,0.004363192986416564,0.0035119248113629807,0.003937558898889772,12.695359718662722,312,258,632,522,30,17,2124.8172860086434,0.4936708860759494,0.4942528735632184,0.9038461538461539,0.9341085271317829,622,502,1259,1047,61,37,3964.2982601123576,0.49404289118347894,0.4794651384909265,0.9019292604501608,0.9262948207171314,312,258,632,522,282,30,0,320,241,17,0,264,0.4462025316455696,0.4616858237547893,0.9038461538461539,0.9341085271317829,0.4684385382059801,0.4772277227722772,312,258,2124.8172860086434,200.0,0.49404289118347894,0.4794651384909265,0.9019292604501608,0.9262948207171314
3,0.0,99.5,1044,60.81565575819663,61.668054014895944,48.29054967454462,49.08355252797358,0.8523982566993169,0.793002853428959,1.0748993563056313,0.0028413275223310563,0.002643342844763197,0.0027423351835471265,12.584501486922363,329,254,588,456,31,21,2054.252470492036,0.5595238095238095,0.5570175438596491,0.9057750759878419,0.9173228346456693,951,756,1847,1503,92,58,6018.550730604394,0.5148890092041147,0.5029940119760479,0.9032597266035752,0.9232804232804233,329,254,588,456,298,31,0,259,233,21,0,202,0.5068027210884354,0.5109649122807017,0.9057750759878419,0.9173228346456693,0.5350089766606823,0.535632183908046,329,254,2054.252470492036,300.0,0.5148890092041147,0.5029940119760479,0.9032597266035752,0.9232804232804233
4,0.0,99.5,1115,60.81565575819663,61.93443939757192,48.29054967454462,49.19058201391687,1.1187836393752946,0.9000323393722454,1.2430482666385343,0.0027969590984382366,0.0022500808484306133,0.002523519973434425,12.743857383655055,398,317,614,501,35,22,2488.454328932281,0.6482084690553745,0.6327345309381237,0.9120603015075377,0.9305993690851735,1349,1073,2461,2004,127,80,8507.005059536674,0.5481511580658269,0.5354291417165669,0.9058561897702001,0.9254426840633737,398,317,614,501,363,35,0,216,295,22,0,184,0.5912052117263844,0.5888223552894212,0.9120603015075377,0.9305993690851735,0.6269430051813472,0.615866388308977,398,317,2488.454328932281,400.0,0.5481511580658269,0.5354291417165669,0.9058561897702001,0.9254426840633737
5,0.0,99.5,1103,60.81565575819663,61.910653044547786,48.29054967454462,49.20862369673658,1.094997286351159,0.9180740221919592,1.1927113281528046,0.002189994572702318,0.0018361480443839185,0.002013071308543118,12.702029347811205,403,347,612,491,41,23,2617.2984347250526,0.6584967320261438,0.7067209775967414,0.8982630272952854,0.9337175792507204,1752,1420,3073,2495,168,103,11124.303494261727,0.570126911812561,0.5691382765531062,0.904109589041096,0.9274647887323944,403,347,612,491,362,41,0,209,324,23,0,144,0.5915032679738562,0.659877800407332,0.8982630272952854,0.9337175792507204,0.6339754816112084,0.6923076923076923,403,347,2617.2984347250526,500.0,0.570126911812561,0.5691382765531062,0.904109589041096,0.9274647887323944
6,0.0,99.5,1127,60.81565575819663,62.06466397254551,48.29054967454462,49.30918735354416,1.2490082143488834,1.0186376789995393,1.2261555213386608,0.002081680357248139,0.001697729464999232,0.0018897049111236855,12.75547661900135,450,352,629,498,40,33,2852.042486830472,0.7154213036565977,0.7068273092369478,0.9111111111111111,0.90625,2202,1772,3702,2993,208,136,13976.3459810922,0.5948136142625607,0.5920481122619445,0.9055404178019982,0.9232505643340858,450,352,629,498,410,40,0,179,319,33,0,146,0.6518282988871225,0.6405622489959839,0.9111111111111111,0.90625,0.6960950764006791,0.6860215053763441,450,352,2852.042486830472,600.0,0.5948136142625607,0.5920481122619445,0.9055404178019982,0.9232505643340858
7,0.0,99.5,1189,60.81565575819663,61.99895482420074,48.29054967454462,49.260904494689896,1.1832990660041105,0.9703548201452747,1.2194498769295083,0.0016904272371487292,0.0013862211716361068,0.0015383242043924181,12.738050329510841,449,404,625,564,40,28,3082.8415725457053,0.7184,0.7163120567375887,0.910913140311804,0.9306930693069306,2651,2176,4327,3557,248,164,17059.187553637905,0.6126646637393113,0.61175147596289,0.9064503960769521,0.9246323529411765,449,404,625,564,409,40,0,176,376,28,0,160,0.6544,0.6666666666666666,0.910913140311804,0.9306930693069307,0.6991452991452991,0.7014925373134329,449,404,3082.8415725457053,700.0,0.6126646637393113,0.61175147596289,0.9064503960769521,0.9246323529411765
8,0.0,99.5,1147,60.81565575819663,62.055040142204845,48.29054967454462,49.348648690171174,1.2393843840082184,1.0580990156265528,1.171331194627676,0.001549230480010273,0.001322623769533191,0.001435927124771732,12.706391452033671,465,381,623,524,36,45,3141.4031078901517,0.7463884430176565,0.7270992366412213,0.9225806451612903,0.8818897637795275,3116,2557,4950,4081,284,209,20200.590661528055,0.6294949494949494,0.6265621171281549,0.9088575096277278,0.9182635901447008,465,381,623,524,429,36,0,158,336,45,0,143,0.6886035313001605,0.6412213740458015,0.9225806451612903,0.8818897637795275,0.7308347529812607,0.7014613778705637,465,381,3141.4031078901517,800.0,0.6294949494949494,0.6265621171281549,0.9088575096277278,0.9182635901447008
9,0.0,99.5,1125,60.81565575819663,62.05471947295111,48.29054967454462,49.33452789769663,1.2390637147544865,1.0439782231520098,1.186867395579832,0.0013767374608383183,0.0011599758035022332,0.0012683566321702758,12.720191575254482,482,398,617,508,47,24,3056.1651115576174,0.7811993517017828,0.7834645669291339,0.9024896265560166,0.9396984924623115,3598,2955,5567,4589,331,233,23256.75577308567,0.6463086042751931,0.6439311396818479,0.9080044469149527,0.921150592216582,482,398,617,508,435,47,0,135,374,24,0,110,0.7050243111831442,0.7362204724409449,0.9024896265560166,0.9396984924623115,0.7631578947368421,0.7727272727272727,482,398,3056.1651115576174,900.0,0.6463086042751931,0.6439311396818479,0.9080044469149527,0.921150592216582
10,0.0,99.5,1122,60.81565575819663,62.08413835753723,48.29054967454462,49.29182194272029,1.2684825993406008,1.0012722681756685,1.2668707999391546,0.0012684825993406008,0.0010012722681756684,0.0011348774337581347,12.792316414816938,493,377,630,492,37,36,3168.856737263023,0.7825396825396825,0.766260162601626,0.9249492900608519,0.9045092838196287,4091,3332,6197,5081,368,269,26425.612510348696,0.6601581410359851,0.6557764219641803,0.9100464434123686,0.9192677070828331,493,377,630,492,456,37,0,137,341,36,0,115,0.7238095238095238,0.693089430894309,0.9249492900608519,0.9045092838196287,0.7689713322091062,0.7478070175438597,493,377,3168.856737263023,1000.0,0.6601581410359851,0.6557764219641803,0.9100464434123686,0.9192677070828331
11,0.0,99.5,1211,60.81565575819663,62.199086652817726,48.29054967454462,49.50974785254253,1.3834308946210996,1.2191981779979102,1.134705513498127,0.0012576644496555451,0.0011083619799981002,0.0011830132148268227,12.689338800275195,530,451,654,557,39,42,3548.860560955936,0.8103975535168195,0.8096947935368043,0.9264150943396227,0.9068736141906873,4621,3783,6851,5638,407,311,29974.47307130463,0.6745000729820464,0.6709826179496275,0.9119238260116858,0.9177901136664023,530,451,654,557,491,39,0,124,409,42,0,106,0.7507645259938838,0.7342908438061041,0.9264150943396227,0.9068736141906873,0.7983739837398374,0.7941747572815534,530,451,3548.860560955936,1100.0,0.6745000729820464,0.6709826179496275,0.9119238260116858,0.9177901136664023
12,0.0,99.5,1144,60.81565575819663,62.14494885210168,48.29054967454462,49.41869126473945,1.3292930939050507,1.1281415901948293,1.1783034199417137,0.0011077442449208756,0.0009401179918290244,0.00102393111837495,12.726257587362227,489,437,609,535,33,33,3290.6120388969125,0.8029556650246306,0.8168224299065421,0.9325153374233128,0.9244851258581236,5110,4220,7460,6173,440,344,33265.085110201544,0.6849865951742627,0.6836222258221286,0.913894324853229,0.9184834123222749,489,437,609,535,456,33,0,120,404,33,0,98,0.7487684729064039,0.7551401869158878,0.9325153374233128,0.9244851258581236,0.7916666666666666,0.8047808764940239,489,437,3290.6120388969125,1200.0,0.6849865951742627,0.6836222258221286,0.913894324853229,0.9184834123222749
13,0.0,99.5,1167,60.81565575819663,62.10094885038317,48.29054967454462,49.410760018227556,1.2852930921865422,1.1202103436829347,1.1473676345112669,0.0009886869939896479,0.0008617002643714882,0.000925193629180568,12.690188832155613,507,438,619,548,41,37,3489.023474899576,0.8190630048465266,0.7992700729927007,0.9191321499013807,0.9155251141552512,5617,4658,8079,6721,481,381,36754.10858510112,0.6952593142715683,0.6930516292218419,0.9143670998753783,0.9182052382996995,507,438,619,548,466,41,0,112,401,37,0,110,0.752827140549273,0.7317518248175182,0.9191321499013807,0.9155251141552512,0.8062283737024222,0.7847358121330724,507,438,3489.023474899576,1300.0,0.6952593142715683,0.6930516292218419,0.9143670998753783,0.9182052382996995
14,0.0,99.5,1152,60.81565575819663,62.191540473617145,48.29054967454462,49.49414663871362,1.3758847154205185,1.2035969641690016,1.1431440560092052,0.0009827747967289418,0.0008597121172635725,0.0009212434569962572,12.697393834903522,507,422,633,519,45,33,3560.8432960467912,0.8009478672985783,0.8131021194605009,0.9112426035502958,0.9218009478672986,6124,5080,8712,7240,526,414,40314.951881147914,0.7029384756657484,0.7016574585635359,0.9141084258654474,0.918503937007874,507,422,633,519,462,45,0,126,389,33,0,97,0.7298578199052133,0.7495183044315993,0.9112426035502958,0.9218009478672986,0.7857142857142857,0.8004115226337448,507,422,3560.8432960467912,1400.0,0.7029384756657484,0.7016574585635359,0.9141084258654474,0.918503937007874
15,0.0,99.5,1134,60.81565575819663,62.35218961206383,48.29054967454462,49.24940921786292,1.5365338538672049,0.9588595433182974,1.6024597810746783,0.0010243559025781366,0.0006392396955455315,0.0008317977990618341,13.102780394200913,536,394,669,465,50,34,3492.616773930511,0.8011958146487295,0.8473118279569892,0.9067164179104478,0.9137055837563451,6660,5474,9381,7705,576,448,43807.56865507842,0.709945634793732,0.7104477611940299,0.9135135135135135,0.9181585677749361,536,394,669,465,486,50,0,133,360,34,0,71,0.726457399103139,0.7741935483870968,0.9067164179104478,0.9137055837563451,0.7851373182552503,0.8352668213457076,536,394,3492.616773930511,1500.0,0.709945634793732,0.7104477611940299,0.9135135135135135,0.9181585677749361
16,0.0,99.5,1196,60.81565575819663,62.26676633500044,48.29054967454462,49.43400546362655,1.4511105768038135,1.1434557890819264,1.2690570030424186,0.0009069441105023834,0.000714659868176204,0.0008108019893392937,12.832760871373893,581,422,691,505,48,41,3788.1916974589244,0.8408104196816208,0.8356435643564356,0.9173838209982789,0.9028436018957346,7241,5896,10072,8210,624,489,47595.76035253735,0.7189237490071485,0.718148599269184,0.9138240574506283,0.9170624151967436,581,422,691,505,533,48,0,110,381,41,0,83,0.7713458755426917,0.7544554455445545,0.9173838209982789,0.9028436018957346,0.8289269051321928,0.8211206896551724,581,422,3788.1916974589244,1600.0,0.7189237490071485,0.718148599269184,0.9138240574506283,0.9170624151967436
17,0.0,99.5,1116,60.81565575819663,62.102417898392716,48.29054967454462,49.44426903236542,1.286762140196089,1.1537193578207976,1.1153164168334568,0.0007569189059976994,0.0006786584457769397,0.0007177886758873195,12.658148866027297,513,411,617,499,41,29,3592.9032591939886,0.8314424635332253,0.8236472945891784,0.9200779727095516,0.9294403892944039,7754,6307,10689,8709,665,518,51188.66361173134,0.7254186546917392,0.7241933631875072,0.9142378127418107,0.9178690344062153,513,411,617,499,472,41,0,104,382,29,0,88,0.7649918962722853,0.7655310621242485,0.9200779727095516,0.9294403892944039,0.8194444444444444,0.8127659574468085,513,411,3592.9032591939886,1700.0,0.7254186546917392,0.7241933631875072,0.9142378127418107,0.9178690344062153
18,0.0,99.5,1154,60.81565575819663,62.33046832919143,48.29054967454462,49.37946691802013,1.5148125709948062,1.0889172434755068,1.3911181773189352,0.0008415625394415589,0.0006049540241530593,0.0007232582817973091,12.951001411171305,528,442,636,518,55,36,3548.2892762384063,0.8301886792452831,0.8532818532818532,0.8958333333333334,0.918552036199095,8282,6749,11325,9227,720,554,54736.95288796975,0.7313024282560706,0.7314403381380731,0.9130644771794253,0.9179137650022225,528,442,636,518,473,55,0,108,406,36,0,76,0.7437106918238994,0.7837837837837838,0.8958333333333334,0.918552036199095,0.8141135972461274,0.8423236514522822,528,442,3548.2892762384063,1800.0,0.7313024282560706,0.7314403381380731,0.9130644771794253,0.9179137650022225
