episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1105,60.81565575819663,61.67422548994446,48.29054967454462,49.011668808101966,0.8585697317478349,0.7211191335573446,1.1906073376703157,0.008585697317478349,0.007211191335573446,0.007898444326525898,12.662556681842496,329,251,604,501,25,18,2089.953031683388,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414,329,251,604,501,25,18,2089.953031683388,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414,329,251,604,501,304,25,0,275,233,18,0,250,0.5033112582781457,0.46506986027944114,0.9240121580547113,0.9282868525896414,0.5250431778929189,0.4824016563146998,329,251,2089.953031683388,100.0,0.5447019867549668,0.500998003992016,0.9240121580547113,0.9282868525896414
2,0.0,99.5,1115,60.81565575819663,61.44621406749131,48.29054967454462,48.884746772240234,0.6305583092946847,0.5941970976956128,1.0611938559445784,0.0031527915464734236,0.002970985488478064,0.003061888517475744,12.561467295251077,265,228,605,510,26,14,1851.8714681580154,0.4380165289256198,0.4470588235294118,0.9018867924528302,0.9385964912280702,594,479,1209,1011,51,32,3941.8244998414034,0.4913151364764268,0.47378832838773494,0.9141414141414141,0.9331941544885177,265,228,605,510,239,26,0,340,214,14,0,282,0.3950413223140496,0.4196078431372549,0.9018867924528302,0.9385964912280702,0.41278065630397237,0.4314516129032258,265,228,1851.8714681580154,200.0,0.4913151364764268,0.47378832838773494,0.9141414141414141,0.9331941544885177
3,0.0,99.5,1087,60.81565575819663,61.38896281472156,48.29054967454462,48.862341612560044,0.5733070565249321,0.5717919380154228,1.0026497724238084,0.0019110235217497736,0.0019059731267180762,0.0019084983242339249,12.526621202161515,217,188,593,494,17,11,1605.51132267344,0.36593591905564926,0.3805668016194332,0.9216589861751152,0.9414893617021276,811,667,1802,1505,68,43,5547.335822514843,0.45005549389567145,0.44318936877076415,0.9161528976572133,0.9355322338830585,217,188,593,494,200,17,0,376,177,11,0,306,0.3372681281618887,0.3582995951417004,0.9216589861751152,0.9414893617021277,0.3472222222222222,0.36645962732919257,217,188,1605.51132267344,300.0,0.45005549389567145,0.44318936877076415,0.9161528976572133,0.9355322338830585
4,0.0,99.5,1111,60.81565575819663,61.482836339745184,48.29054967454462,48.79526512940784,0.667180581548557,0.5047154548632165,1.321894495442725,0.0016679514538713925,0.0012617886371580412,0.0014648700455147168,12.687571210337346,240,182,601,510,34,14,1558.4564243341001,0.39933444259567386,0.3568627450980392,0.8583333333333334,0.9230769230769231,1051,849,2403,2015,102,57,7105.792246848943,0.4373699542238868,0.42133995037220845,0.9029495718363463,0.9328621908127208,240,182,601,510,206,34,0,361,168,14,0,328,0.3427620632279534,0.32941176470588235,0.8583333333333333,0.9230769230769231,0.36331569664902996,0.3387096774193548,240,182,1558.4564243341001,400.0,0.4373699542238868,0.42133995037220845,0.9029495718363463,0.9328621908127208
5,0.0,99.5,1044,60.81565575819663,61.42110773441719,48.29054967454462,48.69644493720917,0.6054519762205643,0.40589526266455067,1.4916458306164957,0.0012109039524411287,0.0008117905253291014,0.001011347238885115,12.724662797208019,235,172,603,441,32,18,1478.5121375602512,0.38971807628524047,0.3900226757369615,0.8638297872340426,0.8953488372093024,1286,1021,3006,2456,134,75,8584.304384409195,0.4278110445775116,0.4157166123778502,0.895800933125972,0.9265426052889324,235,172,603,441,203,32,0,368,154,18,0,269,0.33665008291873966,0.3492063492063492,0.8638297872340426,0.8953488372093024,0.3555166374781086,0.3640661938534279,235,172,1478.5121375602512,500.0,0.4278110445775116,0.4157166123778502,0.895800933125972,0.9265426052889324
6,0.0,99.5,1126,60.81565575819663,61.51388728021244,48.29054967454462,48.7728673512514,0.69823152201581,0.48231767670677783,1.4476589926856354,0.0011637192033596832,0.0008038627945112964,0.00098379099893549,12.741019928961038,270,182,644,482,24,11,1728.8330835883278,0.4192546583850932,0.3775933609958506,0.9111111111111111,0.9395604395604396,1556,1203,3650,2938,158,86,10313.137467997523,0.4263013698630137,0.4094622191967325,0.8984575835475579,0.9285120532003325,270,182,644,482,246,24,0,374,171,11,0,300,0.38198757763975155,0.35477178423236516,0.9111111111111111,0.9395604395604396,0.3967741935483871,0.3630573248407643,270,182,1728.8330835883278,600.0,0.4263013698630137,0.4094622191967325,0.8984575835475579,0.9285120532003325
7,0.0,99.5,1094,60.81565575819663,61.47820652826792,48.29054967454462,48.948418082150205,0.6625507700712916,0.6578684076055836,1.0071174757923855,0.0009465011001018451,0.0009398120108651195,0.0009431565554834822,12.529788446117713,261,232,590,504,20,14,1735.0338390694078,0.4423728813559322,0.4603174603174603,0.9233716475095786,0.9396551724137931,1817,1435,4240,3442,178,100,12048.171307066932,0.4285377358490566,0.4169087739686229,0.9020363236103467,0.9303135888501742,261,232,590,504,241,20,0,329,218,14,0,272,0.40847457627118644,0.43253968253968256,0.9233716475095786,0.9396551724137931,0.42280701754385963,0.4448979591836735,261,232,1735.0338390694078,700.0,0.4285377358490566,0.4169087739686229,0.9020363236103467,0.9303135888501742
8,0.0,99.5,1120,60.81565575819663,61.507204531088895,48.29054967454462,48.829744593772574,0.6915487728922685,0.5391949192279526,1.2825580290750218,0.0008644359661153356,0.0006739936490349407,0.0007692148075751381,12.677459937316321,291,258,606,514,28,22,1874.8884980507335,0.4801980198019802,0.5019455252918288,0.9037800687285223,0.9147286821705426,2108,1693,4846,3956,206,122,13923.059805117666,0.43499793644242674,0.42795753286147625,0.9022770398481974,0.9279385705847608,291,258,606,514,263,28,0,315,236,22,0,256,0.43399339933993397,0.4591439688715953,0.9037800687285223,0.9147286821705426,0.45501730103806226,0.4796747967479675,291,258,1874.8884980507335,800.0,0.43499793644242674,0.42795753286147625,0.9022770398481974,0.9279385705847608
9,0.0,99.5,1132,60.81565575819663,61.47703662271142,48.29054967454462,48.98453896576098,0.6613808645147898,0.6939892912163614,0.9530130693451789,0.0007348676272386554,0.0007710992124626238,0.0007529834198506395,12.492497656950434,294,246,615,517,27,28,1965.0909894367737,0.47804878048780486,0.4758220502901354,0.9081632653061225,0.8861788617886179,2402,1939,5461,4473,233,150,15888.15079455444,0.43984618201794545,0.433489827856025,0.9029975020815987,0.9226405363589479,294,246,615,517,267,27,0,321,218,28,0,271,0.43414634146341463,0.42166344294003866,0.9081632653061225,0.8861788617886179,0.45408163265306123,0.4458077709611452,294,246,1965.0909894367737,900.0,0.43984618201794545,0.433489827856025,0.9029975020815987,0.9226405363589479
10,0.0,99.5,1147,60.81565575819663,61.54257977235552,48.29054967454462,48.93205212149369,0.7269240141588966,0.6415024469490689,1.13315859918553,0.0007269240141588966,0.0006415024469490689,0.0006842132305539827,12.610527650861833,265,244,630,517,27,19,1989.0609631385962,0.42063492063492064,0.47195357833655704,0.8981132075471698,0.9221311475409836,2667,2183,6091,4990,260,169,17877.211757693036,0.43785913643079954,0.4374749498997996,0.9025121859767529,0.9225836005497022,265,244,630,517,238,27,0,365,225,19,0,273,0.37777777777777777,0.43520309477756286,0.8981132075471698,0.9221311475409836,0.3946932006633499,0.45180722891566266,265,244,1989.0609631385962,1000.0,0.43785913643079954,0.4374749498997996,0.9025121859767529,0.9225836005497022
11,0.0,99.5,1077,60.81565575819663,61.63091424712983,48.29054967454462,48.86244270126867,0.8152584889332033,0.5718930267240481,1.4255436783400137,0.0007411440808483666,0.0005199027515673164,0.0006305234162078415,12.76847154586116,302,206,610,467,26,12,1939.8734665089519,0.49508196721311476,0.4411134903640257,0.9139072847682119,0.941747572815534,2969,2389,6701,5457,286,181,19817.085224201986,0.44306819877630205,0.4377863294850651,0.9036712697878073,0.9242360820426957,302,206,610,467,276,26,0,308,194,12,0,261,0.4524590163934426,0.41541755888650966,0.9139072847682119,0.941747572815534,0.4726027397260274,0.42637362637362636,302,206,1939.8734665089519,1100.0,0.44306819877630205,0.4377863294850651,0.9036712697878073,0.9242360820426957
12,0.0,99.5,1083,60.81565575819663,61.63088147087226,48.29054967454462,48.961256253654625,0.8152257126756339,0.6707065791100035,1.215472962494867,0.0006793547605630283,0.0005589221492583363,0.0006191384549106822,12.669625217217636,269,247,577,506,26,21,2003.6022353405056,0.4662045060658579,0.4881422924901186,0.9033457249070632,0.9149797570850202,3238,2636,7278,5963,312,202,21820.687459542492,0.44490244572684806,0.44205936609089386,0.9036442248301421,0.9233687405159332,269,247,577,506,243,26,0,308,226,21,0,259,0.42114384748700173,0.44664031620553357,0.9033457249070632,0.9149797570850202,0.44101633393829404,0.465979381443299,269,247,2003.6022353405056,1200.0,0.44490244572684806,0.44205936609089386,0.9036442248301421,0.9233687405159332
