agent,constraint,reward,disp_mean,disp_std
RL,SP,RMM,0.002361681852560915,0.02019627031302014
RL,SP,FL,0.013541848235844811,0.5070210747088589
RL,SP,SW,0.008756492106238967,0.04811437991966075
RL,EO,RMM,0.004907161161108564,0.025668467432222602
RL,EO,FL,0.010869144629810812,0.045925896967525595
RL,EO,SW,0.008485303280927892,0.055620177040933784
PERL,SP,RMM,0.10862643422584028,0.003033405922311218
PERL,SP,FL,0.011860613429572342,0.2550221372371112
PERL,SP,SW,0.20809035006145782,0.18965432977156746
PERL,EO,RMM,0.054306720338490155,0.07922195910351275
PERL,EO,FL,0.009709048879624205,0.012948904209729186
PERL,EO,SW,0.042704992637260575,0.07335885293553236
