episode,best_mean,best_std,always_approve_mean,always_approve_std,always_reject_mean,always_reject_std,uniform_acceptance_mean,uniform_acceptance_std,oracle_mean,oracle_std,pattern_prediction_mean,pattern_prediction_std,rich_becomes_richer_mean,rich_becomes_richer_std,reverse_rich_becomes_richer_mean,reverse_rich_becomes_richer_std
1,0.011841016098983595,0.4235315391785552,0.0,0.0,0.0,0.0,0.018313045208964596,0.026109187174433404,0.017869603056831163,0.024444041607179494,0.2143219312459874,0.02139711277801675,0.5052812618974711,0.0118293229583386,-0.49292523441698977,0.0163724115946695
2,0.013131945724879496,0.4221128399740759,0.0,0.0,0.0,0.0,0.006802444130243113,0.01569353131118173,0.023377340177498596,0.01965480930969325,0.21403055930637588,0.015155550042169718,0.5025847786518932,0.0093668136422141,-0.49608957871475623,0.0105674513919272
3,0.013869015734875118,0.4204294134950959,0.0,0.0,0.0,0.0,0.006896006729260773,0.012682136403138634,0.021826817434282386,0.01254940775670439,0.2145966331353752,0.010480874376222953,0.5035153129591063,0.0066765176523844,-0.49740230966873367,0.0070667484801489
4,0.015315984641076613,0.4184379276507233,0.0,0.0,0.0,0.0,0.0033007129813102942,0.012086493855532504,0.022084149844695533,0.012854917654038208,0.215812544764322,0.007417154624584001,0.500923989381059,0.0077020606519667,-0.49776933965401315,0.0051023041278154
5,0.015292483808377999,0.41655918958059757,0.0,0.0,0.0,0.0,0.001701662219435296,0.009525422781397468,0.021373454335572584,0.00929602544010534,0.2159099228902418,0.007595831242823452,0.5009108457595988,0.0056728303470948,-0.499434390982717,0.0058847925799744
6,0.014978354733726301,0.41413516415258067,0.0,0.0,0.0,0.0,0.0015749353679457845,0.008178108803316217,0.023317001404872695,0.008884981294089201,0.21664910536272786,0.007120316076636397,0.5023296683918024,0.0056725642699406,-0.4998263400356555,0.005142058142591
7,0.01623334772825452,0.41138280905641506,0.0,0.0,0.0,0.0,-0.00016553120647810893,0.007777378702325645,0.023576541720009003,0.009395913954238702,0.21674960800084142,0.006423480564523825,0.5018463160732418,0.0055558126211434,-0.49983437681265985,0.00432830580445
8,0.016780502547810217,0.4084635952084888,0.0,0.0,0.0,0.0,0.0005716273935332805,0.008539979697349726,0.022820255487387975,0.009495387196084011,0.2172264463021727,0.004792089373226037,0.5006813868549419,0.0048676662571579,-0.500856543487683,0.0041545287454403
9,0.017636195953030787,0.40596607323432904,0.0,0.0,0.0,0.0,0.0012556486199054584,0.007402293745302151,0.02329704875322225,0.009421814359990774,0.21725741498341716,0.005077446039276218,0.4999144164758931,0.0052755920860584,-0.5001151202304517,0.0034248331458837
10,0.017754593577197886,0.4035535883265428,0.0,0.0,0.0,0.0,0.00130754033512398,0.006776779221582391,0.02360907444004401,0.008562635603389926,0.21787041489222464,0.004589178718625636,0.4988003821184066,0.004405111389506,-0.5004314870621567,0.0026660829779865
11,0.018060442165651003,0.400635670032102,0.0,0.0,0.0,0.0,0.0012224695234061,0.007485243956288553,0.02354427869012854,0.007764291620208206,0.21761662222742578,0.004510477141697574,0.49864619921513254,0.0045542215269897,-0.5007426169038662,0.003235711052853
12,0.017844859041722283,0.39765627052276414,0.0,0.0,0.0,0.0,0.0020201128941007007,0.006866151072359228,0.022895988368134446,0.006527708191586895,0.21706797069228462,0.004669798692512029,0.4987663956091055,0.0039162297126328,-0.5009532441705888,0.0026410419927707
13,0.01808647911512451,0.3947563945206957,0.0,0.0,0.0,0.0,0.0013228043331198203,0.006626719482869627,0.022373165755781743,0.006286643151312843,0.2179575593376213,0.0041019105345012396,0.4995471408401375,0.0036829912387638,-0.5007907000854346,0.0023215157562952
14,0.018550675615705003,0.391378832345756,0.0,0.0,0.0,0.0,0.0013443240149735858,0.005963334563331185,0.022892217239319113,0.005247033935591943,0.21838198705246828,0.0038740074589257755,0.49904210532175364,0.0031565400500878,-0.5004962091120531,0.0027133337508525
