episode,best_mean,always_approve_mean,always_reject_mean,uniform_acceptance_mean,oracle_mean,pattern_prediction_mean,rich_becomes_richer_mean,reverse_rich_becomes_richer_mean
1,1.8382117316880018,1.8360619068230284,,1.9041064354294726,1.8905099076698122,5.128771837210795,3.934773013447162,0.8889992358635732
2,1.9125005342736956,1.8080385000529664,,1.824519198683462,1.9008716429191113,4.86372152860594,3.8279694887016804,0.8748392316411796
3,1.8992027111335126,1.8244319475612625,,1.8304262632545614,1.892328015135866,4.97584770931272,3.8961045593160595,0.8715005208977559
4,1.925069950006021,1.810934716589905,,1.8081364917945213,1.8899149091750527,4.9516410339452355,3.899167910451374,0.8611857269472476
5,1.959019917461686,1.8173614219995091,,1.8127959604249537,1.8852095254461398,4.981385840918899,3.9230354773619496,0.8541825074394626
6,1.969417561375566,1.8194726305738165,,1.8116547996184493,1.8835181332906976,4.97833532783051,3.9340057957021988,0.8477936744238458
7,1.9619614024424636,1.8315039783957954,,1.809493213381623,1.890510563196222,5.003315488317025,3.966867536703893,0.8533948590980169
8,1.9703379687678413,1.8368288373417212,,1.810581534260284,1.8957395551224159,5.021624599076531,3.9862674058952443,0.8483909330709428
9,1.9546154637041644,1.844647327912161,,1.8214072273352446,1.9034040171899305,5.0381903804967045,4.002398513180354,0.8491209949887133
10,1.9465875521052756,1.8509960331168345,,1.8256484646785722,1.9098130194719187,5.06471660203653,4.024175046938832,0.8465737770213263
11,1.952407447520884,1.857103854778849,,1.8306643388437918,1.9138662800659518,5.076308647336306,4.05458582459295,0.8455959129618739
12,1.9532318525782586,1.8623919842155776,,1.8383453686043807,1.9135763151957925,5.079686200777664,4.081860178984441,0.8444794300490331
13,1.9499816321797359,1.8676623875915936,,1.841068755905384,1.9173703025516378,5.105078670079513,4.1152616222316265,0.8419697526360371
14,1.9538845091636183,1.8696881929863638,,1.838017173135111,1.9193799349503387,5.124000030912748,4.121163404484301,0.8381079120515016
15,1.953219002838256,1.8779152841802884,,1.8427837192229326,1.9177293673994305,5.129674690773416,4.14573184420356,0.8380015532270828
16,1.9489023983177376,1.882301704118136,,1.8449941786266593,1.9190994047575083,5.139064248747452,4.171996642729321,0.8353095561523696
17,1.9520748967723984,1.8867235189204288,,1.8461971118100018,1.9190926946637332,5.176248893677194,4.197987673592,0.8323922672316033
18,1.9425326754299135,1.890485160360595,,1.850408283716339,1.923222850924946,5.169595873184988,4.222988673863531,0.8303500321312537
19,1.9448367535187823,1.8972912704504306,,1.8517517968506838,1.929523710299786,5.203569127577161,4.255495955366084,0.8299027171304065
20,1.9515225766139996,1.9058764164452444,,1.8577574098589327,1.9367689749129264,5.230490225139847,4.28226905621488,0.8289911063137101
21,1.9483314350336742,1.9109121337331676,,1.8564146713435778,1.9394648961722847,5.23117750721195,4.309492363538156,0.8269350070313042
22,1.9445788280280252,1.916169102247357,,1.8567707382241263,1.9439307245372468,5.258867440778106,4.33260263781677,0.8253976479487769
23,1.9384109278714867,1.9215887299792673,,1.8582224407438146,1.944906092477802,5.277143060090002,4.359394682085306,0.823215955050796
24,1.9400084870470773,1.9259024049376088,,1.8543938216716471,1.9431105450035155,5.293160360115246,4.37680880001199,0.8192053522219767
25,1.9392463209202822,1.928642398204204,,1.8572703466708786,1.9466633630208419,5.31058575057942,4.4020167273221995,0.8173442114649155
26,1.928659200155231,1.935380613765834,,1.858534945065154,1.9513872627441844,5.3347021264202725,4.42817797401509,0.8157288297885733
27,1.9197214041436363,1.9403464945475373,,1.8612898991438402,1.955143771946196,5.352513288018727,4.450132342333093,0.81507357935654
