episode,best_mean,best_std,always_approve_mean,always_approve_std,always_reject_mean,always_reject_std,uniform_acceptance_mean,uniform_acceptance_std,oracle_mean,oracle_std,pattern_prediction_mean,pattern_prediction_std,rich_becomes_richer_mean,rich_becomes_richer_std,reverse_rich_becomes_richer_mean,reverse_rich_becomes_richer_std
1,196.65127377817885,302.69942809421326,525.5468583753174,254.25642904278865,0.0,0.0,461.4020749236397,507.3922167101401,1831.0669594573308,329.2560046364765,685.152413827492,233.2215626939942,277.307477915558,388.73004005392136,320.36619814382635,392.01147706955214
2,456.2438123220904,928.7823283860772,835.4280615381246,612.9024303737056,0.0,0.0,685.2573106507208,564.380477140258,3974.602994586981,387.4895893497936,1400.9938350796097,427.0765928964592,981.040572517414,688.7701747572038,518.8642703178132,544.9997180649234
3,649.8940750126835,1143.6587313686634,1269.4223989418138,809.3480268856092,0.0,0.0,874.03643164657,850.5009652020622,5895.353965617174,580.5628858761664,2331.43766403089,430.15633232521,1383.8546771084098,723.5454984396953,883.8321691647477,852.8086775839586
4,900.984504484959,1443.1190491598777,1920.82748773252,814.8343790903002,0.0,0.0,1069.2433260964058,935.7057731678844,7908.959344328357,583.639549364074,3036.995163790002,647.5993330297987,1673.8495098973965,870.3221945800932,1260.6791146292476,1032.2388219445345
5,1076.960210194979,1410.7404634795066,2265.743748555137,840.150774407313,0.0,0.0,1342.71645199656,1072.4102656753764,9826.263676429078,779.2947231539188,3912.5788706571834,628.6913626549115,1661.2844343041677,1073.875444516112,1655.5056986715877,951.3472604211267
6,1337.0024963668989,1724.6416532965654,2853.040474185544,1102.6949508325329,0.0,0.0,1658.090326123116,1031.2370876562193,11782.79811468382,843.9271986626112,4651.306522990731,790.5339935551684,2293.039778136238,1254.5609512007998,2211.4809653497628,1046.870962966906
7,1703.6625065499732,2241.9916376046594,3019.4249777721334,1075.4600210754268,0.0,0.0,1919.1959562477357,955.1294571700324,13737.993336713776,955.7163487941664,5661.894772099051,778.232624309114,2882.0410551689192,1368.4634362847628,2670.532846888035,1398.1484365934573
8,2007.9058608617408,2595.0548537496834,3401.624395407246,1099.5996821241372,0.0,0.0,2046.4172914871035,995.5469880410968,15623.096555100294,1168.7136662411103,6543.705811339764,830.0803988978128,3138.840882387838,1581.6031930963727,2801.6598042400774,1481.80217965232
9,2314.3308037777665,2898.4083787492896,4112.309262611923,1206.644307946741,0.0,0.0,2145.849897232812,873.6511108685783,17766.02194108292,1173.0781981647658,7485.212256479608,683.1707785053844,3866.950641262376,1902.9099511415304,3256.2400605095654,1784.3325214397282
10,2618.022366788545,3129.7291165982992,4643.242215307791,1514.3323410146063,0.0,0.0,2585.578311359593,881.9982052192552,19873.65582809952,1527.763792119037,8305.569558723799,948.5712280330856,4411.6452072129705,1919.5767486009004,3646.3437517355073,1942.8435034954985
11,2890.512282403934,3414.95302089379,5376.163297342745,1531.2551558739397,0.0,0.0,2956.4209451272377,775.8402086390313,21636.74867008565,1552.247769308324,9130.776719911804,1011.155717984906,4810.134664882449,2196.6061751675747,3691.417631649794,1812.2061942629125
12,3277.020482116496,3681.091699840929,5782.262033880403,1473.791869542918,0.0,0.0,3263.441166063638,987.5692509003304,23459.552704680427,1371.7231982433293,9978.593631816577,1090.4878581502817,5511.626446233897,2307.9219561564278,4058.119091954075,1850.5491523464
13,3498.972595484513,3465.302104874069,6388.256761354983,1457.6245962519704,0.0,0.0,3519.000157193026,791.974257458527,25409.30005504761,1341.8912778698673,10936.688793661986,1038.4238957562054,5678.436775962251,2488.486500911248,3974.988944117564,1807.765837609063
14,3897.4077859840136,3568.234298089593,6806.652181744151,1519.8212507408302,0.0,0.0,3667.346929645753,1034.2438682309744,27422.63823524884,1475.4155003534595,11743.627509439468,1189.7166860027758,6227.525067804074,2418.6359776615323,4173.121776762851,1778.9767537974085
15,4375.030689967411,3865.3405750669294,7126.908883532521,1532.175291285931,0.0,0.0,4083.927400910191,1038.2649292125134,29213.017032865588,1521.378713600889,12425.542983116557,1276.0188473782057,6795.753910776753,2117.1653950319737,4396.69306146044,1555.7611530478437
16,4748.089327026295,3997.217817812481,7759.653072427321,1661.8050031519244,0.0,0.0,4165.835012807901,1165.420596995541,31113.75975834545,1351.5460904864144,13249.606687594023,1390.8221888878213,7251.309884040168,2301.951607175125,4828.663062270281,1487.2480102408497
17,5049.237504684796,3840.711552589701,8290.139345144238,1614.0935958115117,0.0,0.0,4426.697767821898,1173.0676448217682,33056.34663312249,1337.0608335212116,14190.351700303863,1396.3870503597554,7685.578956183841,2588.012143306239,5163.484344256258,1297.8915143139377
18,5595.817273612514,4255.268717014378,8689.859116760188,1526.8915460716803,0.0,0.0,4618.804278277123,1324.166407892676,35391.15532463726,1274.999609299597,15087.255725821062,1311.7336475116076,8002.817374651868,2727.939672616817,5287.397793029071,1467.233628583777
19,6132.793028426194,4360.442010151219,9255.804471150785,1718.4589297371224,0.0,0.0,5037.343083331279,1514.0521260095677,37474.18633716796,1416.9978185006592,15976.73276901583,1335.3458499702788,8438.375962171838,2577.7270133645334,5753.197684342484,1506.9594346296046
20,6558.108619292938,4149.837309375773,9601.459848043629,1826.961303078253,0.0,0.0,5176.852231793312,1560.659994654494,39527.668712663966,1408.8187918220954,16886.014003268105,1429.4330634134092,9056.529889510632,2580.238279098502,5838.61830785093,1509.756970877114
21,7114.746040034409,4372.218745715213,10310.955971673022,2036.731523634238,0.0,0.0,5453.582572474149,1608.8667328533838,41631.86404918488,1319.0669519769085,17767.676964278933,1477.528460138065,9550.585675054945,2647.003918259776,5919.747345626916,1296.854344871403
22,7680.919453120723,4353.0799167534615,10701.574861177609,2277.493497933275,0.0,0.0,5534.105793789556,1723.4448578442612,43829.49042540944,1374.6111156590266,18846.10222315297,1414.8804947195017,9951.521280811306,2521.486258444538,6396.786776905154,1283.923618017635
23,8199.145122720189,4255.348014467422,11155.510697906211,2232.111342046697,0.0,0.0,5922.897016745185,1817.6817508374795,45828.955711446455,1411.6518804955265,19757.21341256558,1476.3853432843866,10623.688021473256,2684.705400616858,6818.590832159246,1119.675641026847
24,8811.551607652274,4037.7527169428913,11518.789309495742,2295.8158617458994,0.0,0.0,6157.398750206533,1843.366878583592,47765.71225083054,1455.616976796087,20688.62429594345,1407.26017382642,11137.873419385603,2597.6392814036917,7229.749500700263,1307.5972824627822
25,9591.713523532597,4367.274375357138,12184.672945381626,2257.670601319124,0.0,0.0,6417.173562838923,1787.3582473910362,49652.403556725774,1597.4620906184166,21706.269936808578,1491.2296097780309,11495.621105758568,2627.93864652471,7639.592347592729,1242.0125953394706
26,10122.733831236164,4086.01776964967,12816.314671405464,2024.1495441910092,0.0,0.0,6906.788626755166,1706.562155080339,51659.91375389799,1535.805559808451,22569.91432006319,1656.7845038342036,11970.273353705785,2823.774461992525,8192.79925883395,1168.0740176122629
27,10742.840495220811,4047.205405830066,13359.401211988938,2379.9331332838674,0.0,0.0,7246.564444435443,1699.3555086927122,53462.53409724266,1644.8786114181214,23302.068541499244,1687.1821503141489,12490.2129784567,2875.3435724990454,8493.223443013087,1300.9444637601323
