episode,best_mean,best_std,always_approve_mean,always_approve_std,always_reject_mean,always_reject_std,uniform_acceptance_mean,uniform_acceptance_std,oracle_mean,oracle_std,pattern_prediction_mean,pattern_prediction_std,rich_becomes_richer_mean,rich_becomes_richer_std,reverse_rich_becomes_richer_mean,reverse_rich_becomes_richer_std
1,0.0003058635948476,0.0008033588689583,0.0025480378990682,9.000648639899671e-05,0.0,0.0,0.0011718924459606,6.928584459082943e-05,0.0013398462220541,6.711015396905838e-05,0.0002930879901164,4.0922640709096914e-05,0.0011851844795645,6.01440675303907e-05,0.002524810276203,7.127186351962106e-05
2,0.0003049023823332,0.0008070288074338,0.0025720212481534,5.760842623711377e-05,0.0,0.0,0.0012117003320223,5.208608203781592e-05,0.0013461527154668,6.29761879499025e-05,0.000311667120591,2.8052713159299025e-05,0.0012222701832277,4.854607359100053e-05,0.0025584001718266,7.113055075103148e-05
3,0.0003142391001755,0.0008250239916813,0.0025770368201442,6.748811842733192e-05,0.0,0.0,0.0012218059726164,4.693004278835373e-05,0.0013647817246625,3.290515564923656e-05,0.0003101858566574,2.4007237804349663e-05,0.00121642618214,5.09498880773511e-05,0.0025815091673161,5.2085375445922615e-05
4,0.0003116074100276,0.0008107178589148,0.0025880106059503,4.917562728197793e-05,0.0,0.0,0.0012279743018632,4.523205990330089e-05,0.001363806437651,3.30229158254554e-05,0.0003106375389027,1.5064016221277809e-05,0.0012116864273526,4.524682100488783e-05,0.0025899122247017,4.995057805569135e-05
5,0.0003095614090084,0.0007959300048428,0.0025840517773447,3.0083470846308906e-05,0.0,0.0,0.0012287645164474,3.13363240626676e-05,0.0013685526632808,1.970482773506186e-05,0.0003107172290038,1.602972945641626e-05,0.0012068437585381,3.719743557324114e-05,0.0026026405600661,3.5611912276291885e-05
6,0.0003085914299344,0.0007882140662516,0.0025845695363209,3.0205640865191023e-05,0.0,0.0,0.0012285121937536,2.9901125552029856e-05,0.0013750538697935,1.1795603913253449e-05,0.000310431875301,1.4487010634132222e-05,0.0012049525383545,3.44752905496198e-05,0.0026142959924255,3.221754944415656e-05
7,0.0003140004237831,0.0008006191507238,0.0025690266862365,3.484861870147016e-05,0.0,0.0,0.0012257795805398,3.0022169041462436e-05,0.0013716150027489,1.7741878870308844e-05,0.0003105227475052,1.3492448619796892e-05,0.0011997836338231,3.058369591893204e-05,0.0026015373224364,2.2063240927701904e-05
8,0.0003145281266876,0.0007982773506905,0.0025669248903078,3.202099965413224e-05,0.0,0.0,0.0012259060140194,2.8093685351923982e-05,0.0013706411859957,2.3327109017406554e-05,0.0003111819326171,1.0875325293265526e-05,0.0011986159746313,2.695358890082147e-05,0.0026074618665016,2.018725182733112e-05
9,0.0003173463747217,0.0008008225647326,0.0025597964301116,3.309434930294071e-05,0.0,0.0,0.0012205259066814,2.42903042898261e-05,0.001366136151146,2.2070189817468235e-05,0.0003106262059525,1.078700361336052e-05,0.0011958269558233,2.566903415224682e-05,0.0026062030619453,2.2850964123321177e-05
10,0.0003204175372704,0.0008011533570242,0.0025569890051318,3.0445607269436787e-05,0.0,0.0,0.0012195178115345,2.0638547627346463e-05,0.0013660058106662,2.4175117774068057e-05,0.0003095647274287,1.1019820209966485e-05,0.001193689370536,2.291681125988939e-05,0.0026091376202325,2.6500044752033094e-05
