episode,lambda_wealth_mean,lambda_wealth_std,n_seeds
1,0.727998286485672,0.07823211633876988,10
2,0.9185140371322632,0.1270229883865146,10
3,1.055103701353073,0.18589053362064661,10
4,1.1811725437641143,0.23857460470754913,10
5,1.2835772931575775,0.2929601027686407,10
6,1.3462953507900237,0.3487754574109826,10
7,1.3779312252998352,0.3885173386975916,10
8,1.393334972858429,0.4255224763328537,10
9,1.3948780298233032,0.46730825089079336,10
10,1.3840807855129242,0.5049874367384919,10
11,1.3450622856616974,0.5395584791208282,10
12,1.2956316113471984,0.57035001627455,10
13,1.2407907903194428,0.5883078550376672,10
14,1.176398718357086,0.6044042076263546,10
15,1.1049646407365799,0.6173424509873894,10
16,1.031980001181364,0.623398780376572,10
17,0.9556018278002739,0.6320660281295226,10
18,0.8840537475582095,0.6267578319176418,10
19,0.818879074837605,0.6074682326330264,10
20,0.7619916866082349,0.5740328637135677,10
21,0.7109292069930234,0.5426246428288884,10
22,0.654207883264462,0.5085306317514501,10
23,0.5975710759419599,0.47592483674112107,10
24,0.5470169330495992,0.4446130205685499,10
25,0.4971321249860921,0.4189160678212384,10
26,0.4425826216596761,0.38980782836929717,10
27,0.3859754674776923,0.3642009618120372,10
28,0.3419691451534163,0.33240689882105,10
29,0.2944584318145644,0.29777667983843126,10
30,0.24765862158383242,0.2673749493914388,10
31,0.1986312470267876,0.23625579497014632,10
32,0.15781637047039113,0.20244527000058213,10
33,0.11663948791392612,0.16760760459018578,10
34,0.08028784543566869,0.13078636717478037,10
35,0.055288025662593984,0.10000784672471008,10
36,0.03083540139487012,0.06295692836267441,10
37,0.012599706777837125,0.02839232145506421,10
38,9.99999901978299e-05,0.0,10
39,9.99999901978299e-05,0.0,10
40,9.99999901978299e-05,0.0,10
41,9.99999901978299e-05,0.0,10
42,9.99999901978299e-05,0.0,10
43,9.99999901978299e-05,0.0,10
44,9.99999901978299e-05,0.0,10
45,9.99999901978299e-05,0.0,10
46,9.99999901978299e-05,0.0,10
47,9.99999901978299e-05,0.0,10
48,9.99999901978299e-05,0.0,10
49,9.99999901978299e-05,0.0,10
50,9.99999901978299e-05,0.0,10
51,9.99999901978299e-05,0.0,10
52,9.99999901978299e-05,0.0,10
53,9.99999901978299e-05,0.0,10
54,9.99999901978299e-05,0.0,10
55,9.99999901978299e-05,0.0,10
56,9.99999901978299e-05,0.0,10
57,9.99999901978299e-05,0.0,10
58,9.99999901978299e-05,0.0,10
59,9.99999901978299e-05,0.0,10
60,9.99999901978299e-05,0.0,10
61,9.99999901978299e-05,0.0,10
62,9.99999901978299e-05,0.0,10
63,9.99999901978299e-05,0.0,10
64,9.99999901978299e-05,0.0,10
65,9.99999901978299e-05,0.0,10
66,9.99999901978299e-05,0.0,10
67,9.99999901978299e-05,0.0,10
68,9.99999901978299e-05,0.0,10
69,9.99999901978299e-05,0.0,10
70,9.99999901978299e-05,0.0,10
71,9.99999901978299e-05,0.0,10
72,9.99999901978299e-05,0.0,10
73,9.99999901978299e-05,0.0,10
74,9.99999901978299e-05,0.0,10
75,9.99999901978299e-05,0.0,10
76,9.99999901978299e-05,0.0,10
77,9.99999901978299e-05,0.0,10
78,9.99999901978299e-05,0.0,10
79,9.99999901978299e-05,0.0,10
80,9.99999901978299e-05,0.0,10
81,9.99999901978299e-05,0.0,10
82,9.99999901978299e-05,0.0,10
83,9.99999901978299e-05,0.0,10
84,9.99999901978299e-05,0.0,10
85,9.99999901978299e-05,0.0,10
86,9.99999901978299e-05,0.0,10
87,9.99999901978299e-05,0.0,10
88,9.99999901978299e-05,0.0,10
89,9.99999901978299e-05,0.0,10
90,9.99999901978299e-05,0.0,10
91,9.99999901978299e-05,0.0,10
92,9.99999901978299e-05,0.0,10
93,9.99999901978299e-05,0.0,10
94,9.99999901978299e-05,0.0,10
95,9.99999901978299e-05,0.0,10
96,9.99999901978299e-05,0.0,10
97,9.99999901978299e-05,0.0,10
98,9.99999901978299e-05,0.0,10
99,9.99999901978299e-05,0.0,10
100,9.99999901978299e-05,0.0,10
101,9.99999901978299e-05,0.0,10
102,9.99999901978299e-05,0.0,10
103,9.99999901978299e-05,0.0,10
104,9.99999901978299e-05,0.0,10
105,9.99999901978299e-05,0.0,10
106,9.99999901978299e-05,0.0,10
107,9.99999901978299e-05,0.0,10
108,9.99999901978299e-05,0.0,10
109,9.99999901978299e-05,0.0,10
110,9.99999901978299e-05,0.0,10
111,9.99999901978299e-05,0.0,10
112,9.99999901978299e-05,0.0,10
113,9.99999901978299e-05,0.0,10
114,9.99999901978299e-05,0.0,10
