episode,lambda_wealth_mean,lambda_wealth_std,n_seeds
1,4.922728490829468,0.015197580196691153,10
2,4.83216667175293,0.020654659894744243,10
3,4.73873462677002,0.024510545007410192,10
4,4.646554899215698,0.032296906253197505,10
5,4.55347375869751,0.03785315290595269,10
6,4.4557085037231445,0.04501610093594489,10
7,4.355702018737793,0.050287868587877815,10
8,4.251347541809082,0.05145386334500404,10
9,4.143518400192261,0.05183841041788471,10
10,4.031474566459655,0.05364294608375339,10
11,3.9126052141189573,0.05627129645665782,10
12,3.8000445127487184,0.05562208452428,10
13,3.684966778755188,0.05952370650454249,10
14,3.569092130661011,0.06469673613319507,10
15,3.447018027305603,0.0701584907939355,10
16,3.3244959831237795,0.07105980396140503,10
17,3.2054504632949827,0.07101138905637977,10
18,3.074911189079285,0.07480178422481093,10
19,2.9500347137451173,0.07200073298093951,10
20,2.8243620872497557,0.07251369542004764,10
21,2.6940844774246218,0.07349328776636785,10
22,2.56727020740509,0.06928292363927531,10
23,2.4342127323150633,0.06950629251270968,10
24,2.2990027189254763,0.06706748562845027,10
25,2.1543373584747316,0.07115189311461127,10
26,2.0147042989730837,0.06917099176394807,10
27,1.8699785947799683,0.07098509979648211,10
28,1.7300519585609435,0.06916236472838466,10
29,1.5911259174346923,0.06776753300748632,10
30,1.4460424661636353,0.07077829035726574,10
31,1.3048669219017028,0.0708685947343426,10
32,1.1622118830680848,0.0734125041730591,10
33,1.0097118318080902,0.0764217971100277,10
34,0.8609956443309784,0.07797527986435193,10
35,0.7165295600891113,0.0756925072237718,10
36,0.5610154926776886,0.08430226310064236,10
37,0.40707161724567414,0.08595092956696591,10
38,0.25238026306033134,0.08296554106498445,10
39,0.09859192019066534,0.08241030508510534,10
40,0.018681387901597183,0.03174891536364433,10
41,9.99999901978299e-05,0.0,10
42,9.99999901978299e-05,0.0,10
43,9.99999901978299e-05,0.0,10
44,9.99999901978299e-05,0.0,10
45,9.99999901978299e-05,0.0,10
46,9.99999901978299e-05,0.0,10
47,9.99999901978299e-05,0.0,10
48,9.99999901978299e-05,0.0,10
49,9.99999901978299e-05,0.0,10
50,9.99999901978299e-05,0.0,10
51,9.99999901978299e-05,0.0,10
52,9.99999901978299e-05,0.0,10
53,9.99999901978299e-05,0.0,10
54,9.99999901978299e-05,0.0,10
55,9.99999901978299e-05,0.0,10
56,0.000406131618365177,0.0009183948845020415,10
57,0.0001457407823181669,0.00013722237636101104,10
58,0.001038630201946934,0.0018777460216297115,10
59,0.002637033788778341,0.004240829056785779,10
60,0.006123583301086888,0.008122318484803907,10
61,0.007195887065608968,0.009293454892544333,10
62,0.011214039054175349,0.014200629256616191,10
63,0.014832459369790715,0.018493795923752058,10
64,0.01512064821436066,0.020848070871854252,10
65,0.018470762946526487,0.020841801778606114,10
66,0.019694298985996235,0.026273864291708506,10
67,0.02260775569156974,0.030153944921337036,10
68,0.024642210776801184,0.03348016072951289,10
69,0.028759117996378307,0.03840606491080908,10
70,0.034056805231375595,0.044356477406818424,10
71,0.036822782723174886,0.04703723228596743,10
72,0.03621892620431025,0.049045839503518734,10
73,0.0379863320093136,0.049897592889669426,10
74,0.03977210815646683,0.05092092979497063,10
75,0.04039193716453154,0.053046828818171514,10
76,0.04073366661177713,0.05467318573613859,10
77,0.038212688906060034,0.0545353179770667,10
78,0.03423199701937844,0.05073565781413771,10
79,0.030422361567616442,0.04853630003354486,10
80,0.029805799297173485,0.049068386342619875,10
81,0.027914895313733694,0.04741485832007382,10
82,0.025815324533323254,0.0444948855209348,10
83,0.027677031174243878,0.04456304668958566,10
84,0.026198917807778322,0.04203394658565379,10
85,0.02508660846069686,0.040676036264852805,10
86,0.025630951811035595,0.04163477750084998,10
87,0.02748670580476753,0.044139454830212976,10
88,0.029014506378734917,0.04553152659899936,10
89,0.027600699401227724,0.04488943527539883,10
90,0.028202032540866617,0.0449910789458474,10
91,0.02806423693255054,0.046530421810334205,10
92,0.031069229917193276,0.04774654550200677,10
93,0.030103029856400083,0.04749952347773328,10
94,0.03191054360358973,0.048923356669554455,10
95,0.035051884023414435,0.05161790232044711,10
96,0.036008958489401235,0.05268105928144117,10
97,0.03352917306474408,0.05177835834469496,10
98,0.035937739693326844,0.0538399423949699,10
99,0.03823348571168025,0.05439920877074075,10
100,0.039915070911229075,0.05452712462814577,10
101,0.040483269392279884,0.05533109942661415,10
102,0.03924201859044839,0.052494563688841804,10
103,0.03859155037062008,0.05370054431779754,10
104,0.038731672882568055,0.056067229162495416,10
105,0.03687577316159148,0.056772907338829705,10
106,0.03874329201498765,0.057388225965238855,10
107,0.04181538628909036,0.060263092836231685,10
108,0.04385746754851424,0.06390694919396865,10
109,0.04548556039662797,0.06750441624245931,10
110,0.045967125057359205,0.06781492145938374,10
111,0.04790936292702097,0.07054119182380943,10
112,0.05241268007957839,0.07350344502485005,10
113,0.05340553360438206,0.07546108330613403,10
114,0.05356611941824665,0.07489733408527013,10
115,0.05722446364961795,0.07613077405026597,10
116,0.05912429089803478,0.07556115937021388,10
117,0.059936984529485905,0.07648935342648797,10
118,0.06246440042887112,0.07797375272980946,10
119,0.062389294269087237,0.07924275656267236,10
120,0.06359190742368807,0.07976392402672633,10
121,0.06500500335241666,0.07946756518451135,10
122,0.06606839238811515,0.08154944692431049,10
123,0.06525857482920397,0.0828387532515291,10
124,0.0650538937479723,0.08597673444855508,10
125,0.0672608615539502,0.08758517997017075,10
126,0.0730798745236825,0.09544111336470323,10
127,0.07395553317473968,0.10081902488445608,10
128,0.07525061246560652,0.10301371250256905,10
129,0.07857395608589283,0.10689978010535159,10
130,0.08225575356627812,0.11009133798872774,10
131,0.08669262663606783,0.11246993236957417,10
132,0.08847273736901115,0.11694940952160336,10
133,0.0887549146165838,0.12028850571131613,10
134,0.08864221794210604,0.12175409958103925,10
135,0.09478176464472196,0.12618717189164236,10
136,0.09663375411473678,0.13003530486089082,10
137,0.10217052664665968,0.13254594617090779,10
138,0.107640858166269,0.1343043985592213,10
139,0.11339052415860348,0.13492123886095728,10
140,0.11552724619541548,0.1372513758835854,10
141,0.11690270309481998,0.13939033754136598,10
142,0.12261145404481792,0.14524760450335444,10
143,0.12822840524313506,0.1470262461279439,10
144,0.13314636989234713,0.15075747275320753,10
145,0.1376061185583239,0.15466399242104187,10
146,0.1451822787916171,0.16122151216983036,10
147,0.14883933652599807,0.1654750226364031,10
148,0.15337205958494446,0.1700165040065553,10
149,0.16116158788645407,0.17165681906181934,10
150,0.1673923239432042,0.17553469548101694,10
151,0.1725679425842827,0.18152052783929987,10
152,0.17395293417794164,0.18139134037760288,10
153,0.17631677243334704,0.18407824229831296,10
154,0.1813678844220703,0.1854813869015255,10
155,0.1876691248588031,0.18869870373516584,10
156,0.19370222579163962,0.19037046643463504,10
157,0.1990836825541919,0.19118065732368483,10
158,0.20513124469143804,0.1940294448191097,10
159,0.21272622490505455,0.19647625199075622,10
160,0.21837366920226486,0.19884716791223928,10
161,0.22654162276012357,0.20335401104835807,10
162,0.23572129796666558,0.20630689943840763,10
163,0.24154171642585426,0.21032918095744896,10
164,0.24984173280390679,0.21473901827271039,10
165,0.2549942061697948,0.2173714120514461,10
166,0.2636953290872043,0.22371682816348554,10
167,0.2734474618308013,0.22893949354723622,10
168,0.28370544744393555,0.23228495878881777,10
169,0.2882913272987935,0.23545202363838666,10
170,0.294845114943746,0.23864621519675783,10
171,0.30290525631717174,0.2448109999574864,10
172,0.3136897210191819,0.247269515357897,10
173,0.3216744382094475,0.2524077982365354,10
174,0.32492440293281105,0.2572872973670318,10
175,0.3325694937884691,0.2620098501403297,10
176,0.34208264552726175,0.26541737818211875,10
177,0.3494685080993804,0.2669546304726664,10
178,0.35991794212459355,0.2696728443692482,10
179,0.3709720972154173,0.2748775535918493,10
180,0.38093041956162776,0.28047335161601566,10
