bin_left,bin_right,loans_mean,loans_std
0,300,100656.9,3985.2894612562336
300,600,96826.6,3958.210939300734
600,900,94854.6,3988.0283399193645
900,1200,93329.2,4009.064200034716
1200,1500,91955.8,4060.342271286991
1500,1800,90588.5,4133.822740515127
1800,2100,89179.0,4278.773843053638
2100,2400,87557.6,4570.751736859047
2400,2700,85417.2,5227.400478249203
2700,3000,80286.4,8021.632978390373
3000,3300,72244.6,11725.606220575548
3300,3600,67558.0,13230.713933873712
3600,3900,64072.7,14023.135541311722
3900,4200,60898.4,14294.231789081916
4200,4500,57776.6,14065.65252805571
4500,4800,54362.2,13395.743247763448
4800,5100,50684.8,12696.93639268938
5100,5400,47652.0,12090.981680574989
5400,5700,45347.8,11441.458926203422
5700,6000,43304.8,10743.09039150281
6000,6300,41247.6,9722.107273631576
6300,6600,39134.0,8591.276273057456
6600,6900,36968.3,7858.6418425832335
6900,7200,34603.3,8273.401840234765
7200,7500,32345.6,9956.071064430987
7500,7800,30971.7,10730.754661718813
7800,8100,29911.1,10937.268401662273
8100,8400,28842.4,10960.324668548828
8400,8700,27503.8,10950.251301225922
8700,9000,26159.9,11024.239261282386
9000,9300,24915.6,11051.252618594872
9300,9600,23668.9,11013.628316317925
9600,9900,22260.2,10933.90718636298
9900,10200,20326.1,10886.917097599302
10200,10500,17703.6,10801.266223920233
10500,10800,13243.3,10665.335091313353
10800,11100,5286.6,4220.78341543368
11100,11400,2064.3,2045.0972128483281
11400,11700,1349.5,1722.9784241249222
11700,12000,706.6,1268.5306618288737
