bin_left,bin_right,loans_mean,loans_std
0,300,108862.2,3975.740730983347
300,600,105014.0,3909.926444320916
600,900,103067.7,3910.8529005831965
900,1200,101586.5,3911.3384473860096
1200,1500,100262.1,3922.3569304692296
1500,1800,99074.1,3944.384805010789
1800,2100,97970.1,3948.7266162650462
2100,2400,96842.7,3987.6192910055993
2400,2700,95638.1,4036.1773610682667
2700,3000,94325.0,4108.206713396978
3000,3300,92788.6,4220.842716804312
3300,3600,90698.8,4469.18880335123
3600,3900,84823.4,8090.069075106838
3900,4200,68621.5,14530.305408008464
4200,4500,57372.3,14241.980480607324
4500,4800,52709.7,14010.720138879371
4800,5100,49302.2,14378.114694214955
5100,5400,45980.6,14596.742802419998
5400,5700,42524.6,14480.539059026774
5700,6000,39669.0,14624.404664806018
6000,6300,37184.0,14802.285411381581
6300,6600,35025.4,14868.819853640032
6600,6900,33184.7,14982.80020590277
6900,7200,31413.7,15163.756012611124
7200,7500,29739.5,15344.657488846076
7500,7800,28277.8,15541.625782394838
7800,8100,27009.4,15679.724278188058
8100,8400,25635.8,15742.881075584606
8400,8700,23644.2,16216.240358356805
8700,9000,22680.3,16435.82019888268
9000,9300,21860.8,16504.776574070915
9300,9600,21019.2,16512.305258806235
9600,9900,19791.4,16368.623944608173
9900,10200,17866.0,16457.813591118353
10200,10500,16720.9,16721.103524887345
10500,10800,15678.4,16931.263379913504
10800,11100,14799.5,16926.31680106455
11100,11400,13890.1,16797.940549067316
11400,11700,12354.6,16424.387801071916
11700,12000,9895.8,15905.8044738391
