bin_left,bin_right,loans_mean,loans_std
0,300,49040.5,13067.512175238253
300,600,46642.8,12858.98995100315
600,900,45522.0,12718.082072388115
900,1200,44698.7,12614.336479181138
1200,1500,44021.6,12554.531820820719
1500,1800,43421.9,12489.746838507177
1800,2100,42885.5,12433.085853881972
2100,2400,42391.8,12380.010176086285
2400,2700,41927.3,12333.033974249807
2700,3000,41482.2,12290.639713212653
3000,3300,41038.9,12264.383420702405
3300,3600,40609.7,12220.30512753262
3600,3900,40189.9,12168.03509569232
3900,4200,39726.4,12128.68826543085
4200,4500,39285.5,12094.857529131958
4500,4800,38820.2,12057.004858587392
4800,5100,38343.4,12019.540791561047
5100,5400,37829.4,11993.528456630265
5400,5700,37253.3,11970.732534394041
5700,6000,36593.0,11929.328438768043
6000,6300,35795.4,11896.867362461431
6300,6600,34746.3,11894.517628302545
6600,6900,32432.5,12370.997011154761
6900,7200,18962.6,16712.51579625282
7200,7500,3978.7,4730.710666485533
7500,7800,1373.0,240.40257902110784
7800,8100,841.7,157.55764024635553
8100,8400,558.9,79.95179797853203
8400,8700,361.3,66.85215030199105
8700,9000,300.0,0.0
9000,9300,300.0,0.0
9300,9600,195.3,112.10713625813479
9600,9900,28.3,49.22204790538484
9900,10200,0.0,0.0
10200,10500,0.0,0.0
10500,10800,0.0,0.0
10800,11100,0.0,0.0
11100,11400,0.0,0.0
11400,11700,0.0,0.0
11700,12000,0.0,0.0
