bin_left,bin_right,loans_mean,loans_std
0,300,179053.5,22700.216308440762
300,600,174361.1,22398.09425576203
600,900,172176.0,22283.200811373576
900,1200,170563.6,22163.131137995824
1200,1500,169258.8,22116.72192618065
1500,1800,168131.1,22075.46643425683
1800,2100,167114.8,22023.33332536199
2100,2400,166183.6,21969.660062003688
2400,2700,165293.0,21927.70486393868
2700,3000,164435.6,21893.271168100942
3000,3300,163581.9,21841.04274273552
3300,3600,162744.7,21794.68538451519
3600,3900,161928.1,21745.619377014766
3900,4200,161083.0,21719.110787506932
4200,4500,160208.7,21672.87277243144
4500,4800,159342.5,21626.614303908045
4800,5100,158411.4,21596.795314120103
5100,5400,157392.3,21567.443464861568
5400,5700,156278.1,21522.827460396555
5700,6000,155036.3,21478.74934464295
6000,6300,153519.7,21478.81112189406
6300,6600,151503.4,21461.98135867236
6600,6900,147793.0,21781.666423852883
6900,7200,63369.1,30313.658411514767
7200,7500,580.8,63.207278061944734
7500,7800,392.7,74.94938291940768
7800,8100,300.0,0.0
8100,8400,300.0,0.0
8400,8700,290.6,28.2
8700,9000,258.7,89.21440466651111
9000,9300,133.6,112.62521920067458
9300,9600,0.0,0.0
9600,9900,0.0,0.0
9900,10200,0.0,0.0
10200,10500,0.0,0.0
10500,10800,0.0,0.0
10800,11100,0.0,0.0
11100,11400,0.0,0.0
11400,11700,0.0,0.0
11700,12000,0.0,0.0
