bin_left,bin_right,loans_mean,loans_std
0,300,94816.4,68851.99605850218
300,600,91576.1,67666.22140543979
600,900,90049.6,67133.54630912923
900,1200,88945.6,66743.5745794305
1200,1500,88029.9,66392.26281495458
1500,1800,87225.0,66082.26285925748
1800,2100,86504.4,65806.26612899413
2100,2400,85832.7,65562.59264405274
2400,2700,85226.1,65339.45685640492
2700,3000,84605.1,65125.01190548836
3000,3300,84011.4,64895.42363711019
3300,3600,83411.8,64689.433354760506
3600,3900,82839.1,64473.50862710978
3900,4200,82259.9,64266.41771944348
4200,4500,81666.2,64037.33279080258
4500,4800,81039.9,63785.32707206258
4800,5100,80361.7,63507.61902016166
5100,5400,79660.5,63228.685156738786
5400,5700,78887.7,62950.1094265133
5700,6000,78004.3,62645.70401240615
6000,6300,76960.8,62356.43616307783
6300,6600,75575.5,62123.60314928618
6600,6900,71738.9,63573.739975637734
6900,7200,58120.3,69054.56339308793
7200,7500,39111.0,73019.12897727554
7500,7800,22053.4,58786.48201619145
7800,8100,20627.7,58021.426345876745
8100,8400,19986.1,57283.96612918837
8400,8700,19528.5,56601.46325007862
8700,9000,19159.8,55995.04213553198
9000,9300,18864.5,55460.489057075574
9300,9600,18660.5,54974.67854794605
9600,9900,18454.5,54524.34239539254
9900,10200,18162.6,54109.994310108734
10200,10500,17927.5,53660.90733718542
10500,10800,17759.0,53177.07522043686
10800,11100,17578.3,52645.960183189745
11100,11400,17344.7,52034.1
11400,11700,17073.2,51219.600000000006
11700,12000,16521.3,49563.899999999994
