bin_left,bin_right,loans_mean,loans_std
0,300,132576.0,52884.078401726925
300,600,128632.3,51978.43291991401
600,900,126759.3,51575.4757710484
900,1200,125397.1,51280.518447944734
1200,1500,124293.2,51033.42912993404
1500,1800,123334.7,50800.475980152
1800,2100,122456.4,50612.54568227131
2100,2400,121615.1,50444.60434466704
2400,2700,120833.1,50268.467172671975
2700,3000,120106.6,50103.43471499733
3000,3300,119377.9,49938.48374039804
3300,3600,118664.8,49772.37494192938
3600,3900,117933.7,49595.81813832695
3900,4200,117200.8,49449.892072278584
4200,4500,116452.2,49290.05263296033
4500,4800,115675.3,49127.7981168503
4800,5100,114858.2,48967.30221239475
5100,5400,113961.4,48790.95205711813
5400,5700,113010.3,48612.04702139172
5700,6000,111911.0,48441.067380890774
6000,6300,110517.1,48374.40827844822
6300,6600,107879.5,49852.89732051689
6600,6900,103982.6,50634.16383668244
6900,7200,45482.7,32902.22880915517
7200,7500,544.3,98.70162106064925
7500,7800,339.6,54.2092243073077
7800,8100,300.0,0.0
8100,8400,300.0,0.0
8400,8700,272.5,82.5
8700,9000,179.0,112.77056353499347
9000,9300,50.0,92.32659421856738
9300,9600,1.3,3.9
9600,9900,0.0,0.0
9900,10200,0.0,0.0
10200,10500,0.0,0.0
10500,10800,0.0,0.0
10800,11100,0.0,0.0
11100,11400,0.0,0.0
11400,11700,0.0,0.0
11700,12000,0.0,0.0
