bin_left,bin_right,loans_mean,loans_std
0,300,75087.2,59064.17372451764
300,600,72193.8,58103.268258850985
600,900,70879.5,57733.50908831023
900,1200,69900.4,57449.49844376363
1200,1500,69100.0,57161.47412374877
1500,1800,68392.9,56928.559002402304
1800,2100,67763.1,56700.096487484036
2100,2400,67170.2,56495.96913373555
2400,2700,66609.6,56297.111958252346
2700,3000,66079.8,56111.05606170677
3000,3300,65538.8,55914.675248632186
3300,3600,65029.8,55749.9881144382
3600,3900,64508.5,55573.819217775555
3900,4200,63989.1,55340.4693952807
4200,4500,63455.7,55155.136636672374
4500,4800,62890.8,54947.73266259492
4800,5100,62308.1,54758.06586147834
5100,5400,61683.6,54507.863181746536
5400,5700,60981.2,54233.41129193331
5700,6000,60179.6,53915.37947598997
6000,6300,59192.9,53534.257012589616
6300,6600,57870.8,53033.1926981584
6600,6900,54525.1,53042.11411029918
6900,7200,41945.1,53060.446798816156
7200,7500,21521.5,55237.241119103695
7500,7800,19759.8,54224.01726689014
7800,8100,18914.0,53581.56772622466
8100,8400,18373.2,53081.99951169888
8400,8700,18034.2,52624.36770508506
8700,9000,17731.0,52260.34095564245
9000,9300,17579.2,51837.59999999999
9300,9600,17436.2,51456.284329127375
9600,9900,17163.4,51099.27335921716
9900,10200,16918.5,50733.503816018856
10200,10500,16785.3,50355.9
10500,10800,16647.8,49943.4
10800,11100,16501.0,49503.0
11100,11400,16322.1,48966.299999999996
11400,11700,16080.7,48242.1
11700,12000,15604.2,46812.59999999999
