bin_left,bin_right,loans_mean,loans_std
0,300,150769.5,42612.67785589166
300,600,146591.4,41930.970203895835
600,900,144605.4,41617.37237068193
900,1200,143143.3,41373.19118958556
1200,1500,141907.1,41153.9593610384
1500,1800,140828.0,40968.34302482833
1800,2100,139881.6,40781.991303024915
2100,2400,139003.9,40656.54852898853
2400,2700,138172.6,40521.63366450074
2700,3000,137375.5,40384.2277015421
3000,3300,136582.6,40264.8501579231
3300,3600,135787.1,40123.70180691208
3600,3900,135009.8,40013.36969514065
3900,4200,134254.2,39906.511508273936
4200,4500,133470.9,39792.80701445928
4500,4800,132644.0,39675.47237778021
4800,5100,131774.7,39560.92153135465
5100,5400,130829.4,39432.17827409488
5400,5700,129797.2,39302.73780234654
5700,6000,128633.1,39183.607874849906
6000,6300,127211.2,39043.94662121134
6300,6600,125287.9,38979.540260115944
6600,6900,121071.4,41194.91553626491
6900,7200,54081.9,34825.667073151664
7200,7500,597.2,60.27901790838998
7500,7800,368.3,95.56050439381325
7800,8100,300.0,0.0
8100,8400,300.0,0.0
8400,8700,300.0,0.0
8700,9000,245.9,69.94490689106676
9000,9300,71.8,102.68086481910832
9300,9600,3.2,9.600000000000001
9600,9900,0.0,0.0
9900,10200,0.0,0.0
10200,10500,0.0,0.0
10500,10800,0.0,0.0
10800,11100,0.0,0.0
11100,11400,0.0,0.0
11400,11700,0.0,0.0
11700,12000,0.0,0.0
