bin_left,bin_right,loans_mean,loans_std
0,300,85930.0,19536.84608630574
300,600,82720.2,19210.654402180055
600,900,81228.3,19008.612827084464
900,1200,80131.9,18851.03243034715
1200,1500,79259.0,18712.862250334663
1500,1800,78505.0,18599.937790218548
1800,2100,77839.3,18490.217024415913
2100,2400,77225.2,18385.22618734945
2400,2700,76653.0,18277.096602031736
2700,3000,76105.2,18171.407753941356
3000,3300,75573.9,18072.319444111206
3300,3600,75060.2,17975.437851690847
3600,3900,74558.5,17881.27623101886
3900,4200,74048.3,17782.852819781197
4200,4500,73530.8,17682.254572310623
4500,4800,72992.2,17588.733284691087
4800,5100,72321.7,17507.14021221056
5100,5400,70615.9,17912.719215406687
5400,5700,67369.9,21447.665506763202
5700,6000,65613.0,23961.161148825824
6000,6300,65057.8,24159.703652156
6300,6600,64578.1,24182.503189082803
6600,6900,64126.4,24154.473052418263
6900,7200,63666.1,24083.04615471224
7200,7500,63216.0,24016.018712517693
7500,7800,62762.1,23929.91930805451
7800,8100,62333.8,23852.385091642303
8100,8400,61892.4,23778.99815467422
8400,8700,61427.9,23685.488504356417
8700,9000,60948.1,23577.675345334617
9000,9300,60450.4,23448.986985368894
9300,9600,59939.0,23325.024805988953
9600,9900,59387.5,23196.68329416945
9900,10200,58816.7,23057.511379374835
10200,10500,58178.8,22897.537818726272
10500,10800,57460.0,22714.927052491275
10800,11100,56648.8,22523.236236384862
11100,11400,55645.7,22267.683112753333
11400,11700,54238.2,21942.08729268936
11700,12000,51177.0,21211.889849798863
