bin_left,bin_right,loans_mean,loans_std
0,300,91004.9,17724.748988067502
300,600,87405.1,17453.555640327275
600,900,85730.0,17353.631078249877
900,1200,84472.1,17270.37139988599
1200,1500,83456.8,17204.87859765363
1500,1800,82596.5,17153.34726081181
1800,2100,81828.2,17126.69643451416
2100,2400,81123.6,17094.962434588735
2400,2700,80461.2,17059.718255586755
2700,3000,79836.8,17027.553651655307
3000,3300,79251.9,17016.41730476777
3300,3600,78661.5,16987.749887786787
3600,3900,78100.8,16977.68755042924
3900,4200,77563.0,16960.125447649258
4200,4500,77047.4,16944.444081763202
4500,4800,76511.5,16939.757880501125
4800,5100,75999.0,16961.283607085876
5100,5400,75482.1,16988.536225643456
5400,5700,74972.8,17036.439709047194
5700,6000,74418.3,17114.56532927436
6000,6300,73178.7,17929.97332429694
6300,6600,70932.8,20718.769175798065
6600,6900,69034.3,23675.226495431885
6900,7200,68318.4,24354.15791687325
7200,7500,67841.9,24519.625618879258
7500,7800,67393.7,24587.92472353045
7800,8100,66987.6,24609.28731271997
8100,8400,66565.1,24596.97709658648
8400,8700,66142.2,24606.287837867785
8700,9000,65710.6,24597.216684820258
9000,9300,65275.1,24585.91197596705
9300,9600,64783.3,24569.56123763711
9600,9900,64291.8,24540.761967795537
9900,10200,63757.8,24488.477293617096
10200,10500,63189.7,24414.907818994525
10500,10800,62576.0,24338.034530339544
10800,11100,61864.6,24225.677881949967
11100,11400,60992.4,24101.33069023368
11400,11700,59774.3,23859.715815784562
11700,12000,57068.7,23301.46088145548
