bin_left,bin_right,loans_mean,loans_std
0,300,257605.2,1267.1018743573857
300,600,252685.9,1166.7053998332228
600,900,250468.9,1127.1857389090762
900,1200,248902.4,1157.9044174714938
1200,1500,247624.2,1173.2950864978511
1500,1800,246514.2,1168.5629465287695
1800,2100,245582.9,1173.5118618914764
2100,2400,244754.8,1171.3512538944074
2400,2700,243981.9,1179.67448476264
2700,3000,243256.7,1190.8756484201026
3000,3300,242568.1,1195.7413976274302
3300,3600,241900.2,1197.0504417107911
3600,3900,241256.8,1194.0123784952984
3900,4200,240655.7,1198.4196301796796
4200,4500,240073.7,1207.3345062574829
4500,4800,239509.2,1218.1836314776192
4800,5100,238956.0,1222.5536389050585
5100,5400,238381.4,1231.8795558008096
5400,5700,237820.4,1230.6188849517953
5700,6000,237257.1,1224.0628619478657
6000,6300,236700.8,1207.1293054184375
6300,6600,236142.6,1220.7561754912404
6600,6900,235596.6,1221.5115390367787
6900,7200,235048.0,1215.2407991834375
7200,7500,234482.6,1214.6914176036644
7500,7800,233907.3,1218.5701498067315
7800,8100,233317.4,1203.7712573408621
8100,8400,232683.5,1211.4892694530974
8400,8700,232045.2,1227.6787690597243
8700,9000,231383.1,1237.9378376962231
9000,9300,230696.3,1230.4564234461943
9300,9600,229953.4,1220.4976198256186
9600,9900,229180.2,1211.3987617626162
9900,10200,228322.8,1221.6600018008285
10200,10500,227370.9,1226.1387727333313
10500,10800,226309.1,1215.472702285
10800,11100,225047.2,1241.9066631595147
11100,11400,223496.4,1231.1954515835412
11400,11700,221331.5,1185.8773334540128
11700,12000,216510.7,1251.0374934429424
