bin_left,bin_right,loans_mean,loans_std
0,300,33947.3,366.9081765237728
300,600,31833.3,351.8178648107569
600,900,30811.2,369.6449106913282
900,1200,30063.9,359.6291006022733
1200,1500,29467.4,343.66239247261257
1500,1800,28966.6,337.8044404681501
1800,2100,28493.8,325.32623626138735
2100,2400,28069.9,303.6522517617809
2400,2700,27652.8,291.7025197011503
2700,3000,27272.7,289.3548167907353
3000,3300,26907.5,269.34930851962474
3300,3600,26555.6,259.8762012959247
3600,3900,26214.3,254.34820620558736
3900,4200,25890.9,246.18101064054474
4200,4500,25562.8,211.42270455180542
4500,4800,25248.7,202.3764067276618
4800,5100,24938.3,181.83456767072644
5100,5400,24632.1,159.38535064427973
5400,5700,24331.8,151.67188269418958
5700,6000,24042.8,142.6105185461437
6000,6300,23747.4,126.58530720427233
6300,6600,23464.3,108.53114760288862
6600,6900,23177.4,112.44394158868677
6900,7200,22890.5,100.91704514104642
7200,7500,22607.7,101.84993863522942
7500,7800,22326.4,108.21755864923216
7800,8100,22040.9,117.87743634809844
8100,8400,21751.9,131.310662171813
8400,8700,21461.6,139.35293323070024
8700,9000,21175.9,150.33924969880619
9000,9300,20858.5,157.89189339544953
9300,9600,20533.4,170.11360909697967
9600,9900,20194.7,174.5852513816674
9900,10200,19840.8,172.19512188212533
10200,10500,19454.4,177.7859387015745
10500,10800,19006.9,194.35763427249262
10800,11100,18530.0,184.16351430182905
11100,11400,17921.0,171.31841699011815
11400,11700,17105.0,163.75347324560784
11700,12000,15397.9,208.9341762373978
