bin_left,bin_right,loans_mean,loans_std
0,300,215477.3,50808.78055621882
300,600,210536.6,50080.05556546438
600,900,208140.6,49743.22026809282
900,1200,206378.9,49472.84075217432
1200,1500,204902.4,49250.41603113622
1500,1800,203639.1,49032.424911378796
1800,2100,202506.0,48868.00605713313
2100,2400,201442.6,48709.85687969119
2400,2700,200412.6,48526.79784449001
2700,3000,199411.5,48355.372742333406
3000,3300,198420.6,48202.7322715217
3300,3600,197410.8,48023.368382069995
3600,3900,196356.7,47815.25211697623
3900,4200,195254.1,47629.593648172144
4200,4500,194148.7,47440.87441025935
4500,4800,192937.9,47195.045897742275
4800,5100,191515.4,46910.64636561726
5100,5400,188493.7,46524.80911309578
5400,5700,179408.4,51741.17925057372
5700,6000,171551.2,58872.1365601759
6000,6300,161229.5,64574.61761597973
6300,6600,153209.0,70295.87008637136
6600,6900,141939.4,75551.77301850698
6900,7200,130511.0,72051.7284830836
7200,7500,123980.0,70140.01276874705
7500,7800,117562.7,69001.9520840534
7800,8100,105023.6,75661.06913756902
8100,8400,103303.0,75095.7505695229
8400,8700,101974.6,74555.97253634344
8700,9000,100855.1,74043.68974794543
9000,9300,99818.6,73595.84115315213
9300,9600,98893.1,73156.90194568111
9600,9900,97968.2,72746.13953441102
9900,10200,97116.2,72334.85233246833
10200,10500,96186.4,71925.28239944561
10500,10800,95216.4,71457.99969940384
10800,11100,94159.4,70956.4016240959
11100,11400,92878.1,70373.13399366266
11400,11700,91228.1,69590.04335743727
11700,12000,87886.3,68044.8326503196
