bin_left,bin_right,loans_mean,loans_std
0,300,45536.4,30534.519528559806
300,600,43321.8,29964.825425154744
600,900,42310.6,29697.221678803555
900,1200,41521.3,29464.45116424197
1200,1500,40871.9,29272.17407522031
1500,1800,40314.2,29126.324837850723
1800,2100,39802.8,28989.03566799006
2100,2400,39320.8,28832.838645544423
2400,2700,38877.7,28726.378205579626
2700,3000,38429.2,28607.151619131884
3000,3300,37996.2,28487.1436258534
3300,3600,37579.9,28359.735240125217
3600,3900,37141.4,28236.452720552563
3900,4200,36709.0,28133.72757385697
4200,4500,36228.2,27993.257544630276
4500,4800,35728.3,27851.784463656903
4800,5100,35202.5,27720.135743715255
5100,5400,34592.0,27559.018523887964
5400,5700,33853.5,27419.845164588365
5700,6000,32915.4,27240.180547125605
6000,6300,30979.6,27157.203557067503
6300,6600,22859.0,28592.20790705048
6600,6900,7544.5,12530.610434053084
6900,7200,2112.1,866.5441073598043
7200,7500,1780.0,864.9599990751018
7500,7800,1584.8,833.5485348796433
7800,8100,1472.7,784.7699089542106
8100,8400,1313.3,800.1066241445575
8400,8700,1201.9,774.9517985010423
8700,9000,1131.5,744.9623144830884
9000,9300,1040.6,706.9336885451139
9300,9600,939.9,706.985636346312
9600,9900,830.7,676.868680025897
9900,10200,749.8,662.7720271707308
10200,10500,694.5,607.1235870891527
10500,10800,637.8,566.1760856835972
10800,11100,504.8,556.2535033597542
11100,11400,362.0,538.0392179014462
11400,11700,283.2,441.2767385666278
11700,12000,165.5,262.78327572355136
