agent,constraint,reward,group,n_seeds,mean,median,p10,p90,zero_share,top10pct_share
pepg,social,rawlsian_maximin,Male,10,80.36585833333334,80.0,63.0,99.0,0.0,0.13132973134021944
pepg,social,rawlsian_maximin,Female,10,789.9401083333333,790.0,752.0,828.0,0.0,0.10651279030837095
pepg,social,fairness_lagrangian,Male,10,242.63354166666667,230.0,185.0,356.0,0.0,0.1232183536853568
pepg,social,fairness_lagrangian,Female,10,226.60269166666666,249.0,121.0,306.0,0.0,0.12536360695903803
pepg,social,social_welfare,Male,10,70.536775,35.0,1.0,145.0,0.06199166666666667,0.21104025195176007
pepg,social,social_welfare,Female,10,512.4403166666667,586.0,51.0,765.0,0.0,0.14750728965420115
pepg,eo,rawlsian_maximin,Male,10,231.2415,100.0,0.0,522.0,0.25810000000000005,0.18959548566501108
pepg,eo,rawlsian_maximin,Female,10,191.34679166666666,143.0,0.0,633.0,0.14659166666666665,0.18261468526084795
pepg,eo,fairness_lagrangian,Male,10,317.584975,464.0,0.0,614.0,0.24309166666666665,0.1829669754588587
pepg,eo,fairness_lagrangian,Female,10,80.13316666666667,101.0,0.0,159.0,0.20636666666666664,0.1951057627285357
pepg,eo,social_welfare,Male,10,265.07500833333336,409.0,0.0,549.0,0.2482583333333333,0.18646669043006533
pepg,eo,social_welfare,Female,10,151.553975,128.0,0.0,266.7000000013213,0.17086666666666667,0.18497334770842605
