agent,constraint,reward,group,episode,gini,n_seeds
pg,social,rawlsian_maximin,Male,100,0.18026184473938933,10
pg,social,rawlsian_maximin,Male,500,0.06605559192215682,10
pg,social,rawlsian_maximin,Male,1000,0.03980820983392874,10
pg,social,rawlsian_maximin,Male,1500,0.030668869774994945,10
pg,social,rawlsian_maximin,Male,2000,0.02574126824793832,10
pg,social,rawlsian_maximin,Male,2500,0.022641240750023606,10
pg,social,rawlsian_maximin,Male,3000,0.020399170263124544,10
pg,social,rawlsian_maximin,Female,100,0.25786342770388704,10
pg,social,rawlsian_maximin,Female,500,0.16537509366947678,10
pg,social,rawlsian_maximin,Female,1000,0.13474430998674713,10
pg,social,rawlsian_maximin,Female,1500,0.1171633863419489,10
pg,social,rawlsian_maximin,Female,2000,0.10296928145200801,10
pg,social,rawlsian_maximin,Female,2500,0.09140516120739561,10
pg,social,rawlsian_maximin,Female,3000,0.08210729426910701,10
pg,social,fairness_lagrangian,Male,100,0.6099936200729246,10
pg,social,fairness_lagrangian,Male,500,0.368043662525388,10
pg,social,fairness_lagrangian,Male,1000,0.3058271860326507,10
pg,social,fairness_lagrangian,Male,1500,0.22937140379208754,10
pg,social,fairness_lagrangian,Male,2000,0.20410108121203518,10
pg,social,fairness_lagrangian,Male,2500,0.1987557496108212,10
pg,social,fairness_lagrangian,Male,3000,0.1919004430172393,10
pg,social,fairness_lagrangian,Female,100,0.22268111409815616,10
pg,social,fairness_lagrangian,Female,500,0.12070736520651315,10
pg,social,fairness_lagrangian,Female,1000,0.1061908921466046,10
pg,social,fairness_lagrangian,Female,1500,0.10301042071219091,10
pg,social,fairness_lagrangian,Female,2000,0.10137161865168909,10
pg,social,fairness_lagrangian,Female,2500,0.09594983329050188,10
pg,social,fairness_lagrangian,Female,3000,0.09190414734575081,10
pg,social,social_welfare,Male,100,0.1806198890054973,10
pg,social,social_welfare,Male,500,0.06651805751499107,10
pg,social,social_welfare,Male,1000,0.0399619910799649,10
pg,social,social_welfare,Male,1500,0.030747040139632142,10
pg,social,social_welfare,Male,2000,0.026081083304859698,10
pg,social,social_welfare,Male,2500,0.02295932079091778,10
pg,social,social_welfare,Male,3000,0.020709902915212353,10
pg,social,social_welfare,Female,100,0.259419866380202,10
pg,social,social_welfare,Female,500,0.1660103601453209,10
pg,social,social_welfare,Female,1000,0.1356052773693106,10
pg,social,social_welfare,Female,1500,0.1180234630358783,10
pg,social,social_welfare,Female,2000,0.10481462908381545,10
pg,social,social_welfare,Female,2500,0.09354111717493085,10
pg,social,social_welfare,Female,3000,0.08413113167537156,10
pg,eo,rawlsian_maximin,Male,100,0.1802166774955074,10
pg,eo,rawlsian_maximin,Male,500,0.06642033019297644,10
pg,eo,rawlsian_maximin,Male,1000,0.04015469159301277,10
pg,eo,rawlsian_maximin,Male,1500,0.030936297520326006,10
pg,eo,rawlsian_maximin,Male,2000,0.025966195695814376,10
pg,eo,rawlsian_maximin,Male,2500,0.02275817981020256,10
pg,eo,rawlsian_maximin,Male,3000,0.02051027736009181,10
pg,eo,rawlsian_maximin,Female,100,0.25811847435676893,10
pg,eo,rawlsian_maximin,Female,500,0.16591589616923297,10
pg,eo,rawlsian_maximin,Female,1000,0.1350956665974321,10
pg,eo,rawlsian_maximin,Female,1500,0.11750126336104394,10
pg,eo,rawlsian_maximin,Female,2000,0.10350098755227288,10
pg,eo,rawlsian_maximin,Female,2500,0.091974306488528,10
pg,eo,rawlsian_maximin,Female,3000,0.08255568472960206,10
pg,eo,fairness_lagrangian,Male,100,0.18052028754710014,10
pg,eo,fairness_lagrangian,Male,500,0.06636251897546552,10
pg,eo,fairness_lagrangian,Male,1000,0.039987903811664394,10
pg,eo,fairness_lagrangian,Male,1500,0.031074443715725986,10
pg,eo,fairness_lagrangian,Male,2000,0.026131681334191192,10
pg,eo,fairness_lagrangian,Male,2500,0.02295420358898248,10
pg,eo,fairness_lagrangian,Male,3000,0.020857214314627504,10
pg,eo,fairness_lagrangian,Female,100,0.25925045776888034,10
pg,eo,fairness_lagrangian,Female,500,0.16601869603857244,10
pg,eo,fairness_lagrangian,Female,1000,0.13556675625402337,10
pg,eo,fairness_lagrangian,Female,1500,0.11835834628915942,10
pg,eo,fairness_lagrangian,Female,2000,0.10460226522743032,10
pg,eo,fairness_lagrangian,Female,2500,0.09322541089712788,10
pg,eo,fairness_lagrangian,Female,3000,0.08416913232501055,10
pg,eo,social_welfare,Male,100,0.18008227736527782,10
pg,eo,social_welfare,Male,500,0.066672598389659,10
pg,eo,social_welfare,Male,1000,0.04023171122267655,10
pg,eo,social_welfare,Male,1500,0.031097414703235127,10
pg,eo,social_welfare,Male,2000,0.026308736205308936,10
pg,eo,social_welfare,Male,2500,0.02315113768661392,10
pg,eo,social_welfare,Male,3000,0.020975886108191455,10
pg,eo,social_welfare,Female,100,0.2584714809923391,10
pg,eo,social_welfare,Female,500,0.1669198646911676,10
pg,eo,social_welfare,Female,1000,0.13602089738752232,10
pg,eo,social_welfare,Female,1500,0.11871322525542649,10
