episode,RL_mean,RL_std,PERL_mean,PERL_std,Oracle_mean,Oracle_std,Pattern Prediction_mean,Pattern Prediction_std
1,317.99131036626795,430.9307395185557,196.65127377817885,302.69942809421326,1831.0669594573308,329.2560046364765,685.152413827492,233.2215626939942
2,468.893064412481,545.0563118547219,456.2438123220904,928.7823283860772,3974.602994586981,387.4895893497936,1400.9938350796097,427.0765928964592
3,805.1813838247725,746.6296260385124,649.8940750126835,1143.6587313686634,5895.353965617174,580.5628858761664,2331.43766403089,430.15633232521
4,1030.0776535244663,729.1227175576036,900.984504484959,1443.1190491598777,7908.959344328357,583.639549364074,3036.995163790002,647.5993330297987
5,1266.6534070706298,975.0854524600518,1076.960210194979,1410.7404634795066,9826.263676429078,779.2947231539188,3912.5788706571834,628.6913626549115
6,1455.9780450256997,1053.5719925100009,1337.0024963668989,1724.6416532965654,11782.79811468382,843.9271986626112,4651.306522990731,790.5339935551684
7,1654.6812333333176,1108.285518126383,1703.6625065499732,2241.9916376046594,13737.993336713776,955.7163487941664,5661.894772099051,778.232624309114
8,1664.421769941165,912.8209273599648,2007.9058608617408,2595.0548537496834,15623.096555100294,1168.7136662411103,6543.705811339764,830.0803988978128
9,1789.621922970821,1108.642225226016,2314.3308037777665,2898.4083787492896,17766.02194108292,1173.0781981647658,7485.212256479608,683.1707785053844
10,1972.1200145195107,1147.6090285604755,2618.022366788545,3129.7291165982992,19873.65582809952,1527.763792119037,8305.569558723799,948.5712280330856
11,2256.767241522918,1310.167715465156,2890.512282403934,3414.95302089379,21636.74867008565,1552.247769308324,9130.776719911804,1011.155717984906
12,2441.840703005229,1236.4722909601403,3277.020482116496,3681.091699840929,23459.552704680427,1371.7231982433293,9978.593631816577,1090.4878581502817
13,2725.1165393476526,1466.9491657559226,3498.972595484513,3465.302104874069,25409.30005504761,1341.8912778698673,10936.688793661986,1038.4238957562054
14,2931.9419937486605,1742.6961531633458,3897.4077859840136,3568.234298089593,27422.63823524884,1475.4155003534595,11743.627509439468,1189.7166860027758
15,3122.718414507916,2074.7581220917355,4375.030689967411,3865.3405750669294,29213.017032865588,1521.378713600889,12425.542983116557,1276.0188473782057
16,3310.71774735094,2145.9383507503208,4748.089327026295,3997.217817812481,31113.75975834545,1351.5460904864144,13249.606687594023,1390.8221888878213
17,3518.192582172042,2166.9083148612685,5049.237504684796,3840.711552589701,33056.34663312249,1337.0608335212116,14190.351700303863,1396.3870503597554
18,3598.327032583512,2014.206901628417,5595.817273612514,4255.268717014378,35391.15532463726,1274.999609299597,15087.255725821062,1311.7336475116076
19,3846.891608803414,2142.0780277422377,6132.793028426194,4360.442010151219,37474.18633716796,1416.9978185006592,15976.73276901583,1335.3458499702788
20,3914.382553022458,2165.12428169505,6558.108619292938,4149.837309375773,39527.668712663966,1408.8187918220954,16886.014003268105,1429.4330634134092
21,4285.924770394037,2397.1712479644057,7114.746040034409,4372.218745715213,41631.86404918488,1319.0669519769085,17767.676964278933,1477.528460138065
22,4488.410824549666,2527.357066927024,7680.919453120723,4353.0799167534615,43829.49042540944,1374.6111156590266,18846.10222315297,1414.8804947195017
23,4727.609459157017,2668.8380451830662,8199.145122720189,4255.348014467422,45828.955711446455,1411.6518804955265,19757.21341256558,1476.3853432843866
24,5036.885499582027,2784.112184388808,8811.551607652274,4037.7527169428913,47765.71225083054,1455.616976796087,20688.62429594345,1407.26017382642
25,5150.891816856919,2775.21065948187,9591.713523532597,4367.274375357138,49652.403556725774,1597.4620906184166,21706.269936808578,1491.2296097780309
26,5312.547934935258,2864.3108264839047,10122.733831236164,4086.01776964967,51659.91375389799,1535.805559808451,22569.91432006319,1656.7845038342036
27,5290.254536328521,2413.420541229512,10742.840495220811,4047.205405830066,53462.53409724266,1644.8786114181214,23302.068541499244,1687.1821503141489
28,5624.892696055986,2777.3429847651937,11466.291512535605,4063.2853275984735,55526.45243800663,1589.470922786344,24242.58296932291,1856.5188824688607
29,5776.002268947488,2808.687622707674,12289.331053645006,4055.144024157372,57611.23603712958,1721.2883666713608,25146.035461210413,1817.233918289522
30,5936.467109663354,2818.485552631866,12990.549372525247,3944.175520111474,59496.76045992321,1833.738585578156,26033.217863722755,1702.1594287718124
31,6067.581464310481,2961.773950576174,13692.779563289105,3736.997782066984,61635.35645150153,1911.9908461355008,26885.09310943223,1758.687084953067
32,6223.543994355495,3197.800250793791,14480.45200960603,3669.057724773144,63494.97553112217,2021.8076919907548,27748.97018896729,1761.1895008384845
33,6461.419275959303,3185.2763955525525,15312.253187998209,3694.4328047280783,65463.64206129634,2122.4782019046843,28795.371141522173,1814.3844722491967
34,6539.992279136588,3144.3997211730853,16059.75313169657,3512.5319881214364,67361.6748611718,2003.624574181821,29654.803003790857,1809.5919096496127
35,6693.683539305421,3096.55845331556,16769.849935844388,3248.748937013928,69433.08256896329,2081.6220202104723,30687.652357710795,1822.2252287256777
36,6791.209833174917,3105.1743313449224,17501.11344838432,3188.4639222355195,71413.8328634673,2029.2003504938425,31520.168643978155,1908.4373556844523
37,7115.745497741353,3158.0625369464465,18256.58923924909,2975.221485212288,73242.3112323824,2197.332130609251,32365.636327765744,1856.3308013325395
38,7277.891282078311,3015.178918144853,19058.96733801389,2881.856307693652,75426.5882722255,2182.4049283248373,33309.14864309699,1854.09981749243
39,7596.828784665743,3041.351687166331,19796.856264728893,2815.3560121994524,77522.17970143375,2135.308738648568,34317.28760756999,1871.3429129245496
40,7827.637954208559,3185.003424795828,20630.80704355379,2838.7806751965777,79447.16801027952,2317.138194291301,35364.63248900276,1854.322193792852
41,8007.423009814741,3582.0084882030437,21519.930605762245,2882.952638012736,81495.12189956623,2406.241291638213,36280.28887011929,1930.7255017004277
42,8161.565012126526,3760.417055807903,22316.744408543065,2763.302862941636,83545.68982304519,2358.859451733394,37244.15403908835,2073.4200898795184
43,8430.839929790669,3859.388538578545,23094.494708902253,2741.867855936133,85799.01830726562,2381.6373428067945,38133.35456417879,2223.9426427644585
44,8588.96960108649,3704.766523075719,23805.26044520583,2695.0418782531897,88036.80449228115,2365.257133378903,39282.84698665123,2238.7868207652723
45,8862.445343894258,3986.141073775083,24655.31387783108,2807.4044555180185,90036.02819346805,2226.18731155086,40222.35540677171,2184.724509190763
46,8928.265496085438,4037.7582281977775,25475.005139500183,2893.205246535046,91989.71646097217,2166.635523752403,41127.46815004559,2160.25445984524
47,9100.8176412638,4266.20450989724,26289.5938240939,2873.420843869827,93812.0898804176,2309.92475080004,42137.77021034363,2170.1599093941268
48,9493.972998482148,4537.946686242685,27057.208760205074,2956.5734272553245,95740.475504414,2216.675231963895,43231.28688086152,2013.112721847876
49,9561.287886688451,4525.0989197807885,27782.17047964557,2971.4014586459816,97958.73413721254,2296.2318205338283,44130.96591526225,1993.6847072853648
50,9892.58576165912,4666.077072785814,28587.15745033709,3070.599688080978,99989.01786277528,2373.790965232861,45100.52492031304,1926.320993551046
51,10240.365608696458,4725.137224028851,29391.59521517242,3109.608246540552,102159.02329260754,2310.3930626712104,46012.37583982444,1888.6970075230015
52,10453.186610655328,4600.336585770109,30064.489175327257,3137.469025817993,104004.098539692,2032.6550784665264,47226.039082006544,1893.828326340452
53,10858.821076318412,4699.948379842816,30673.43036642702,3198.8067266700364,106267.4941968768,2320.7743327947696,48245.63345517372,1951.2309600591293
54,10907.38136323476,4531.089376610717,31290.001961003007,3385.0985582964977,108193.25574662464,2332.680113140851,49301.83482899584,1732.9854699927916
55,11204.14108212465,4562.581540459042,32095.1932082601,3590.666999125471,110298.61233952823,2369.8196531118024,50345.38832133684,1777.1442973706896
56,11397.1353764534,4405.091691572428,32884.73321475981,3835.753529007712,112441.81466640932,2391.845108772532,51241.2402237169,1712.5303000276597
57,11847.14524950339,4491.939748091359,33636.84713583767,3954.183304495257,114484.01895631517,2154.845347744796,52250.42366930926,1652.1076713254686
58,11962.458172417611,4700.989237016884,34344.48449071817,4176.796276331012,116316.28188680796,2139.479396797097,53408.47270307216,1538.1921915497626
59,12104.950405870642,4759.914117430721,35171.5675552408,4507.12182934728,118445.15652816184,2343.144740663327,54552.35601809806,1488.190380249429
60,12568.854090449657,4722.475193342981,35758.809058772,4762.201044695746,120492.5143185415,2253.789475420216,55648.82370046891,1319.758681939189
61,12946.069610590212,4751.745978878622,36495.89980378267,5111.81992480957,122337.74788865316,2488.848002363684,56624.3589215681,1357.4590886200583
62,13133.429548319788,4736.807418722029,37095.66546771747,5311.417373273192,124618.3946155683,2443.521578504211,57686.139635531945,1409.403143629861
63,13482.19686758718,4779.114369318052,37722.06724332194,5610.660554854971,126566.1555723374,2411.9602185229924,58703.25515607325,1428.1560314181174
64,13746.22875996943,4776.933995856824,38163.02764783605,5899.182502639923,128565.48452134224,2394.5865234825687,59823.31129379347,1388.388093502408
65,13852.508555523114,4910.494340297879,38913.94674706854,6224.829797306876,130604.45742364733,2221.6098013369565,60780.668470710014,1337.6810262948538
66,14144.33057684444,5060.21731068899,39517.98065058531,6515.769120076307,132675.19787051107,2189.857580839673,61714.598494166086,1514.1192528011009
67,14394.24787264213,5395.910264297832,40171.72634305126,6836.714002794301,135008.2203330819,2402.540396967975,62826.496628276574,1509.9327916823224
68,14558.481687083977,5444.556776548,40984.12407931953,7117.480304132393,137068.49990468484,2336.7406096750738,63940.13123051203,1394.6862452029063
69,14706.019402983078,5302.546070424282,41860.83596317544,7523.205501778772,139156.29109345214,2291.9351567303124,65035.86816444805,1536.6181305883308
70,14817.199773990254,5348.028227908767,42505.08949278317,7828.545238830854,141186.7609421468,2292.2078670062383,66174.39473798996,1491.8412120157277
71,15048.163010167296,5150.969684461361,43123.48517180688,8173.946614201173,143450.1168692332,2398.9202337334127,67219.20701579514,1569.9502328870517
72,15397.90332435782,4924.649100619706,43865.88750338296,8555.023553542464,145615.02092667928,2451.620147246014,68380.57988268035,1580.2292011378274
73,15583.653668427918,4718.574029844619,44610.86437774031,8857.230882097114,147487.65843474824,2602.164473147738,69543.445759477,1455.4886143395356
74,15784.778903542528,4655.625983134545,45275.5096309907,9261.839094068308,149477.43590936452,2717.303719744036,70494.87178819114,1509.4338986657533
75,15994.97740512997,4735.00560007016,46013.481110142005,9682.378618809784,151520.0804027071,2828.013236420501,71658.50219309496,1413.5385199129216
76,16292.312990794451,4959.013507369902,46710.98940578204,10040.702328326004,153911.64505918958,3029.5547391471405,72873.45909723657,1476.9976457568157
77,16274.697219668582,5235.50154196109,47521.08992783115,10270.634563099176,156312.3696320717,3034.088607025056,74052.42691409972,1559.7335616258033
78,16496.71571994443,5328.067394862981,48215.24534156951,10602.06761170448,158416.1267547742,3041.5540879845275,75267.5288010226,1506.0699303136269
79,16432.747947437667,5476.861301782848,48875.71485251953,11038.283064900645,160675.38418089136,2908.372227109408,76385.55408205639,1542.759003244476
80,16867.73348570322,5606.50483868338,49527.225593776224,11412.018653081115,162663.0450043938,2759.519475377878,77595.24106962982,1482.6681428438394
81,17241.339088592667,5701.844989970552,50095.72254203104,11795.007158014098,164958.2550151252,2688.2806546289235,78756.27100850416,1453.807834575219
82,17398.906878958012,5745.17326505061,50835.8061202659,12117.69331244111,166789.7093768492,2771.244752561321,79792.60897309057,1530.6537153862264
83,17797.506346130474,5729.867218285193,51452.669859848174,12611.313459771987,168871.56860183814,2811.700666592675,80949.38395442851,1590.750669219878
84,18041.822138606884,5674.3327886092375,52226.72782623724,13048.379393529396,170931.84532560452,2977.575570493955,82244.49602106986,1669.63634413257
85,18275.17651711071,5630.240015825132,52943.739486162805,13568.59974470832,173145.76612183513,3039.833297882226,83436.72145002746,1689.0440718582486
86,18497.971396577854,5518.643322740786,53611.45181000044,14088.515357080394,175177.76248077324,2905.963310117116,84637.46958273607,1579.4757976108644
87,18696.819671150373,5517.629891904146,54289.58519782162,14603.4014098858,177196.1028409487,2929.917103069872,85726.58198809475,1593.3302961422305
88,18939.34663023185,5651.252458360437,55022.94715132284,15021.124288713732,179251.42672500387,2885.364000956822,86781.36757296477,1514.051072321732
89,19187.32590582378,5525.934070860333,55824.17892840423,15475.448940690898,181299.1837168808,2881.556158233628,88044.5153179507,1549.238039936204
90,19277.34985468652,5559.253082517057,56604.63259060504,16043.805956371085,183409.6438428787,3071.734664674454,89241.00415054642,1540.8431980561322
91,19547.61881826596,5760.989580867884,57178.56844219267,16410.73593043105,185546.96987512903,3352.933496176632,90362.62272950684,1492.8905237412014
92,19579.781128057453,5645.564150269154,57876.08772153095,17022.17496640102,187894.41622983292,3217.640458971553,91394.38245722342,1595.6878505606323
93,19940.43389267161,5719.736933020906,58439.42383931777,17299.930033051263,189789.14661692327,3219.867249482311,92687.45579171696,1599.764933205886
94,20256.731779008194,5745.004216214225,59093.68265237487,17618.185800922405,192180.510105521,3191.501875430814,93865.84526477606,1575.146785643215
95,20738.61827979981,5852.900562675158,59873.50750217812,17914.82707458823,194063.38002030004,3040.7933163612984,95173.77831492384,1715.1851549769633
