episode,pg_rawlsian_maximin_mean,pg_rawlsian_maximin_std,pg_fairness_lagrangian_mean,pg_fairness_lagrangian_std,pg_social_welfare_mean,pg_social_welfare_std,sac_rawlsian_maximin_mean,sac_rawlsian_maximin_std,sac_fairness_lagrangian_mean,sac_fairness_lagrangian_std,sac_social_welfare_mean,sac_social_welfare_std
1,408.8062544048209,565.3305493698022,370.7062437158296,544.3152875484535,421.91602448802007,506.3431017608687,609.4570734358655,523.896655335912,592.4346589469169,412.6999379615423,563.6062732276484,484.95470174658453
2,1136.9666030616158,479.568732780407,1103.7167859505914,531.6228864137743,957.1571004029176,412.8185094038441,1459.2814465701026,689.8269425444398,1582.510915096476,448.6902311766221,1356.1935401934702,810.1701218900331
3,1892.1706323447736,591.2605422902697,1845.8683379743536,766.4374241435437,1297.5074256355365,923.3588041512902,2475.7531487801803,719.9124923308285,2824.675751412057,542.5137997619712,2575.0425045532857,991.853573187426
4,2515.208036763044,875.6580209864921,2195.9736691281832,668.63093348466,1827.812696196164,822.0647676994134,3523.756061293087,940.3382601552836,4056.052465615115,512.8695555887092,3853.689024045867,1295.674280724106
5,2723.5833506428653,1092.5919280437531,2450.2711254398528,985.2477683319734,2165.3408336887233,1185.1491071166697,5037.648501762533,1069.8004536957444,5431.667634816883,645.0253766863275,5594.386716089591,1147.6545016491507
6,2937.1495900219256,1233.0945999563348,2622.7401857043415,1118.8349195376395,2366.4941707095486,1276.5781924457897,6404.3341633412365,1202.722824932638,7099.480490110477,687.9378475802203,7306.139243346244,1118.5779685472612
7,3488.620198797324,1159.430215691384,3417.616821035323,1061.3408153675437,2875.7387497611044,1162.203356168132,7917.154278295733,1234.346958427972,8698.24381988635,652.0546335644507,8811.91634725907,1239.3662355834326
8,4043.023221573408,1181.7454534295728,4208.613882200059,1135.5030247546565,3161.3258532237815,1291.385073019416,9228.968391667173,1645.0712170599872,10270.186732733962,994.1502031136132,10529.730272049595,1404.9200001226754
9,4277.640443357782,1420.9654724062682,4793.777248161731,1122.2772129522891,3372.9561815238585,1268.3328427019276,10691.90656034613,1812.85978227993,11801.44692427398,1066.7945712449955,12112.546098666284,1593.2873844362268
10,4546.844939911594,1742.4750049381669,5077.71524321428,1377.6576372433274,3892.026515641165,1029.688736890268,12169.64578108864,2021.2862200215577,13341.070584378993,1312.6824646989364,13600.752394157647,1499.946621196058
