episode,pg_rawlsian_maximin_mean,pg_rawlsian_maximin_std,pg_fairness_lagrangian_mean,pg_fairness_lagrangian_std,pg_social_welfare_mean,pg_social_welfare_std,sac_rawlsian_maximin_mean,sac_rawlsian_maximin_std,sac_fairness_lagrangian_mean,sac_fairness_lagrangian_std,sac_social_welfare_mean,sac_social_welfare_std
1,301.85240508136974,628.6506135642744,317.99131036626795,430.9307395185557,372.6325266762942,604.7958894335476,681.6294943382424,527.589837498237,294.773148815603,530.9011136625485,653.364493886117,597.5031767255489
2,825.246196172678,745.0403147860538,468.893064412481,545.0563118547219,1022.686996799536,642.0261252448754,1634.578962267469,570.0410924430258,392.3734429929364,400.3699455409021,1780.4995717753347,809.6442493657411
3,1513.9568897424967,930.1649875208506,805.1813838247725,746.6296260385124,1818.5788888530235,1015.8388818938456,2586.77333031761,912.5140296312971,775.3962793264427,360.10088005385654,2716.754573234447,819.6945276876712
4,2081.576982186461,811.0237003837375,1030.0776535244663,729.1227175576036,2417.555754057852,669.1870856874732,3625.377844466899,840.041687782336,1224.0899981594107,426.88394566547635,3618.057922349845,1218.4382503182592
5,2393.332650226399,944.940173132936,1266.6534070706298,975.0854524600518,2773.7304570664633,787.4981564847232,4802.8905121350135,921.7689996246464,1801.2185484055617,582.6610371392725,4765.007494286214,1587.5074615611052
6,2437.4897584442697,1077.8766971560049,1455.9780450256997,1053.5719925100009,3355.167900702288,939.5000738759944,5986.551108089987,937.4984076732592,2523.942670565138,669.4487096775517,6001.911461136839,1634.4441504367007
7,2749.5461212387822,1545.169479894442,1654.6812333333176,1108.285518126383,3897.752278362729,1316.8975283047914,6873.4719977153045,1126.4259873035478,3191.8997630483454,803.0713081537978,7281.832344021459,1693.1326933521464
8,3297.013872261683,1931.6964745981847,1664.421769941165,912.8209273599648,4644.520780176192,1388.8223704457823,8159.94541780783,883.600369341689,4251.1834233092095,1060.2089886818749,8696.682385284916,1901.38181812268
9,3780.7409330551127,1756.8143627100023,1789.621922970821,1108.642225226016,5065.326996788548,1566.9517399762965,9407.412549619565,1117.8379647695542,5253.6122748742455,1215.437025416324,9859.49640239398,2015.336887002967
10,4215.044097183503,2120.1120307498395,1972.1200145195107,1147.6090285604755,5188.261077083835,1591.131209216525,10594.504357483414,1184.7034437214743,6382.195346859951,1245.1288049229845,11121.48273013388,2019.7103278172413
11,4771.777701801997,2142.106664980394,2256.767241522918,1310.167715465156,5760.649708575849,1625.849728323274,11814.166154276772,1492.2605583786822,7561.22191780832,1381.6255855454394,12722.17031730392,2144.719615879503
12,5371.176477563308,2124.85047752792,2441.8407030052294,1236.4722909601403,5769.407152777776,1742.292115317519,13143.331023383513,1617.4364941304098,8532.173303936272,1433.3348863172412,13841.28008975398,2393.2569660584186
13,5860.638780312598,2282.635985255267,2725.1165393476526,1466.9491657559226,6415.888702595479,1913.1360235547495,14459.021439107635,1419.6137649591908,9851.48799658746,1417.9413311128617,15080.783498488763,2874.3852868527533
14,6655.700595453073,2480.5120205226053,2931.9419937486605,1742.6961531633458,6959.062687162683,2098.476503976528,15793.502498507729,1371.7631585358822,11040.19698637167,1481.1683389848474,16205.938618153456,2859.858555840933
15,7182.574551871908,2594.529935237614,3122.718414507916,2074.7581220917355,7495.559046952063,2109.166851336089,17116.637856007423,1480.8724024846708,12108.543072743403,1634.284192121164,17566.40408903428,3315.3800868014514
16,7877.489220319216,2880.525460915218,3310.71774735094,2145.9383507503208,8318.29066216317,2499.9726245653214,18506.209843203556,1542.219993775233,13481.25939174854,1889.6413452526751,19092.349771701138,3290.262676972972
17,8231.49718851394,2824.4977446240687,3518.192582172042,2166.9083148612685,8992.923571974954,2344.6441624718423,19933.29313589733,1545.2602962660333,14654.989810332152,2051.689393094111,20505.701931687043,3474.1363765668702
18,8683.651991529001,2815.5792793650676,3598.327032583512,2014.206901628417,9622.768144045398,2728.3824526327994,21320.77101966868,1579.0941174338127,15753.705906185936,2052.629131923016,21897.13361049616,3872.975907996738
19,9122.580748601911,2815.7514654612833,3846.891608803414,2142.0780277422377,10155.232018940971,2757.5691840335858,22381.406222955673,1697.2339725125653,16695.74100749511,2096.519422451453,23186.92310555907,3855.206829504645
20,9725.7586341642,2807.6779839114315,3914.382553022458,2165.12428169505,10646.947022945127,2779.5919539309652,23529.641211411585,1841.0073533499392,18021.722936668673,2006.889025484768,24497.22108849092,3916.7586200030873
21,10237.083461533231,2897.1521027234567,4285.924770394037,2397.1712479644057,11036.496271123331,2846.173769117668,24777.852893469964,2052.9417033502755,19331.14506776947,2027.8655026316103,25605.1134397912,4168.8533448313965
22,10976.704761394654,2764.2266111072354,4488.410824549666,2527.357066927024,11537.599699089393,3175.298601438049,26444.97341105669,2142.2572448955543,20606.797994949764,2029.0787541860457,26901.131746128736,4296.300178457783
23,11488.40041166556,2717.4622766164066,4727.609459157017,2668.8380451830662,12008.989512618706,2939.169562342011,27655.55043341426,2074.2635787894505,21809.10961480514,2062.2510178737734,28037.147802539024,4674.715775219581
24,12036.977191762136,2634.237732542287,5036.885499582027,2784.1121843888077,12371.918417725314,3014.8427983149963,28951.497330403752,2376.0013591993265,23008.650215003065,2118.5748493406995,29368.33340681348,4964.7238307997095
25,12569.699690769176,2483.509081512017,5150.891816856919,2775.21065948187,12863.933927043676,3278.526290875145,30130.329138566893,2451.9258671219386,24088.13263734823,2047.607468992656,30777.973870489514,5254.6683722293965
26,13097.148706672608,2401.612490036232,5312.547934935258,2864.3108264839047,13462.291334361003,3422.2961247751746,31363.012335944783,2548.817544053512,25316.04201411506,2152.263261706035,32298.01799413305,5289.705422110701
27,13606.86223222653,2629.786504857805,5290.254536328521,2413.420541229512,14418.109088639265,3492.4655939536374,32733.24816549976,2694.371952318861,26508.454641915858,2300.1172915293732,33800.96645587362,5498.806892947898
28,14159.529659172336,2613.3056843671575,5624.892696055986,2777.3429847651937,14787.367056149562,3595.6634342379207,34280.36806265869,2671.809105986211,27703.7985722654,2372.1348499300143,35069.80203056341,5729.525290393786
29,14750.627024721683,2627.359004219067,5776.002268947488,2808.687622707674,15231.513189907346,3865.0757111183216,35334.868092862744,2701.8006779335624,29002.88687395365,2534.735827807948,36314.311504289755,5654.461224723613
30,15616.826715781146,2574.4088592916046,5936.467109663354,2818.485552631866,15845.614287096052,3887.810150242477,36529.28377002084,3250.4534769169095,30163.866284576143,2582.1505320263304,37766.86255538696,5706.616251697832
31,16165.570853102963,2739.8736810325686,6067.581464310481,2961.773950576174,16346.230792307968,4083.8482638123264,37761.20690614356,3168.087781746068,31178.020239572354,2491.6930979809667,39096.45878391629,5999.303022677104
32,16898.28352770242,2730.100801794362,6223.543994355495,3197.800250793791,16542.912417473945,3800.5051479032054,38845.778244616726,3161.198523558185,32458.25968864183,2535.5577143153023,40594.711261659744,5999.351947551299
33,17484.645781904743,3346.2509604956804,6461.419275959303,3185.2763955525525,17148.77026807336,4067.2490100482464,39893.26446119764,3412.0849205973673,33400.048374196376,2564.2605737597555,41970.49719425215,6099.3368590774435
34,18357.328991767397,3840.289774632326,6539.992279136588,3144.3997211730853,17502.558061602078,4068.7875227815352,41116.62365729957,3563.5968610027307,34415.50268067678,2669.352681002388,43478.959621474445,6069.404544041204
