episode,pg_rawlsian_maximin_mean,pg_rawlsian_maximin_std,pg_fairness_lagrangian_mean,pg_fairness_lagrangian_std,pg_social_welfare_mean,pg_social_welfare_std,sac_rawlsian_maximin_mean,sac_rawlsian_maximin_std,sac_fairness_lagrangian_mean,sac_fairness_lagrangian_std,sac_social_welfare_mean,sac_social_welfare_std
1,0.0024486915938591,8.178652157236283e-05,0.0024251047022858,9.84481565761878e-05,0.0024443059178773,0.000105921018462,0.0021126908750825,5.344765274130471e-05,0.002099868686463,3.304673834083595e-05,0.0021019481169564,6.117176010447689e-05
2,0.0025051267320942,7.652400104042481e-05,0.0024689735161897,9.225193990060664e-05,0.0024912326894393,8.42929794450283e-05,0.001866071122188,6.526253214658885e-05,0.0018591993336055,6.247421136452339e-05,0.0018434788782565,6.248502956367842e-05
3,0.0025099419463114,6.074985726970776e-05,0.0024844746110197,7.752722064879697e-05,0.0024878772031474,6.179854776079982e-05,0.0017730767358599,6.28668080017803e-05,0.0017729689279037,7.7602949053353e-05,0.0017778094627114,4.48188323313954e-05
4,0.0025056399524811,5.72561035077095e-05,0.0024794746362682,6.0775297415023416e-05,0.0024833020880903,5.618802501315673e-05,0.0017091034251187,6.060458340421616e-05,0.0017021268580314,9.251416515941403e-05,0.0016959639184272,3.522148743293772e-05
5,0.0025048612796382,3.71183578691539e-05,0.0024801217578734,4.5620250539359706e-05,0.0024792521329699,5.004964973656389e-05,0.001670229379113,7.165268535834654e-05,0.00164313063064,9.805878507717412e-05,0.0016311924547858,4.5190195176615774e-05
6,0.0025046613533131,3.135634142147358e-05,0.0024818916776728,3.820382651764571e-05,0.0024825558969765,4.3176848561026995e-05,0.0016331085615757,9.168150506249704e-05,0.0016058433869758,0.0001001154221298,0.0015931570896751,4.3468522826250146e-05
7,0.0024942415580855,2.4151503920544608e-05,0.0024711020993281,4.272645072648446e-05,0.0024732397747932,3.9313392140706416e-05,0.001602046788358,0.0001020657265452,0.0015706235734591,0.0001028729007827,0.0015474530011842,3.836615970147997e-05
8,0.0024910405312335,2.4610876563627144e-05,0.0024714388138625,3.878032927765028e-05,0.0024717512523449,4.617718017431696e-05,0.0015903448067207,0.0001124437246831,0.001550802207084,0.000102544761292,0.0015198733278108,3.243332134026043e-05
9,0.0024817081128375,2.4553638894093497e-05,0.0024641246680435,3.8032323884468376e-05,0.0024622215551668,4.7195749541699925e-05,0.0015767156465619,0.0001170296041804,0.0015253468323689,9.959129915924383e-05,0.0014974026365592,2.4054864984630784e-05
10,0.0024751586011532,2.6326106435414917e-05,0.0024577927588102,4.089554762021671e-05,0.0024582272740945,4.897136610161464e-05,0.0015609320482174,0.0001341304387326,0.0015075771101177,0.0001019243265749,0.0014815761139008,2.876498506415796e-05
11,0.0024672135773224,3.451528693446396e-05,0.0024550696795199,3.950000084652622e-05,0.00245350775172,5.69082851212722e-05,0.0015503507735341,0.0001408835393879,0.0014923789075702,0.0001047112660152,0.0014697124929131,2.5485353931229414e-05
12,0.0024637089853818,2.9415178690356923e-05,0.0024528859013325,3.859401730608374e-05,0.0024478617020525,5.5884665445370975e-05,0.0015474975705255,0.0001489119331385,0.0014806465458288,0.0001065705562614,0.0014627511979805,2.3049040332059635e-05
13,0.0024583763073806,3.143901817055705e-05,0.0024507472486186,3.821600656224699e-05,0.0024418991681748,5.163206086081878e-05,0.0015413400255427,0.0001570718010199,0.0014731510046178,0.0001105653964633,0.001452320998289,2.4228243434884124e-05
14,0.0024624210160386,2.7170700622507505e-05,0.0024530052445206,3.96406681806788e-05,0.0024423435883942,4.673333459353867e-05,0.0015379949384597,0.0001608115548545,0.0014675417528369,0.0001130898243067,0.0014443311212473,2.091340415979003e-05
15,0.002454995794619,2.3588970967850517e-05,0.0024438364424255,3.964073813381206e-05,0.0024335334842367,4.139733219582642e-05,0.0015305564196652,0.0001643094214653,0.0014595020891973,0.0001183304999277,0.0014361619510813,2.5521545711418276e-05
16,0.0024536837418733,2.346111868701646e-05,0.002443651065722,3.742601106618139e-05,0.0024324199510043,4.32951206293172e-05,0.0015249155447207,0.0001696357678677,0.0014570586374743,0.0001203048069161,0.0014320738714716,2.5468282486570544e-05
17,0.0024525261880355,2.569137491968079e-05,0.0024425294323622,3.979471659410139e-05,0.0024311321111529,4.209495765441833e-05,0.0015189742760266,0.0001733677026249,0.0014547239218668,0.0001217320507087,0.001425708816034,2.383151726869066e-05
18,0.0024528359224792,2.4237770505482427e-05,0.0024420134059074,3.735903129067519e-05,0.0024323342623675,4.125581322266907e-05,0.0015168726959709,0.0001767368902704,0.0014513982444096,0.0001214878566562,0.0014176670969891,2.5531274918126848e-05
19,0.0024484442320133,2.6342752530201896e-05,0.002436507715005,4.07078174510381e-05,0.0024288111057072,4.3259000639130215e-05,0.0015159420148418,0.0001778400281749,0.0014476734689137,0.0001235374175012,0.0014165989625276,2.491695379846416e-05
20,0.002443741767974,2.8138550936331465e-05,0.0024325756803625,4.020070200705775e-05,0.0024249835313686,4.437639078123454e-05,0.0015104778612195,0.000179908084768,0.0014429386938547,0.0001248700009131,0.001410498716192,2.4087623522596512e-05
