episode,pg_rawlsian_maximin_mean,pg_rawlsian_maximin_std,pg_fairness_lagrangian_mean,pg_fairness_lagrangian_std,pg_social_welfare_mean,pg_social_welfare_std,sac_rawlsian_maximin_mean,sac_rawlsian_maximin_std,sac_fairness_lagrangian_mean,sac_fairness_lagrangian_std,sac_social_welfare_mean,sac_social_welfare_std
1,0.0024216803618367,0.0001201112624641,0.0024477059246189,0.0001261712708642,0.002421581107107,0.0001369919746681,0.0020803030539657,8.041439303379973e-05,0.0022799373711891,9.324989693434254e-05,0.0020903749373709,8.950359122595114e-05
2,0.0024711426730162,7.462604931699412e-05,0.002467844859104,0.000104654169892,0.0024660196410216,0.0001178506702858,0.0020050659999215,6.916409270702424e-05,0.0020212780097597,0.0001702640472136,0.0020161999936654,8.392396220822154e-05
3,0.0024862534121174,5.6967014187867615e-05,0.002484968185195,9.254671203891808e-05,0.0024852462679501,0.0001172213189526,0.0020952279408538,6.624242578078252e-05,0.0018395501300326,0.0001727144305628,0.0019772201344716,6.909343102524961e-05
4,0.0024838074377343,4.821792498386447e-05,0.0024879560444041,9.873908361936926e-05,0.0024829585319127,9.707544796887491e-05,0.0021496967790549,5.537600962831465e-05,0.0017557359123233,0.0001700580294134,0.0019522988561866,6.75739100497564e-05
5,0.0024883288395557,3.831970829513182e-05,0.0024947092830967,9.698017360574e-05,0.0024856817899251,7.994897057557201e-05,0.0021965146004263,4.2760128231425834e-05,0.00168753308272,0.0001316358362452,0.0019285433317962,6.148978435061615e-05
6,0.0024940333265251,3.503365522917195e-05,0.002501870661737,9.615734182216348e-05,0.0024932780394062,7.24648594471116e-05,0.0022279487920476,3.391322504513224e-05,0.0016584088034347,0.0001128291147468,0.0019187286631259,4.714480913212168e-05
7,0.0024783976727915,4.5705643235656366e-05,0.0024963009109081,9.647712979589366e-05,0.0024832588940274,7.140240457478175e-05,0.0022330244153374,3.4408446576575707e-05,0.0016297804857036,0.0001022376630732,0.0018910405746192,5.072167901679883e-05
8,0.0024812361713586,4.4896718106505085e-05,0.0025026082064176,8.754136810645037e-05,0.0024806930204756,6.567082586698035e-05,0.0022482168775767,2.552468488379432e-05,0.0016173353986984,9.986403432535252e-05,0.0018785197182051,3.9433695843124325e-05
9,0.0024748275278216,3.957116480557123e-05,0.0025042530780368,9.067316490149235e-05,0.0024729520335245,6.32777791610883e-05,0.0022526463377925,2.5020543644819125e-05,0.0016044025515619,9.846804291202804e-05,0.0018681611110641,3.9808008741766374e-05
10,0.0024713639639085,4.535723166597621e-05,0.0025079571693241,8.956692761359064e-05,0.0024644914394898,6.364142510071756e-05,0.0022560687977976,1.6706471834148852e-05,0.0015958637976236,9.05665458561664e-05,0.0018645023578355,4.360572679263406e-05
11,0.0024656529232142,4.37506132723181e-05,0.0025119820084398,9.262975407031088e-05,0.0024574490063759,6.267851016193014e-05,0.0022590465276171,2.6128008013183055e-05,0.0015921283127995,8.898585415580975e-05,0.0018536988411234,5.035419166388046e-05
