episode,rawlsian_maximin_mean,rawlsian_maximin_std,fairness_lagrangian_mean,fairness_lagrangian_std,social_welfare_mean,social_welfare_std
1,-0.9345674227527399,0.027241102646511018,0.011841016098983595,0.4235315391785552,-0.2446219356702357,0.11872206679397672
2,-0.9408976000737974,0.02336910682607384,0.013131945724879496,0.4221128399740759,-0.2547384420476681,0.12199820576244319
3,-0.9434427474872172,0.022383303667807736,0.013869015734875118,0.4204294134950959,-0.2682597266702634,0.1283387012425321
4,-0.9461039593981454,0.021015688678633335,0.015315984641076613,0.4184379276507233,-0.2852134833443501,0.13638005121799382
5,-0.9490051511520852,0.018995494622598332,0.015292483808377999,0.41655918958059757,-0.3004744448521314,0.1466931445601942
6,-0.9509415577834043,0.018232257478493046,0.014978354733726301,0.41413516415258067,-0.3173115434191919,0.15611626001813608
7,-0.9527726175647014,0.017243291371012066,0.01623334772825452,0.41138280905641506,-0.336013681208564,0.1655071527194706
8,-0.9546519091071999,0.016475446145912537,0.016780502547810217,0.4084635952084888,-0.35536484785317,0.1747811099374519
9,-0.9564552303619764,0.015459517925603692,0.017636195953030787,0.40596607323432904,-0.37404074559698985,0.1822312950376714
10,-0.9576996243349559,0.014617259211980538,0.017754593577197886,0.4035535883265428,-0.3936280461514798,0.18924117108982375
11,-0.9591293238085525,0.013794913718471326,0.018060442165651003,0.400635670032102,-0.4114143075108414,0.19496170666107787
12,-0.959930209043496,0.013305478508660654,0.017844859041722283,0.39765627052276414,-0.4307873883425515,0.20003250660237737
13,-0.9606447441471941,0.012796127131375137,0.01808647911512451,0.3947563945206957,-0.4496512780017009,0.2038629921451871
14,-0.9608999132107192,0.012497023821441343,0.018550675615705003,0.391378832345756,-0.4677261751652397,0.2068007222688964
15,-0.9611406410018839,0.012265290377413876,0.018593727447929587,0.388057496640466,-0.4844743673757546,0.20956417693242746
16,-0.9611415960320432,0.012033401041253921,0.018557932048362008,0.3846054655374359,-0.5003432273045479,0.21102132478582336
17,-0.9608813222735214,0.011815640288140574,0.018984938830340997,0.38131958544942873,-0.5157069921885705,0.21220516458743816
18,-0.9605822534409648,0.01169298708008914,0.018915754793368406,0.37778092069880304,-0.5306388942456596,0.21237825113239933
19,-0.9599206181627256,0.011619163610958053,0.019358611268977893,0.37420323880876405,-0.5441665744566955,0.2118487001585272
20,-0.9589494012509455,0.011710234513429696,0.01928212044895508,0.3706310337868879,-0.5571364906856752,0.21098607218832435
21,-0.9577603532834903,0.012014841628620727,0.018934480072256593,0.36707090750265836,-0.5696194669163179,0.20935705527103854
22,-0.956467113832047,0.012181626274868636,0.018721596527886603,0.36366145329727795,-0.5816419250747444,0.20698413011029604
23,-0.9548618052389427,0.012716649442002662,0.01859388445005561,0.3599332433777352,-0.5925972149591429,0.20503314458041053
24,-0.9529552343249467,0.013393472920449104,0.0186134323759847,0.356695856775643,-0.6024246628061913,0.20269192435949124
25,-0.9508352254856769,0.013951343932319967,0.018358548427262006,0.3533081594630202,-0.6117592852646885,0.2000029247176107
26,-0.9485005139861985,0.014808201517314094,0.017862060607581,0.34994837104232435,-0.6200573692288079,0.19688474503147538
27,-0.9459261936172969,0.015477505368668938,0.016920499584831883,0.34692315801276685,-0.6279507743944902,0.19363384731633576
