episode,rawlsian_maximin_mean,fairness_lagrangian_mean,social_welfare_mean
1,1.8461604838032166,1.8589705635753435,1.8436705896160288
2,1.8119870761317274,1.8316361820657163,1.8152128530885927
3,1.8281611397877853,1.839264378624948,1.8383004882873317
4,1.8270633097753786,1.8374577197636384,1.840568012725765
5,1.828405678576514,1.8407987451681695,1.8488713668762273
6,1.8265912198370464,1.8377167561717869,1.845830075083161
7,1.8352059520449449,1.8483873714124928,1.8536032793458845
8,1.8423598795334455,1.8528701767664029,1.8586522407169774
9,1.8489936422420228,1.8571850145105948,1.865162268748324
10,1.8561293426298433,1.8647425025392137,1.871945533889832
11,1.8649299531697736,1.8693193427556603,1.8794846981098359
12,1.8719477216579719,1.874187442099421,1.886322633984569
13,1.8775294201455985,1.878240950514376,1.891868227358235
14,1.8775205173668539,1.8795541444373023,1.8945228830855938
15,1.8854718506758044,1.8884635775298761,1.90325031114055
16,1.8897158230289781,1.8904822638579124,1.9079379326104702
17,1.8929113675129017,1.893812459457433,1.9110205779231124
18,1.8951787666831528,1.8968454759442681,1.913034955705002
19,1.9019167548853442,1.905847441672096,1.9194940107439984
20,1.908933880277253,1.9121122456184978,1.9252694117067282
21,1.9130746363842357,1.9150500010176605,1.930340493656738
22,1.917835421929281,1.9201095265793635,1.9367136786998382
23,1.9234190194073024,1.9254304964159445,1.9407288970303922
24,1.9255258140205491,1.9280420954244388,1.9434705993541121
25,1.9278525499878587,1.930934458396001,1.945300522452999
26,1.936267552266105,1.9399000425469928,1.9533759830958546
27,1.940483223358338,1.9442397818977653,1.9559509639766108
28,1.9458321766265239,1.9507950677804533,1.9623132898607503
29,1.9530019257617883,1.9584654722062242,1.9703233338342478
30,1.9605443475226276,1.9632595940357458,1.9772407074818374
31,1.9651031127660596,1.9678333167132043,1.9823940744064887
32,1.9727363221855512,1.9745254736431441,1.989807150556502
33,1.9779331832364837,1.9806294483646456,1.9949473713900978
34,1.9836414133476152,1.9874259965009795,2.000621491336683
35,1.9897250735601426,1.99241185851991,2.0057669716172923
36,1.9949575990881474,1.9982791305276169,2.0121021303790445
37,2.0004009003542396,2.0045132854335193,2.0190679177850823
38,2.0070126426097774,2.0108356264985097,2.024124051218931
39,2.0126051777421083,2.0174158298222054,2.0302936830673457
40,2.0168221070446437,2.0213497333479866,2.0349282334480256
41,2.02219692932319,2.026644583411624,2.0405612053380584
42,2.0277459417407013,2.0326409784698045,2.04653949672177
43,2.0343619422841783,2.03955746734282,2.052507957823376
44,2.0395346965336585,2.045909579546272,2.0588628049154436
45,2.0453695211247687,2.0517542942803475,2.064845246495388
46,2.0509331175683276,2.0577158841477776,2.069869821901593
47,2.0564709398009393,2.0633215749623055,2.075215145663196
48,2.063459933977344,2.0697473780414755,2.0816000224490714
49,2.0695023042389527,2.0768208410821307,2.087709654409127
50,2.0758993374107475,2.0829860277110654,2.094391094952082
51,2.0824298481128585,2.089972686878219,2.1007159824694503
52,2.0898609286344234,2.097956561857552,2.107575163029334
53,2.0953008967178124,2.103803182805967,2.1134117416475404
54,2.1017731898422567,2.1098555971405952,2.119897718204792
55,2.109025482512825,2.1168553933311713,2.1265752330812493
56,2.115101409567048,2.1233789560103853,2.133810873503815
57,2.121274714159776,2.130261186621764,2.1401251812536883
58,2.127890010956551,2.136937912534043,2.1469816039863803
59,2.1344067239749753,2.144143840338719,2.1540609409711893
60,2.1406923387485723,2.1508260646529296,2.1605187530422088
61,2.1472896112972206,2.1578522316303492,2.1673894033619665
62,2.1540372129934866,2.1643467725671814,2.174059704155158
63,2.1603814256007206,2.1704140038656026,2.1798993611456914
64,2.1673005258862976,2.1772837485199643,2.186999687934217
65,2.1745781141830056,2.1849240614153316,2.193644955767537
66,2.1802929839691885,2.190356146595926,2.1996969345396966
67,2.1876395759250706,2.197873659411812,2.2069573316603437
68,2.1945983586705347,2.2053780545834893,2.2137220055320537
69,2.201543739756414,2.2125775779901136,2.221128183525621
70,2.2085434154212673,2.219855112004663,2.2285579752197258
71,2.2159618514685517,2.2278366522899264,2.2359338752970874
72,2.222910946925508,2.2347925942783062,2.243662413797811
73,2.2308212765079753,2.2422768824564447,2.2515985695962346
74,2.2384930875896742,2.2501303132573054,2.259200034701284
75,2.245281567460502,2.256141175534986,2.26663251197665
76,2.2522187495538604,2.263296067677012,2.2737398044489487
77,2.259519057713189,2.2708890141435982,2.2813875167150695
78,2.267083736564358,2.277803427422399,2.289146851413098
79,2.273101706797362,2.2846366164212673,2.296162055462289
80,2.2797415130874907,2.2917954455892287,2.3029453639271313
81,2.2875038836889674,2.2993814119633957,2.3109802818085328
82,2.294949507420324,2.3066729476248486,2.3178172688617593
83,2.303290665929863,2.3142052828554913,2.3252920388616025
84,2.3104427999357062,2.321361235478274,2.331861550872846
85,2.3187388739747923,2.329578713927039,2.340593932545432
86,2.3252212180391467,2.3360839164867433,2.3472678154110183
87,2.333353680832425,2.3437409602155963,2.3547422920539955
88,2.3400363197157827,2.3505856301697787,2.362066196420124
89,2.347092054633046,2.358250135572096,2.3692519045825313
90,2.355358212340148,2.365869602445678,2.376980374380897
91,2.3635446755518448,2.3739914065443055,2.384806890334986
92,2.3720019417703404,2.3821399591502077,2.393268630458417
93,2.3797024045711197,2.3905776874365547,2.4004340302404614
94,2.3879844668478456,2.3990304087389136,2.4089513039442028
95,2.3966284761582024,2.407642416655446,2.4176965106954813
96,2.405228140285826,2.4157483728262608,2.4261476447071506
97,2.414105158562509,2.424776487114126,2.4349230690294634
98,2.423111248451741,2.4338516617030987,2.444509215888613
99,2.431930069239114,2.4423982565623854,2.4537809390665806
100,2.439676678895537,2.450047828462646,2.4616588290758843
101,2.4481035506482116,2.4585372688874303,2.470203527782463
102,2.4558219609707885,2.466799588731688,2.478198002265741
103,2.463949846766578,2.4750994104169424,2.486394620089469
104,2.4714732060227114,2.483144971291337,2.494287163831986
105,2.4803778580295015,2.4924842560290297,2.503120196428839
106,2.4890507859946305,2.500786175926345,2.512024500181774
107,2.4978769376533743,2.509434017778223,2.5211817154435687
108,2.5059645425052093,2.5175439044169687,2.5302567483790215
109,2.514816225813107,2.526458032377954,2.5395841973938267
110,2.5230603166323857,2.5351097431743095,2.548502542935938
111,2.5320996119357577,2.544551061035455,2.5570297924472722
112,2.541717459394411,2.55465301990542,2.5667673067617787
113,2.5507755133721366,2.5638438714871805,2.5760496974322806
114,2.5598390515714864,2.573981948114068,2.5855594917624964
115,2.5690500230466142,2.58324254018301,2.595129245518261
116,2.5784940904731135,2.5927863744064226,2.604962668370114
117,2.587852527673823,2.6018060991405085,2.61417721938629
118,2.5971964298851633,2.6111454628759763,2.6235435627308186
119,2.606377908779621,2.620701583489735,2.632593976490172
120,2.615225777233999,2.6300861778797655,2.6414929332304484
121,2.624763118055597,2.639772677571266,2.6512913682056456
122,2.6340362202840764,2.6489690951059064,2.66068298996772
123,2.6431785869921223,2.6581926065639414,2.6694698725472237
124,2.652107291775303,2.667460170642487,2.6783997345840844
125,2.6618378070794977,2.6773247325792178,2.6882814465717435
126,2.6723816244516074,2.6871611439288348,2.6983787038409046
127,2.6820576801181972,2.6968389374085966,2.708087131987645
128,2.6916472506519886,2.7064582636426997,2.7178156089499015
129,2.700481176357413,2.7154021536234025,2.727115432847837
130,2.7103084606620294,2.725252277881801,2.73724275417101
131,2.7198657727768607,2.734817834911365,2.7467034013977503
132,2.7287997810702,2.7442424370149214,2.7562396971306016
133,2.738907419131668,2.754283785558623,2.7661254782513898
134,2.7489807770522607,2.764204187570539,2.776360668911963
135,2.7590035755186006,2.77411741864869,2.7865179331265764
136,2.7685754153558797,2.784031758121335,2.7960522593005024
137,2.778704818317446,2.7940024108508292,2.805854189002199
138,2.7886684523600427,2.804134350585962,2.816298527238288
139,2.7991187746229707,2.814562070868546,2.8271391657413023
140,2.8092207349430875,2.8247351235736295,2.837898480594755
141,2.819879851775542,2.834873131866659,2.848125299226544
142,2.830784769377368,2.845382201129313,2.858972271082094
143,2.8409256940666054,2.8554905671222026,2.869428201870212
144,2.8516533485522095,2.8657162050952456,2.8801265333860147
145,2.8616340850208903,2.876227731939486,2.8909200409692093
146,2.8724280040660424,2.887038614074815,2.9018692605891587
147,2.8831603995030344,2.897972523352618,2.9128261855304216
148,2.893952428117748,2.9085671150387458,2.923624944297935
149,2.904287197976915,2.918870921792131,2.9338121789735654
150,2.915306399207551,2.9301297697954967,2.9446930511175964
151,2.925923484406961,2.94094572917857,2.955670848948341
152,2.9368624212806647,2.952290713448462,2.967104902058386
153,2.9476977299945437,2.9637863619833205,2.978605985963814
154,2.959011304625157,2.9753657373490734,2.9898826325246772
155,2.970420456990845,2.9870569379399825,3.0013480134967803
156,2.9818497382636107,2.9988619189661665,3.0129199477689785
157,2.992512965002425,3.010051898673797,3.02426980063963
158,3.0045064715250875,3.0222297131753946,3.0361398367567105
159,3.015797412357918,3.033116197393012,3.0470571642191877
160,3.027613981029773,3.044875891939202,3.0590526982957806
161,3.0392350754283615,3.057012546276804,3.0708821020909562
162,3.050153012345176,3.0685256331483646,3.0820249343740334
163,3.0616013245257823,3.0801887052068038,3.093733530537161
164,3.073229749919433,3.0921656985329027,3.105508834793349
165,3.084625250883552,3.104079119427015,3.117001350149243
166,3.0973749695516983,3.1166163574830437,3.1299393376605398
167,3.1096456998018165,3.129310086016626,3.142637651589288
168,3.1219483239083945,3.1414358065485346,3.155044061931035
169,3.134117920377635,3.154075278517721,3.1677004374948745
170,3.1460142995597877,3.1663622720460713,3.1806694442303467
171,3.158743150401472,3.179034570805941,3.193202603157861
172,3.1711282670896326,3.191329794654719,3.2055324065987922
173,3.18332591419006,3.2037400356153545,3.2179809984949266
174,3.195544215039647,3.21660540431168,3.2303915747984515
175,3.2084455876233897,3.229954725809578,3.243447197861992
176,3.2211568169436253,3.2430718299318353,3.256608904960114
177,3.233659469078729,3.2559341041031495,3.268882077509532
178,3.2460935479840827,3.268991222695289,3.2820753994186247
179,3.258961907288483,3.2823666976997363,3.295542151036666
180,3.271651432553254,3.2954002569096352,3.308407489706763
181,3.2845041767212915,3.3086454176069875,3.321457886063279
182,3.297404220946999,3.321529991063875,3.33464371049879
183,3.310365968572691,3.33432388226448,3.347873025755514
184,3.3225848521235806,3.3473329350782843,3.3613648213460414
185,3.3358382057030522,3.360633710465441,3.3745706832518465
186,3.34920238879068,3.373788036507411,3.387949899092776
187,3.3629481709489375,3.3879066922110606,3.401683957665195
188,3.376724562624062,3.4018539242745893,3.415850889373513
189,3.3901929538816513,3.415517029876816,3.4295938513369078
190,3.403916246480537,3.4294730875020547,3.443779088953475
191,3.4175371316106915,3.4430804183229196,3.457317926296836
192,3.4315411539333422,3.4573773021392395,3.47118600321415
193,3.4453024786165347,3.471725603014952,3.48527985441953
194,3.4592811504611545,3.486291821029307,3.4992349782390133
195,3.4727357039906765,3.500598746810467,3.512746175006368
196,3.4861442348463654,3.5150080754932755,3.526814688033774
197,3.4999696689953805,3.5293041099586073,3.5412390982181634
198,3.5142788701661867,3.5438102133557776,3.5559465856330785
199,3.5279628962510725,3.557563785243363,3.56963114322882
200,3.541724064741462,3.571417385883103,3.5836667901039507
201,3.555350870016365,3.585538597487531,3.597744134660018
202,3.569950613995222,3.600025429993563,3.612392887058652
203,3.5835921282435645,3.613857705209307,3.6265415626686948
204,3.5975482519494313,3.627688904971856,3.6403611252711494
205,3.6118828455584495,3.6422413210211038,3.6546262629848267
206,3.625414194871649,3.6570872693026293,3.6686201459043106
207,3.6394741035061626,3.671478099022982,3.6830633809640014
208,3.6536669370101067,3.686174435335229,3.6971998185921646
209,3.6678657948712945,3.7000381913511733,3.7117124840954117
210,3.6817065792402293,3.714102544365015,3.726027312333259
211,3.6957544510685207,3.728276515677836,3.739998931920375
212,3.7099023392163866,3.7427160846132335,3.7546997196498824
213,3.724037127163695,3.757119871846198,3.769047237219138
214,3.738247481984711,3.7708383697337076,3.783276229701878
215,3.7518955134088516,3.7848645980106363,3.797415592985472
216,3.7661261369641745,3.7992366539303553,3.8113945748138853
217,3.77962236843908,3.8129281799858448,3.8250652063958004
218,3.7932447458628675,3.8269359517319765,3.8390594336374266
