episode,rawlsian_maximin_mean,rawlsian_maximin_std,fairness_lagrangian_mean,fairness_lagrangian_std,social_welfare_mean,social_welfare_std
1,846.643326851164,274.832576195832,1021.955631911354,170.95135214052274,836.7370560821998,348.7684776233273
2,1652.0670678279864,484.6913843528221,1969.1526138285087,188.2382626329467,1628.4763266818711,589.1359821776553
3,2379.463709602298,660.3644941040649,3003.6616504489507,394.92997832604414,2328.780646899388,810.7879245636819
4,3238.2420310776374,874.1258103575842,4094.33482054348,511.3772246828593,3324.368576830629,1058.3948720584658
5,4025.708250017645,1075.389301161137,5212.481751755592,647.861086465304,4125.548924780761,1302.9935889287003
6,4874.281862955281,1252.9981811506225,6335.839878642654,722.6896196232007,5164.835263799685,1669.3378717218018
7,5659.488737238824,1452.8891193215104,7628.93646576177,852.2138402892804,6186.927094258313,2033.7356927176577
8,6643.1724670651,1737.2171559672925,8781.670241302621,935.859721676931,7237.6677969424,2337.950441499389
9,7587.605496470145,2093.8704401921345,10117.60523422587,815.7117130901751,8343.374324380033,2562.749297739157
10,8503.659687531888,2341.025988593012,11397.419962966862,842.8635399046126,9329.992044449904,2881.192800913216
11,9440.225508544094,2485.147930812312,12667.380461047964,942.4765071551938,10498.017549070088,3250.3003503086547
12,10346.346996706572,2702.2730963055483,13894.519848078902,927.8914906464564,11616.668164881628,3487.389797747699
13,11454.566709478991,3020.3477218423945,15165.306758745335,800.4739942849321,12702.224691002712,3712.661455819904
14,12480.799367769128,3355.630643965917,16494.07651391705,822.7288492874591,13900.46067778547,3998.001562132265
15,13587.018010421036,3593.6080509447424,17905.301447128953,954.5253635217954,14972.46508581284,4192.91460424548
16,14632.272795059604,3925.88960957838,19295.365572835068,1078.6209326503815,16155.013797013671,4412.997520368834
17,15625.429910205885,4177.300259641525,20283.18200124781,1144.3154493740108,17141.26789105303,4592.873784009959
18,16628.351136527865,4451.548401444982,21233.36781282724,1049.4519888181935,18379.4984500856,4832.081821916914
19,17576.742194237537,4695.134917450492,22434.966668830628,1123.0564915119985,19498.86881931943,5208.02401501134
20,18743.24409213653,4982.35134967982,23820.531949589065,1036.396328408404,20623.26238155808,5447.790490033275
21,19852.89189331884,5181.897450113611,25276.508488189203,989.4844316710612,21706.09265014702,5613.687619061191
22,20812.57198681147,5419.583892081881,26691.760314518604,1033.4549066933328,23023.74074440684,5881.26753434532
23,21885.49970893549,5725.868056458283,27902.939806914044,1107.848318494965,24207.747343504638,6248.908267612143
24,22972.448828660188,6030.477026773401,29298.95275543181,1125.134530513593,25365.901447693726,6528.71028691031
25,24141.029239934094,6414.826133322232,30579.99715306472,1376.1646580244426,26669.932402200742,6952.7096196074
26,25304.586965032293,6755.788181313099,31917.03697059633,1447.0190101129676,27771.281535499533,7088.381771345206
27,26310.53697501169,7028.75030541441,33231.16122105955,1737.3405723287644,29023.097153670456,7399.641436733261
28,27278.480194496165,7358.153959531147,34539.01059008159,1686.8585862729592,30238.25355350587,7631.711124782392
29,28437.212373957707,7770.828092961159,35919.56342375045,1702.5095360028197,31544.16721399048,7898.5414692702
30,29532.88974495056,8073.25793470396,37269.94134390073,1871.7587291120035,32672.557003112328,8247.692182718381
31,30637.113452280104,8356.888916637256,38617.07755596548,1914.9281140543728,33982.71171733777,8462.953419113737
32,31655.06777324876,8618.785992125504,39834.73370117552,1861.491792410706,35285.894350792514,8735.27817978686
33,32873.13620157815,8836.44190484515,41100.695002413566,2060.714221795672,36564.813555596265,8989.957034644305
34,33945.948815283235,9305.182533649426,42456.83026529695,2240.772278858611,38011.95701240229,9219.742024906787
35,35084.63883097323,9652.973095857236,43938.62592785069,2106.1793904711685,39391.91735568586,9544.28663783216
36,36241.82881635065,9895.390647471717,45379.217509329246,2250.258281447127,40646.99333076344,9786.527791618964
37,37308.57013271195,10218.120055058693,46858.67866039113,2293.4140680487526,41942.05019712105,9955.880352868442
38,38553.74570064749,10655.11577380885,48365.76900040393,2401.396313776025,43296.180767620375,10060.028324677696
39,39867.38009533892,10930.20036855984,49801.23212400159,2358.72614651412,44549.410100687965,10393.155461248118
40,41002.24341882404,11026.536611443718,51277.56160546716,2376.618585434044,45947.08338577218,10641.73958281566
41,42302.493328002594,11465.80531311938,52826.57351635296,2439.9091999363186,47410.15767545556,10773.896630722022
42,43578.39787520703,11793.302223165532,54330.94719555283,2541.7893908013493,48805.08789397521,10978.280052613276
43,44906.71834540785,12102.961213974262,55732.533117103405,2630.287282446705,50179.29381091893,11249.942203557628
44,46193.77534976833,12289.111084505836,57090.009458387656,2735.2276459146337,51537.63475436937,11572.715249934276
45,47613.05528487978,12468.865990147766,58587.35880869221,2769.9056821721733,53006.06403837437,11935.217899752572
46,48884.97859384002,12744.699433685724,60066.85623267449,2935.416905982529,54419.751581559365,12137.209136179928
47,50271.17461901918,12993.099117792595,61499.6456911961,2925.8795343823003,55622.77181196683,12548.809822314224
48,51681.326588976335,13319.99546962811,62919.21846938135,3123.0934396863404,57089.13651046281,12852.37003483848
49,53113.81121321948,13741.88463041956,64466.91618331095,3007.649992735481,58406.45103200158,13060.23225410806
50,54363.03500380943,13990.178993648778,65874.12325329056,3095.528375774063,59576.597827755,13167.929848718211
51,55610.7179710896,14227.677928613024,67566.84877946506,3098.7468910723887,60841.62567582997,13146.36718589212
52,56886.8538342645,14414.575633708875,69021.29896825113,3044.4074418102773,62242.37481687179,13428.489311656454
53,58258.44576716232,14687.849821731676,70678.25603987723,2996.5989553992376,63727.87998203784,13504.78173310886
54,59516.511446992656,14803.716706172068,72152.20764634627,3020.91564108745,65099.53550768695,13712.121452038324
55,60806.13283877984,14950.240927510087,73684.71959048913,3131.418369056751,66466.72750789407,13682.256350982045
56,62064.56199845883,15368.565414048811,75102.50438460372,2989.300498587313,68004.82700342085,13779.755628212008
57,63384.47988285598,15576.16091918706,76728.01801669065,3030.1446198581534,69366.34079277655,14011.122857899143
58,64809.4169153465,15718.340653546971,78277.94849023568,3031.594724563201,70825.07010760574,14064.846572754408
59,66128.32056403588,15652.98708703832,79843.71049275156,3138.832799772996,72346.42585219466,14045.96371467716
60,67466.88349157423,15692.79192704694,81389.5244593694,3334.139179788554,73711.92075839105,14378.869850460149
61,68725.7106880983,15703.750533966013,83050.50529633043,3392.3244437287112,75150.71123872841,14551.66780634113
62,70089.10436066882,15796.801668357768,84551.13560857065,3491.126474951086,76655.98452958564,14723.72380072376
63,71416.84124510367,15994.256426997898,86227.9479249946,3672.632822584816,78102.72289203998,14785.621067841124
64,72843.2134492181,16031.17768644708,87865.67969989745,3563.9034179444225,79510.5485340867,14869.225671181914
65,74224.72656706921,16116.742301007816,89555.28406761447,3627.909348533122,80997.4082992314,15092.783197360874
66,75641.68003820491,16395.92670763688,91024.34666298484,3780.269447330348,82637.97964143801,15196.470933694542
67,77304.60278331893,16455.00025410727,92481.56754366038,3913.2979850169218,83893.11658160664,15331.923265836882
68,78686.96376833356,16745.12867491755,94118.40655767628,3727.7931995629983,85471.15672170026,15343.901622823085
69,80157.00395143461,17018.271778446975,95684.16128483684,3561.0050189211447,86839.48268867726,15360.69787078363
70,81470.46976639002,17393.846171279263,97148.86338012072,3343.322551753994,88459.96299049383,15594.681989281426
71,82935.58934930683,17504.292114163254,98858.03232587472,3371.7613850315047,89911.52656173418,15815.364130862336
72,84372.29093566947,17904.931257140273,100415.45821018668,3397.293841339921,91440.93695217058,15809.1170677808
73,85906.85518884135,17590.277787130613,102100.6482443881,3404.604571048364,92795.01717666772,16019.02524813068
74,87334.22107904642,17800.037128717613,103696.97295370178,3444.559465607779,94285.41841529089,16138.155695822865
75,88708.49819779786,18107.30399510176,105205.13185923905,3472.6349309674406,95658.7439066554,16224.72588553296
76,90284.21656313828,18235.38028511907,106997.98650784584,3510.513489027472,97193.18796588044,16247.19745434146
77,91919.46120237964,18377.768071955827,108600.97622586256,3619.936662576167,98606.9394652994,16390.012406038346
78,93420.2146360907,18705.195027281326,110584.09554164684,3615.6357328842646,100117.92039361698,16887.90295586126
79,95083.53696963449,18926.44296397997,111978.94341154223,3573.270816824044,101621.22766087973,16871.448989107943
80,96708.237377525,19051.804840448163,113780.28656612552,3595.3310733593075,103122.12209304374,17145.23711490795
81,98173.70470197298,19472.613581980702,115506.48067127282,3646.51218753468,104563.58689708708,17264.362699832564
82,99606.6691745382,19759.03935957853,117271.48847592188,3903.74018055703,106197.73819642328,17391.53244253507
83,101137.22625755098,19923.461483365365,118957.63498343414,3997.466154412862,107793.23328999504,17520.952896713818
84,102657.61125352792,20128.446377383098,120669.53393337732,3986.045243052834,109348.56935966996,17761.346735009105
85,104180.9964374136,20508.638312514075,122284.85323100309,4093.162279445043,110887.56853447291,17695.590839884866
86,105726.6237564558,20764.316864682864,123992.9583421272,4117.160065905009,112681.62596262802,18028.20911997592
87,107300.24200263464,20905.622927602675,125662.27636662676,4316.3423948626605,114236.67484375525,18354.19622370638
88,108977.24845974054,21175.502113994346,127452.05108901506,4371.460258236037,115974.22103458624,18719.626907876016
89,110498.04944093758,21492.20651210381,129198.57664849635,4505.958404525157,117573.61837653308,18767.662450806773
90,112004.54747148415,21549.300976287366,130960.2770309224,4390.509660850183,119259.20670801846,18846.146859999422
91,113495.3023993553,21697.588007509312,132745.47804738546,4551.200563545285,120890.40510022192,18738.90398905257
92,115198.93208132048,21607.407490515176,134415.07404613943,4677.504262435717,122463.79427447662,18823.11550806054
93,116944.8105742439,21785.42506395877,136122.79761558355,4801.529683030926,124325.59921921852,19009.84166194881
94,118480.38772419916,21927.979829724223,137935.46017438197,4841.707951823632,126163.82949879656,19300.10286727642
95,120044.9582289318,22187.755233559863,139786.50665559375,4997.098072936666,127914.9326514382,19570.17699237243
96,121489.95150672042,22516.73762276282,141684.54423255436,4936.4499370573785,129307.29826919756,19925.87152979561
97,123101.55665874884,22721.217619504285,143465.24802628832,5118.350641082453,130959.59282306308,20149.913983308328
98,124683.93459858498,22906.512151721432,145180.3816531332,5265.664875300626,132763.65911664424,20136.801852323537
99,126198.66021337,23071.48782846584,146957.08316962377,5412.487023233927,134520.72702736515,20165.591372298884
100,127720.87338363196,23202.53063803079,148790.153499656,5559.551127899164,136242.10404500604,20223.951189814845
101,129229.22665744276,23282.05524053181,150791.4079724194,5212.896141714126,138062.01406364728,20245.76112661401
102,130892.78063993144,23760.73511746195,152456.09360560693,5279.797545524283,139532.68084612506,20681.877389834423
103,132501.0567847588,23841.367769864035,154420.24067512425,5445.573143254295,141097.9833053953,20803.82388842864
104,134251.0834608401,24142.311825651075,156214.2000031658,5615.190089172192,142895.38971085468,20951.59298789469
105,135892.64621294828,24246.72394380548,158046.8875608873,5575.983600159214,144526.84945443255,21143.004803236367
106,137491.72638695434,24372.097076871964,159831.63093463064,5357.895904704175,146322.6221247154,20976.176620857736
107,139267.0957154174,24821.21376073565,161655.724038797,5309.238749479087,148172.91060792952,21004.53100769675
108,140943.46207571606,25065.0278984234,163480.5876696926,5381.068109123868,150005.58697326912,21116.57295400696
