episode,rawlsian_maximin_mean,rawlsian_maximin_std,fairness_lagrangian_mean,fairness_lagrangian_std,social_welfare_mean,social_welfare_std
1,72.04672077363213,292.8313999918951,196.65127377817885,302.69942809421326,316.4720850696061,135.26402557507902
2,157.61729506627643,362.1434012359932,456.2438123220904,928.7823283860772,734.8881458002676,304.47623697093763
3,479.0387034553757,516.0002881563861,649.8940750126835,1143.6587313686634,1117.5919696002352,450.73991109453874
4,583.296190443054,636.1633947648379,900.984504484959,1443.1190491598777,1512.583002014591,594.5411760527678
5,968.1710847311708,803.3452133258837,1076.960210194979,1410.7404634795066,1935.0478607534085,808.1900518796526
6,1164.5879286305394,846.801506064208,1337.0024963668989,1724.6416532965654,2309.352804645307,860.1669740346931
7,1218.9850858279574,895.8111600574229,1703.6625065499732,2241.9916376046594,2631.6701059035586,862.0931255410435
8,1294.3589147721725,923.0244133241216,2007.9058608617408,2595.0548537496834,2987.749431045319,927.693129541466
9,1395.2057288730389,1097.298463523712,2314.3308037777665,2898.4083787492896,3450.763338602358,1031.4604623836308
10,1607.292495669263,1299.2910783746884,2618.022366788545,3129.7291165982992,3686.692176442496,1025.7715835504766
11,1913.545494035752,1298.330145863609,2890.512282403934,3414.95302089379,4018.76470830971,1143.083325586896
12,2021.873757589099,1441.1151067076385,3277.020482116496,3681.091699840929,4480.758410819469,1158.005240889416
13,2112.932638287336,1578.1438061473546,3498.972595484513,3465.302104874069,4991.530161930206,1380.218947366639
14,2447.375781016072,1584.5819441607412,3897.4077859840136,3568.234298089593,5225.313546129228,1396.8780017434212
15,2757.111483834996,1573.758068966913,4375.030689967411,3865.3405750669294,5532.334354373916,1425.6732376635894
16,3044.061005948585,1531.7045329113923,4748.089327026295,3997.217817812481,5909.24349513716,1443.667328311083
17,3245.1172140113254,1641.4101044669408,5049.237504684796,3840.711552589701,6204.467099658795,1362.2148027465246
18,3775.4880948486366,1788.5964585946567,5595.817273612514,4255.268717014378,6584.224146322238,1464.3842832525484
19,3982.501151871248,1891.626581788939,6132.793028426194,4360.442010151219,6943.326373274761,1527.6807470802296
20,4265.2860240875925,1917.8961390678808,6558.108619292938,4149.837309375773,7359.713640849441,1611.4509180563314
21,4511.197912501987,2094.8100623407768,7114.746040034409,4372.218745715213,7694.834992884333,1601.3070366802897
22,4735.367288472229,2257.239224673678,7680.919453120723,4353.0799167534615,8023.443512199146,1677.6472464789915
23,4959.777664350068,2343.975289649012,8199.145122720189,4255.348014467422,8306.20653777137,1664.2633255276094
24,5288.138244197792,2355.347432810802,8811.551607652274,4037.7527169428913,8814.330808052142,1730.637673583676
25,5822.521819792137,2440.6284481124853,9591.713523532597,4367.274375357138,9338.087300672152,1995.888871926719
