episode,rawlsian_maximin_mean,rawlsian_maximin_std,fairness_lagrangian_mean,fairness_lagrangian_std,social_welfare_mean,social_welfare_std
1,408.8062544048209,565.3305493698022,370.7062437158296,544.3152875484535,421.91602448802007,506.3431017608687
2,1136.9666030616158,479.568732780407,1103.7167859505914,531.6228864137743,957.1571004029176,412.8185094038441
3,1892.1706323447736,591.2605422902697,1845.8683379743536,766.4374241435437,1297.5074256355365,923.3588041512902
4,2515.208036763044,875.6580209864921,2195.9736691281832,668.63093348466,1827.812696196164,822.0647676994134
5,2723.5833506428653,1092.5919280437531,2450.2711254398528,985.2477683319734,2165.3408336887237,1185.1491071166697
6,2937.1495900219256,1233.0945999563348,2622.740185704341,1118.8349195376395,2366.4941707095486,1276.5781924457897
7,3488.620198797324,1159.430215691384,3417.616821035323,1061.3408153675437,2875.7387497611044,1162.203356168132
8,4043.023221573408,1181.7454534295728,4208.613882200059,1135.5030247546565,3161.325853223781,1291.385073019416
9,4277.640443357782,1420.9654724062682,4793.777248161731,1122.2772129522891,3372.9561815238585,1268.3328427019276
10,4546.844939911594,1742.4750049381669,5077.71524321428,1377.6576372433274,3892.026515641165,1029.688736890268
11,5021.708242432012,1900.3445227209172,5628.7188464942565,1327.9357481195827,4481.787045575915,1177.149144817306
12,5793.655259039279,2157.9397662595943,6334.0612431685495,1313.455528673712,4744.143373771925,1249.6789686627276
13,6141.336329963923,2194.2490079009185,7164.3661590272095,1646.9449525422676,4889.507463299064,1345.452217156083
14,6836.319347318355,2345.196857853407,7737.875268097161,1500.2336676475195,5227.1960933741975,1329.4723253489938
15,7459.630680078716,2547.0182948653724,8250.174866396306,1744.0711491541608,5666.67927034038,1765.5149471370112
16,7918.101391673595,2603.0234180556754,8813.774994479229,1757.9956986832942,6234.843493417104,1738.9846642587513
17,8375.634892834065,2766.4241453216146,9584.501822721231,1707.663257781851,6423.602528174051,2087.007775651265
18,8742.370278338574,2915.8051177657926,9851.052739548157,1641.715169704547,6970.322935924119,2082.937565122489
19,9226.149012628575,2983.6898249564456,10219.838142324255,1965.1469245461765,7281.060622728673,2582.7256264853777
20,9781.80725892873,2826.801235842448,10626.471289277448,2469.190602012381,7658.952441799488,2526.415868543737
21,10306.642256486615,3034.862269883045,11202.02362911856,1988.9554393652104,8334.855484202675,2321.388236587327
22,11071.35708796248,3204.136686922799,11643.864645479542,2320.9430474865835,9255.636979735686,2553.171984901615
23,11456.81080361554,3044.3928055270603,12175.74161137253,2281.459252597034,9830.487696594286,2700.740856784931
