episode,rawlsian_maximin_mean,rawlsian_maximin_std,fairness_lagrangian_mean,fairness_lagrangian_std,social_welfare_mean,social_welfare_std
1,301.85240508136974,628.6506135642744,317.99131036626795,430.9307395185557,372.6325266762942,604.7958894335476
2,825.246196172678,745.0403147860538,468.893064412481,545.0563118547219,1022.686996799536,642.0261252448754
3,1513.9568897424967,930.1649875208506,805.1813838247725,746.6296260385124,1818.578888853024,1015.8388818938456
4,2081.576982186461,811.0237003837375,1030.0776535244663,729.1227175576036,2417.555754057852,669.1870856874732
5,2393.332650226399,944.940173132936,1266.6534070706298,975.0854524600518,2773.7304570664637,787.4981564847232
6,2437.4897584442697,1077.8766971560049,1455.9780450256997,1053.5719925100009,3355.167900702288,939.5000738759944
7,2749.5461212387822,1545.169479894442,1654.6812333333176,1108.285518126383,3897.752278362729,1316.8975283047914
8,3297.013872261683,1931.6964745981847,1664.421769941165,912.8209273599648,4644.520780176192,1388.8223704457823
9,3780.7409330551127,1756.8143627100023,1789.621922970821,1108.642225226016,5065.326996788548,1566.9517399762965
10,4215.044097183503,2120.1120307498395,1972.1200145195107,1147.6090285604755,5188.261077083835,1591.131209216525
11,4771.777701801997,2142.1066649803934,2256.767241522918,1310.167715465156,5760.649708575849,1625.849728323274
12,5371.176477563308,2124.85047752792,2441.840703005229,1236.4722909601403,5769.407152777776,1742.292115317519
13,5860.638780312598,2282.635985255267,2725.1165393476526,1466.9491657559226,6415.888702595479,1913.1360235547495
14,6655.700595453073,2480.5120205226053,2931.9419937486605,1742.6961531633458,6959.062687162683,2098.476503976528
15,7182.574551871908,2594.529935237614,3122.718414507916,2074.7581220917355,7495.559046952063,2109.166851336089
16,7877.489220319216,2880.525460915218,3310.71774735094,2145.9383507503208,8318.29066216317,2499.972624565321
17,8231.49718851394,2824.4977446240687,3518.192582172042,2166.9083148612685,8992.923571974954,2344.6441624718423
18,8683.651991529001,2815.579279365068,3598.327032583512,2014.206901628417,9622.768144045398,2728.3824526327994
19,9122.580748601911,2815.7514654612837,3846.891608803414,2142.0780277422377,10155.232018940971,2757.5691840335858
20,9725.7586341642,2807.6779839114315,3914.382553022458,2165.12428169505,10646.947022945127,2779.591953930965
21,10237.083461533231,2897.1521027234567,4285.924770394037,2397.1712479644057,11036.496271123331,2846.173769117668
22,10976.704761394654,2764.2266111072354,4488.410824549666,2527.357066927024,11537.599699089393,3175.298601438049
