agent,constraint,reward,gap_mean,gap_std
RL,SP,RMM,3190.046191685876,68.90177778244463
RL,SP,FL,745.0266847527676,1288.2786296335275
RL,SP,SW,3169.8264012898157,82.54194433452766
RL,EO,RMM,3177.260994408933,55.429652239741785
RL,EO,FL,3154.796072517386,103.87314664634074
RL,EO,SW,3115.8728221583974,136.14224655092465
PERL,SP,RMM,3081.9399762824114,26.481275585372902
PERL,SP,FL,71.94402449542319,297.9832063672302
PERL,SP,SW,1956.0158028238725,1012.6169076594658
PERL,EO,RMM,207.92123601929197,1328.7020676549305
PERL,EO,FL,1086.8464805286944,332.165289657669
PERL,EO,SW,535.2062301332296,1186.9944309516436
