episode,grad_norm,grad_M,grad_F,n_obs
1,3.41986424245988e-06,1.531835437162954e-06,2.8993174510105746e-06,11993
2,3.4324225453019608e-06,1.368047946925799e-06,3.0360615710378624e-06,13526
3,3.300398475403199e-06,1.2999551017855993e-06,2.9016259759373497e-06,15316
4,3.109684030278004e-06,1.177817352981947e-06,2.7387475256546168e-06,17547
5,2.7724313440558035e-06,9.998691439250251e-07,2.454580453559174e-06,19622
6,2.51439291787392e-06,9.43555050980649e-07,2.189271071983967e-06,22609
7,2.249670387755032e-06,9.386926080878766e-07,1.8774426280288024e-06,25835
8,2.111689127559657e-06,1.05901551705756e-06,1.6412697050327552e-06,29044
9,2.004167299674009e-06,1.17049467007746e-06,1.428334371667006e-06,31798
10,1.8764551441563528e-06,1.230759039572149e-06,1.2138367537772865e-06,34202
11,1.7115098671638409e-06,1.235414174516336e-06,9.91765659819066e-07,36721
12,1.5214511677186238e-06,1.1714080301317151e-06,7.882040904405585e-07,37849
13,1.3905530522606568e-06,1.1347806321282403e-06,6.50190145279339e-07,38874
14,1.2928572914461256e-06,1.1051146202589734e-06,5.576549142460863e-07,39345
15,1.2287797517274155e-06,1.0742978702182882e-06,5.192409275878163e-07,39662
16,1.1697143236233387e-06,1.0270892971675494e-06,5.046882165515854e-07,39829
17,1.112238578571123e-06,9.733361139296903e-07,4.989256581211521e-07,39937
18,1.0387879001427791e-06,9.076391620510548e-07,4.757387728204776e-07,39956
19,9.729706107464151e-07,8.456837576886755e-07,4.603458307883557e-07,39990
20,9.078695484276976e-07,7.836985673748131e-07,4.437454492745019e-07,39991
21,8.436904295194836e-07,7.238105581564014e-07,4.225452698847221e-07,39998
22,7.762112659293052e-07,6.640344167863077e-07,3.9300672938225045e-07,40000
23,7.144888627408363e-07,6.116734425631876e-07,3.615577099935763e-07,40000
24,6.608615308323351e-07,5.641310281134793e-07,3.372900607701013e-07,40000
25,6.123017328718561e-07,5.222902359491854e-07,3.132074084533088e-07,39998
26,5.681455945705238e-07,4.831664455196005e-07,2.93201338763538e-07,40000
27,5.306824277795386e-07,4.494089580475702e-07,2.772264622308285e-07,40000
28,4.922795824313653e-07,4.162084792369569e-07,2.583853131454817e-07,40000
29,4.599079943545803e-07,3.8707895555489813e-07,2.444198230477923e-07,40000
30,4.313976376124629e-07,3.612705086197821e-07,2.323864976006007e-07,40000
31,4.044632362365519e-07,3.368143666193646e-07,2.211477578839549e-07,40000
32,3.7929535778857836e-07,3.143009337236436e-07,2.101330807136037e-07,40000
33,3.596877888867312e-07,2.965144290101307e-07,2.019533411612429e-07,40000
34,3.415602520817629e-07,2.8009543484586175e-07,1.9424813046953204e-07,40000
35,3.223880753466801e-07,2.632544351399702e-07,1.8511447308355852e-07,40000
36,3.0404058293243e-07,2.4747637894506624e-07,1.7580180156073768e-07,40000
37,2.883602689962572e-07,2.3441964458470466e-07,1.672112972528339e-07,40000
38,2.7142104386257415e-07,2.2076957861827398e-07,1.5726013202765898e-07,40000
39,2.574361985807627e-07,2.091822750571737e-07,1.494806269874971e-07,40000
40,2.4346132931896136e-07,1.974271413018869e-07,1.4195114772519446e-07,40000
41,2.3147417493873945e-07,1.874898316600593e-07,1.3528168096854642e-07,40000
42,2.195407233784863e-07,1.7748556047081365e-07,1.287871924660067e-07,40000
43,2.081985996937874e-07,1.677570367064618e-07,1.2290557549476946e-07,40000
