episode,grad_norm,grad_M,grad_F,n_obs
1,3.047521659027552e-06,2.724935484366142e-06,1.3636902167490916e-06,12219
2,2.7964135824731784e-06,2.4980802209029207e-06,1.2559640936160577e-06,13748
3,2.5584042759874137e-06,2.2826816348242573e-06,1.1544739209057298e-06,15726
4,2.3917602902656654e-06,2.1297505554684903e-06,1.0876402711801347e-06,17925
5,2.156330538127804e-06,1.914991116791498e-06,9.90666762845649e-07,20480
6,1.9797723780357046e-06,1.7512379599793348e-06,9.229527222487376e-07,23610
7,1.821315322558803e-06,1.60753540967562e-06,8.558042736694915e-07,27065
8,1.6644942206767157e-06,1.4695007166665164e-06,7.810684223841236e-07,30525
9,1.5409035540869809e-06,1.3651140307047172e-06,7.128769539122004e-07,33282
10,1.435539502381289e-06,1.276159650842601e-06,6.539116839121561e-07,35509
11,1.3399951512838015e-06,1.1949875897698805e-06,6.016705924594135e-07,37370
12,1.2399796105455607e-06,1.108649371417414e-06,5.502124622580595e-07,38561
13,1.1655843081825878e-06,1.046345801114512e-06,5.076583988739003e-07,39125
14,1.1004771067746333e-06,9.932209650287405e-07,4.672088778079342e-07,39527
15,1.0314671499145334e-06,9.354083090329368e-07,4.2775900510605435e-07,39790
16,9.74808926912374e-07,8.891118454812386e-07,3.925885891931103e-07,39900
17,9.278032848669682e-07,8.524060604031547e-07,3.59209224143342e-07,39947
18,8.805526476862724e-07,8.145128731484874e-07,3.276402082974528e-07,39984
19,8.379756764043123e-07,7.805803647897847e-07,2.982698390496808e-07,39992
20,8.04002922905056e-07,7.548094345111167e-07,2.7107358846478746e-07,39997
21,7.700642186136974e-07,7.277911322489672e-07,2.4665152409397706e-07,40000
22,7.344627874772414e-07,6.976895861043886e-07,2.2549721734321798e-07,40000
23,6.995849162194645e-07,6.670023253718682e-07,2.0799963351691986e-07,40000
24,6.625855917263834e-07,6.332527959784784e-07,1.9246945726081321e-07,40000
25,6.282203912633122e-07,6.013014512973314e-07,1.797994997332353e-07,40000
26,5.957854796179163e-07,5.710630830435548e-07,1.6797282853531217e-07,40000
27,5.704495151803712e-07,5.475078523886623e-07,1.5842979905755786e-07,40000
28,5.39615200523258e-07,5.182836275707814e-07,1.486444602960546e-07,40000
29,5.144411261426285e-07,4.94380003601691e-07,1.4091155264850388e-07,40000
30,4.932127239953843e-07,4.7417935888915963e-07,1.344940017133922e-07,40000
31,4.6960465738266077e-07,4.516694787071174e-07,1.2750197697641852e-07,40000
32,4.47555407845357e-07,4.3040748209932644e-07,1.2177083874576058e-07,40000
