episode,grad_norm,grad_M,grad_F,n_obs
1,1.4501156329060905e-06,1.323427341048955e-06,4.575085768010468e-07,10941
2,1.2624386727111414e-06,1.1292112276350965e-06,4.654381768887106e-07,11972
3,1.044516352521896e-06,9.414254122930288e-07,3.808023052442877e-07,12505
4,8.301906859742303e-07,7.434460371769092e-07,3.198015292582568e-07,13342
5,7.37926029614755e-07,6.559527037097723e-07,2.97969393159292e-07,14094
6,7.114763320714701e-07,6.298685661931813e-07,2.8976762678212253e-07,15402
7,6.643700771746808e-07,5.848860382684506e-07,2.729232448928087e-07,16273
8,6.497611479971965e-07,5.681002335222729e-07,2.773901144337288e-07,17624
9,6.209928073985793e-07,5.394988988882687e-07,2.7683344683282485e-07,18661
10,5.51985465335747e-07,4.808643438991567e-07,2.4542964638385456e-07,19894
11,5.934409728070023e-07,5.13800557655486e-07,2.726860941493215e-07,21523
12,5.690894795407075e-07,4.929835881739564e-07,2.6163610300500295e-07,23170
13,5.721705633732199e-07,4.946292619933956e-07,2.67175778390083e-07,24513
14,5.613924258796033e-07,4.855040742768324e-07,2.6391197138764255e-07,26307
15,5.284440476316377e-07,4.57007786280883e-07,2.505628060589516e-07,27719
16,4.7526307866974093e-07,4.105121718112059e-07,2.284658222606595e-07,29557
17,3.889940387580282e-07,3.350099291310471e-07,1.9021598518520483e-07,30939
18,3.162127484301891e-07,2.710891067181365e-07,1.579474115942503e-07,32456
19,2.696789351830376e-07,2.3106910873593733e-07,1.3583223790192278e-07,33801
20,2.302399764175789e-07,1.9678070373174705e-07,1.1727814097639567e-07,35081
21,1.9011034169125201e-07,1.6248345957592394e-07,9.718374371914253e-08,36112
22,1.5302757105928324e-07,1.306561756564406e-07,7.868750628858835e-08,37010
23,1.1856257486897449e-07,1.0115149251532785e-07,6.123510587485725e-08,37743
24,9.590635841050245e-08,8.176593979669634e-08,4.971803235775951e-08,38327
25,7.436943150196386e-08,6.340962244166803e-08,3.858445296600621e-08,38677
26,5.7122093721773126e-08,4.871414915896821e-08,2.9639942056292057e-08,38981
27,4.6644398565831586e-08,3.980295204542017e-08,2.4174100943241683e-08,39291
28,3.743697973845883e-08,3.1912353648522185e-08,1.9464479805719748e-08,39498
