episode,grad_norm,grad_M,grad_F,n_obs
1,4.040385647385847e-06,3.283699697931297e-06,2.347894906051806e-06,12149
2,3.903375727531966e-06,3.1515905902779195e-06,2.2980868834565622e-06,13666
3,3.794190433836775e-06,3.0521880489686737e-06,2.2498820726468693e-06,15626
4,3.642426918304409e-06,2.91628748527728e-06,2.17866659113497e-06,17867
5,3.4152346870541805e-06,2.7228375074628275e-06,2.057930259979912e-06,20310
6,3.11254939333594e-06,2.4713565380807268e-06,1.8885576764660077e-06,23353
7,2.8417143767001107e-06,2.24813061322493e-06,1.7343637637168283e-06,26625
8,2.548425754866912e-06,2.005708438446163e-06,1.5682720686527318e-06,30191
9,2.262477664771722e-06,1.7708831592244678e-06,1.4043814644537631e-06,33131
10,1.994487092815689e-06,1.5503341046496644e-06,1.2513714864326175e-06,35375
11,1.7599169268578407e-06,1.356979964839411e-06,1.1177332908118842e-06,37110
12,1.565441039019788e-06,1.197522124130046e-06,1.0057929102913477e-06,38269
13,1.3972080523672048e-06,1.061433636095899e-06,9.067204018720076e-07,39035
14,1.2557701438709046e-06,9.490889283370052e-07,8.208974691115145e-07,39457
15,1.13364149001427e-06,8.529332262696698e-07,7.456511639247765e-07,39784
16,1.026395239023259e-06,7.694034138694406e-07,6.784189849895483e-07,39866
17,9.386649821863102e-07,7.016523113634321e-07,6.227326139196521e-07,39943
18,8.621891538496129e-07,6.42991608401644e-07,5.737252877224819e-07,39974
19,7.964827091200277e-07,5.930708084633807e-07,5.310629944688117e-07,39996
20,7.404714779113419e-07,5.508205731530325e-07,4.943574936078221e-07,39998
21,6.852409910607093e-07,5.090675472274597e-07,4.582613826187298e-07,40000
22,6.333938813440909e-07,4.69851784146158e-07,4.244027991262556e-07,39999
23,5.847886086485232e-07,4.330375134031783e-07,3.927319198737678e-07,40000
24,5.432818284134555e-07,4.0212376006820715e-07,3.651057625120302e-07,40000
25,5.03977787502663e-07,3.732313302862167e-07,3.385099205388542e-07,40000
26,4.667671475999669e-07,3.462037909685023e-07,3.129513572730503e-07,40000
27,4.3303145957906963e-07,3.216874802092207e-07,2.8978567456761084e-07,40000
28,4.0171710224967683e-07,2.989571328271268e-07,2.6824804422176385e-07,40000
29,3.745638252894423e-07,2.792617408431397e-07,2.49549003683569e-07,40000
30,3.488456457034772e-07,2.6056034130306216e-07,2.318862613037709e-07,40000
31,3.2658385862305295e-07,2.443345863412105e-07,2.1663736049504226e-07,40000
32,3.087152151692863e-07,2.3138720450788242e-07,2.043066302803709e-07,40000
33,2.924539046489372e-07,2.195840949070771e-07,1.9310718357701265e-07,40000
34,2.7644671263260534e-07,2.078224952128949e-07,1.8224267250843693e-07,40000
35,2.608604745546472e-07,1.9638470405425326e-07,1.716452544542335e-07,40000
36,2.4724960212552105e-07,1.864188590161575e-07,1.623638894443502e-07,40000
37,2.343897307355292e-07,1.769589061950683e-07,1.536448905881116e-07,40000
38,2.2236179120227467e-07,1.6808068892260053e-07,1.4552742300111277e-07,40000
39,2.1221933366177842e-07,1.6064211649791105e-07,1.3862396031072421e-07,40000
40,2.027526448955541e-07,1.5370044081919334e-07,1.321760549899409e-07,40000
41,1.950366907976786e-07,1.4812459880886308e-07,1.268190032988059e-07,40000
42,1.877096309499393e-07,1.4273793169650165e-07,1.218357539300996e-07,40000
43,1.802957854124543e-07,1.3721553671075526e-07,1.1688094758710577e-07,40000
44,1.729465566313593e-07,1.316510633841972e-07,1.1207363570520101e-07,40000
45,1.657946029354207e-07,1.2627835133116605e-07,1.0734486721730718e-07,40000
46,1.6009498438052105e-07,1.2205563848510792e-07,1.0351016044296557e-07,40000
47,1.5343059089900637e-07,1.1711580327755656e-07,9.901773978526762e-08,40000
