episode,grad_norm,grad_M,grad_F,n_obs
1,8.122446160996333e-06,1.64906703048473e-06,7.935244866530411e-06,12069
2,7.225252375064883e-06,1.4490625517282751e-06,7.063590146572096e-06,13397
3,6.454452886828221e-06,1.3039928035141202e-06,6.307011972239707e-06,15476
4,5.8737255130836274e-06,1.1670305184452443e-06,5.742926987295505e-06,17466
5,5.162762136023957e-06,9.96828362076485e-07,5.053643235441996e-06,20387
6,4.428029114933452e-06,8.412147849412577e-07,4.338613507570699e-06,23145
7,3.780487531912513e-06,7.085291144903749e-07,3.70802627003286e-06,26997
8,3.2493223898200085e-06,6.023934702170664e-07,3.189699327776907e-06,29741
9,2.806850716297049e-06,5.130202680447837e-07,2.7576156753639225e-06,33026
10,2.4683934043423505e-06,4.55173335467407e-07,2.4250159640359925e-06,35265
11,2.172388121834956e-06,4.0761233321973123e-07,2.1332461983547546e-06,37125
12,1.9220353806304047e-06,3.6730708075083385e-07,1.8863054265239043e-06,38433
13,1.698556729934353e-06,3.3223247442037973e-07,1.6655677654853207e-06,39106
14,1.5220504110402544e-06,2.9605052986880764e-07,1.4928301652616938e-06,39567
15,1.3772954616797506e-06,2.6453062673681416e-07,1.3515115142581635e-06,39761
16,1.243197516487271e-06,2.377652492668858e-07,1.2201077197460108e-06,39880
17,1.121704485740338e-06,2.150876241557853e-07,1.1007567763954285e-06,39943
18,1.014432768897677e-06,1.950620003299264e-07,9.953491826308891e-07,39975
19,9.206813160744788e-07,1.782364478231102e-07,9.030977139445896e-07,39982
20,8.397105375479441e-07,1.6236906219546657e-07,8.236809776462906e-07,39999
21,7.699111961301242e-07,1.480145925825127e-07,7.553420005024236e-07,39995
22,7.037978093649144e-07,1.3370910778576217e-07,6.9075019837328e-07,40000
23,6.445137614718988e-07,1.208313733513933e-07,6.328267545541166e-07,39997
24,5.905048396925849e-07,1.067020107825556e-07,5.804928377983742e-07,40000
25,5.469772759170155e-07,9.338112505474785e-08,5.386373231885955e-07,40000
26,5.119398451824964e-07,8.195868872462597e-08,5.050324602962064e-07,40000
27,4.809103302250151e-07,7.227794895925399e-08,4.751668427616096e-07,40000
28,4.492224547902879e-07,6.488845372132347e-08,4.442473482413334e-07,40000
29,4.205937500501023e-07,5.764439592326198e-08,4.163620133113e-07,40000
30,3.963545793794765e-07,5.1155542024616814e-08,3.927805494186032e-07,40000
31,3.713993237397517e-07,4.5688242522601286e-08,3.683254021780158e-07,40000
32,3.474499692401878e-07,4.121182684002633e-08,3.447613323714904e-07,40000
33,3.267469423917646e-07,3.709968154907983e-08,3.2440411246170697e-07,40000
34,3.059834341456736e-07,3.376960577838872e-08,3.038965417090367e-07,40000
35,2.864215957743e-07,3.157891725891204e-08,2.8445992938941345e-07,40000
36,2.683213153886755e-07,2.977217405941701e-08,2.6647848017091746e-07,40000
37,2.519728639072128e-07,2.8756931058637747e-08,2.501544429378555e-07,40000
38,2.3665607784550962e-07,2.7273303615515946e-08,2.3492246725709265e-07,40000
39,2.235208427237012e-07,2.5699945283008677e-08,2.218962578126593e-07,40000
40,2.1058704646748086e-07,2.4307890811314792e-08,2.090562531975593e-07,40000
41,1.984403894539355e-07,2.3427018547295123e-08,1.969354457287409e-07,40000
42,1.883461209217785e-07,2.2444424985224032e-08,1.869001948762161e-07,40000
43,1.786737300335517e-07,2.1397157823344063e-08,1.772908575503607e-07,40000
44,1.7092868631607416e-07,2.0553589052951796e-08,1.695948270707959e-07,40000
45,1.6284057835491694e-07,1.9624478042601368e-08,1.615621130213185e-07,40000
