episode,grad_norm,grad_M,grad_F,n_obs
1,1.868104050117836e-06,1.5423576087414403e-06,1.0537394246057374e-06,10382
2,1.8549407059254008e-06,1.5321166983994772e-06,1.045392309606541e-06,10381
3,1.869093125606014e-06,1.5444354630744783e-06,1.0524330491534784e-06,10476
4,1.878348712125444e-06,1.5503298982366689e-06,1.0602321935948569e-06,10474
5,1.856432845670497e-06,1.530508598079905e-06,1.050405217029038e-06,10218
6,1.8732990838543628e-06,1.5431801330123562e-06,1.061753664544085e-06,10384
7,1.901246150737279e-06,1.564319404678827e-06,1.0803298664541217e-06,10374
8,1.8506997321310337e-06,1.5218520275084302e-06,1.052890979735821e-06,10578
9,1.8620830815052611e-06,1.5294992863346124e-06,1.0618430223985342e-06,10438
10,1.8502007606002733e-06,1.5188626321105405e-06,1.056349560712988e-06,10273
11,1.816593339754036e-06,1.490155113970104e-06,1.0387784641352482e-06,10471
12,1.805314127523161e-06,1.4806748822593363e-06,1.0326741630706238e-06,10429
13,1.796506580831192e-06,1.4722511423315154e-06,1.029343025038543e-06,10439
14,1.8030013961833904e-06,1.4766549156775e-06,1.034389242704492e-06,10346
15,1.7822947029344505e-06,1.4592714023820008e-06,1.0231209444100386e-06,10639
16,1.7906637594933272e-06,1.466331809751864e-06,1.02763215181767e-06,10347
17,1.763254090292321e-06,1.444068061573489e-06,1.011649374049739e-06,10312
18,1.7465207520217518e-06,1.4300919701781822e-06,1.00243664746813e-06,10396
19,1.725552465359215e-06,1.4124032077234006e-06,9.91146634987672e-07,10456
20,1.7258187199331587e-06,1.41246061957645e-06,9.915355576595175e-07,10382
21,1.7078749579013677e-06,1.3978802826386527e-06,9.810763685891288e-07,10632
22,1.707831074782007e-06,1.3977357866679083e-06,9.812121106733684e-07,10678
23,1.6947439007708454e-06,1.3867733059669265e-06,9.740485893416917e-07,10533
24,1.6891250425032922e-06,1.3817441413266351e-06,9.714359521240112e-07,10761
25,1.6270988680844312e-06,1.3309887663126574e-06,9.358029728900874e-07,10665
26,1.629135567782214e-06,1.3315205933395191e-06,9.385872203893086e-07,10474
27,1.5882758361840388e-06,1.297549374612572e-06,9.158721923085976e-07,10675
28,1.5856139725656249e-06,1.2943810361321084e-06,9.157467957265908e-07,10528
29,1.5526798051723745e-06,1.2665718713833485e-06,8.980370012068306e-07,10559
30,1.5346937516369508e-06,1.2509119642345468e-06,8.890347658052633e-07,10593
31,1.514974201199948e-06,1.2336141708146895e-06,8.793339247858967e-07,10697
32,1.505827640357893e-06,1.2251778116478818e-06,8.754138889344176e-07,10583
33,1.4671785493192149e-06,1.1929018910450395e-06,8.541127840544505e-07,10616
34,1.4277960644903942e-06,1.1602639915508917e-06,8.320492383973033e-07,10712
35,1.4242993984225905e-06,1.156822008852032e-06,8.308528549605398e-07,10508
36,1.4243429404814378e-06,1.1564236501726557e-06,8.314805199916009e-07,10718
37,1.4121762887953082e-06,1.1461381745903054e-06,8.249472216448339e-07,10713
38,1.3917374417360406e-06,1.1290195516266976e-06,8.137487839121604e-07,10706
39,1.38020254780713e-06,1.119379589908931e-06,8.073959634202765e-07,10541
40,1.3686975535165402e-06,1.109892991735251e-06,8.008837539819069e-07,10880
41,1.3602581248051138e-06,1.1027349273717846e-06,7.963841426317231e-07,10760
42,1.379381274091429e-06,1.1178111662957235e-06,8.081693181338778e-07,10644
43,1.372113729303237e-06,1.111709707402042e-06,8.0420630865774e-07,10888
44,1.377993498863361e-06,1.1158924735354958e-06,8.084535920716007e-07,10573
