episode,grad_norm,grad_M,grad_F,n_obs
1,1.2028001492581095e-06,9.320849017058208e-07,7.582237344649911e-07,11926
2,1.1563073485376665e-06,8.93432741122524e-07,7.321038992813556e-07,13859
3,1.1496665592858335e-06,8.872535772752599e-07,7.296058583960985e-07,15668
4,1.1281412071184604e-06,8.727127465135709e-07,7.136534918572579e-07,18102
5,1.0937783372355625e-06,8.481987379127531e-07,6.892904025335156e-07,20749
6,1.0536446097830776e-06,8.143959462358907e-07,6.673656685052265e-07,24055
7,1.02262140444509e-06,7.87308295002731e-07,6.512956929327629e-07,27399
8,9.905825208988972e-07,7.576343250548234e-07,6.363666216202546e-07,30973
9,9.58596956479596e-07,7.289507948371465e-07,6.198899313858419e-07,33637
10,9.247125376532496e-07,7.014862148935208e-07,5.989493843117089e-07,35801
11,9.0179634071319e-07,6.844132940386771e-07,5.827809559377783e-07,37689
12,8.741372425902227e-07,6.642549692514876e-07,5.630267878586892e-07,38743
13,8.552210033485608e-07,6.50249774025724e-07,5.490596208801435e-07,39259
14,8.408497365053336e-07,6.373691689987027e-07,5.407537173596211e-07,39606
15,8.166501288542349e-07,6.196875119712786e-07,5.239651272859192e-07,39785
16,7.959085905895336e-07,6.029504220350645e-07,5.11311895934341e-07,39889
17,7.708048315180349e-07,5.833189788972959e-07,4.955653594151954e-07,39963
18,7.500428864659625e-07,5.663701472258253e-07,4.831064757127024e-07,39980
19,7.224148248496931e-07,5.44591728157684e-07,4.661183368170896e-07,39988
20,6.960840437386651e-07,5.227091719461896e-07,4.514805311828241e-07,39996
21,6.72672399559815e-07,5.037638857174898e-07,4.385323677524866e-07,39998
22,6.46748731014668e-07,4.81366100757441e-07,4.255815042597533e-07,40000
23,6.21137075995648e-07,4.5916925728306534e-07,4.129589115109411e-07,40000
24,5.967971219433821e-07,4.370813257992268e-07,4.017647938781011e-07,40000
25,5.759065970778465e-07,4.1669881056805035e-07,3.934263190785714e-07,40000
26,5.525793085325859e-07,3.959013099574804e-07,3.8172976246642076e-07,40000
27,5.307094852469163e-07,3.7753605397483625e-07,3.6974739714423777e-07,40000
28,5.126062774252205e-07,3.61818592864438e-07,3.602204401431664e-07,40000
29,4.966209417034406e-07,3.47964856928229e-07,3.51640494500316e-07,40000
30,4.812592351299827e-07,3.356327908932144e-07,3.421688461457961e-07,40000
31,4.648015021757601e-07,3.238822330331459e-07,3.3057369819289306e-07,40000
32,4.478633854887448e-07,3.125458363228973e-07,3.1771332942298613e-07,40000
33,4.313425279178773e-07,3.009645865859057e-07,3.0550941687579325e-07,40000
34,4.154841803938325e-07,2.903500728734798e-07,2.9318312044779304e-07,40000
35,4.005206619694946e-07,2.786781294616958e-07,2.833497774190619e-07,40000
36,3.8626515674877737e-07,2.666046441390791e-07,2.750493308667501e-07,40000
37,3.733434255082102e-07,2.5550679083607974e-07,2.675422763331881e-07,40000
38,3.607439964525838e-07,2.448433349400148e-07,2.5993054464379384e-07,40000
39,3.510633348469128e-07,2.369556142411966e-07,2.538502030802192e-07,40000
40,3.437007194406761e-07,2.3060796650042906e-07,2.496879574209743e-07,40000
41,3.36619393692672e-07,2.244951673446849e-07,2.459598533732788e-07,40000
42,3.277019686720451e-07,2.1705143637973379e-07,2.409424268989824e-07,40000
43,3.175337894845143e-07,2.0958599122877786e-07,2.343123526316049e-07,40000
