episode,grad_norm,grad_M,grad_F,n_obs
1,7.919035851955414e-06,6.5175481722690165e-06,4.479387825995218e-06,10387
2,7.861094672989566e-06,6.471245797001757e-06,4.444601472641807e-06,10527
3,7.840558282623533e-06,6.459245014411863e-06,4.424948656378547e-06,10747
4,7.931033906061202e-06,6.540913545904914e-06,4.463879122340586e-06,10624
5,7.872609785408713e-06,6.4880609897954855e-06,4.438309588294942e-06,10764
6,7.862306119932327e-06,6.480954652943183e-06,4.429921773407841e-06,10985
7,7.865396582928952e-06,6.484673576778732e-06,4.429678483575117e-06,11093
8,7.748632015136536e-06,6.383780601026956e-06,4.3706295400625095e-06,11229
9,7.802878826623783e-06,6.43571274849819e-06,4.3892782741750125e-06,11367
10,7.745517905277666e-06,6.386335371644236e-06,4.359947524790186e-06,11327
11,7.802937034284696e-06,6.440413017116953e-06,4.380772224976681e-06,11461
12,7.714928869972937e-06,6.3600591602153145e-06,4.343884484114824e-06,11701
13,7.687496690778062e-06,6.342825145111419e-06,4.319210802350426e-06,11834
14,7.643998287676368e-06,6.308671800070442e-06,4.291843652026728e-06,11958
15,7.656951311219018e-06,6.320870397757972e-06,4.296575752960052e-06,11916
16,7.702261427766643e-06,6.360648512782063e-06,4.3181676119274925e-06,12057
17,7.720602297922596e-06,6.3801016949582845e-06,4.321569576859474e-06,12222
18,7.672242645639926e-06,6.3431484704779e-06,4.289388471079292e-06,12463
19,7.645649020560086e-06,6.318929081317037e-06,4.2783308344951365e-06,12252
20,7.539209946116898e-06,6.22998322796775e-06,4.21968252339866e-06,12636
21,7.599618129461305e-06,6.284833034442272e-06,4.245970558258705e-06,12742
22,7.587974323541857e-06,6.277215561567573e-06,4.236309450789122e-06,12907
23,7.632394044776447e-06,6.3204465732269455e-06,4.250719484844012e-06,12950
24,7.518013717344729e-06,6.226141977094812e-06,4.186065325484378e-06,13126
25,7.451293186022667e-06,6.161871624499327e-06,4.1639923438197e-06,13267
26,7.487622042390285e-06,6.199564722919604e-06,4.171822183707263e-06,13396
27,7.486582489946159e-06,6.197804395924322e-06,4.172416083747521e-06,13490
28,7.507968348363647e-06,6.225284778338391e-06,4.167409770161612e-06,13807
29,7.457424544554669e-06,6.185370239109034e-06,4.13512634622748e-06,13779
30,7.422719590977067e-06,6.16259649177664e-06,4.104666004423052e-06,13963
31,7.416082098643528e-06,6.161460532894125e-06,4.093087227374781e-06,14091
32,7.462064331775764e-06,6.209073944773991e-06,4.098928002349567e-06,14236
33,7.399824880849337e-06,6.155235951155191e-06,4.066782821610104e-06,14529
34,7.386680863419315e-06,6.148403826955473e-06,4.0527911551180296e-06,14646
35,7.351553449552739e-06,6.122302238509292e-06,4.027737304568291e-06,14664
36,7.335320333368145e-06,6.113893959991401e-06,4.008937139587943e-06,14973
37,7.364547400356969e-06,6.1401151469908655e-06,4.021585027658148e-06,15116
38,7.324935268115951e-06,6.112581559136743e-06,3.990313871327089e-06,15387
39,7.269535217346856e-06,6.06867843089276e-06,3.953506165998988e-06,15226
40,7.287108473974513e-06,6.086233497626381e-06,3.958984962082468e-06,15689
41,7.244460903166328e-06,6.056082838767907e-06,3.924531938537257e-06,15679
42,7.229879429360153e-06,6.049883268133272e-06,3.9063488657120615e-06,15890
43,7.241739695018623e-06,6.068414677429246e-06,3.89573415304767e-06,16037
44,7.234816166601377e-06,6.072607448004419e-06,3.869394276989624e-06,16353
45,7.22837467037607e-06,6.074917109799571e-06,3.8467137528641615e-06,16651
46,7.1304461926047225e-06,5.989312739984598e-06,3.800704689638224e-06,16771
47,7.147003543650499e-06,6.016984116286039e-06,3.781262648772099e-06,16941
48,7.107342298695585e-06,5.983435130474391e-06,3.756824526135461e-06,16985
49,7.0466144279635046e-06,5.937408332101768e-06,3.713846126629505e-06,17272
50,7.092313808243489e-06,5.9859021348529495e-06,3.719041160366032e-06,17381
51,7.060942152747884e-06,5.966539447399555e-06,3.686228637889144e-06,17795
52,7.011134584899992e-06,5.925106506765587e-06,3.65751702702255e-06,17866
53,6.9758452809765e-06,5.903228156967089e-06,3.623297516242019e-06,18063
54,6.942668733245228e-06,5.871966550330399e-06,3.613026592574897e-06,18150
55,6.981321803323226e-06,5.917501766816713e-06,3.605331130529521e-06,18223
56,6.956051038287114e-06,5.899309144297149e-06,3.5840653254126664e-06,18556
57,6.923839464434423e-06,5.879750460735522e-06,3.5465252494759625e-06,18894
58,6.904129804752301e-06,5.871112989552785e-06,3.51692187905428e-06,19183
59,6.901678716531023e-06,5.873637746844906e-06,3.5011544241569936e-06,19370
60,6.856804247945547e-06,5.838064225827111e-06,3.4731685900624143e-06,19529
61,6.827654942753725e-06,5.817488727188902e-06,3.4506022075220244e-06,20002
62,6.780767762393225e-06,5.781324034614954e-06,3.411545549170114e-06,20127
63,6.789156486775028e-06,5.795602646685438e-06,3.3937603802769445e-06,20159
64,6.819589998485753e-06,5.8377618188387714e-06,3.371670800333959e-06,20535
65,6.76759145790129e-06,5.794484877696959e-06,3.3367928153893445e-06,20606
66,6.7418782236927655e-06,5.778753802587744e-06,3.311504315206548e-06,21008
67,6.741207016602857e-06,5.78978097109939e-06,3.2885695873119403e-06,21255
68,6.708384717057925e-06,5.763923127233284e-06,3.2805603495944524e-06,21373
69,6.71405086904997e-06,5.7726310842554085e-06,3.2766197364253458e-06,21699
70,6.68346638121875e-06,5.754063749918714e-06,3.242193315600161e-06,21967
71,6.747753104718868e-06,5.820374553877628e-06,3.252936721764854e-06,22331
72,6.6136599343735725e-06,5.695072559319669e-06,3.216511004211497e-06,22466
73,6.569143351953244e-06,5.663194770022528e-06,3.177634198436863e-06,22500
74,6.5667354647303e-06,5.6690255405555945e-06,3.1590529943059664e-06,22858
75,6.504908924398478e-06,5.615227109956322e-06,3.13157897835481e-06,23011
76,6.5333852035109885e-06,5.650802904710872e-06,3.116909056188888e-06,23309
77,6.47069327897043e-06,5.595771199295996e-06,3.0913192858861294e-06,23480
78,6.458028565248242e-06,5.594836693489924e-06,3.057801450268016e-06,24051
79,6.418046268663602e-06,5.565894753090106e-06,3.0276607958512614e-06,24117
80,6.424263574444922e-06,5.581304321822245e-06,3.005879534612177e-06,24553
81,6.380556897056522e-06,5.5461414376623e-06,2.980279077746673e-06,24649
82,6.402855888154591e-06,5.573085672949674e-06,2.9753980470559327e-06,25030
83,6.344305347738555e-06,5.52255960428738e-06,2.947398115793476e-06,25233
84,6.317457518889569e-06,5.506906745722517e-06,2.9188638563937275e-06,25275
85,6.298932930803858e-06,5.49579681319301e-06,2.898569164244691e-06,25738
86,6.266534910537303e-06,5.469727966556093e-06,2.880746478695073e-06,25831
87,6.2022495512792375e-06,5.418498858489329e-06,2.845416247510002e-06,26399
88,6.210449555510422e-06,5.4351789913198445e-06,2.821079306158936e-06,26620
89,6.205881618370768e-06,5.439735559775727e-06,2.8010038022330264e-06,26955
90,6.154252332635224e-06,5.394607342168456e-06,2.781222747216816e-06,27092
91,6.160136763355695e-06,5.4066290431364905e-06,2.7728083296096884e-06,27676
92,6.141147878224729e-06,5.3992594075680245e-06,2.7384451186662773e-06,27612
93,6.109961304900935e-06,5.373009571485454e-06,2.7278067591396397e-06,27828
94,6.09258358963416e-06,5.362796400731895e-06,2.710903800107189e-06,28099
95,6.085295353841502e-06,5.365257038647542e-06,2.683254479052266e-06,28386
96,6.080419097997947e-06,5.370699909690302e-06,2.659777010194375e-06,28430
97,6.049776857253164e-06,5.344807959772879e-06,2.645620952534955e-06,28709
98,6.006977855577134e-06,5.312863777362509e-06,2.614838876979775e-06,29169
99,5.959631835139589e-06,5.276885985949775e-06,2.580646196292946e-06,29576
100,5.966651769995224e-06,5.288365628075553e-06,2.574320888015791e-06,29426
101,5.922518539591692e-06,5.254477400740143e-06,2.542091124269064e-06,29742
102,5.914065695833415e-06,5.254244115349138e-06,2.519849658710882e-06,30085
103,5.868272182851797e-06,5.218360001890687e-06,2.4935955025284784e-06,30295
104,5.867645995749626e-06,5.22056234331103e-06,2.487450728949625e-06,30210
105,5.87353179071215e-06,5.2356058404257055e-06,2.462357315380359e-06,30875
106,5.813353709527291e-06,5.1831561904691625e-06,2.4391997612838168e-06,31058
107,5.794718163087964e-06,5.170899839868071e-06,2.4231753741332795e-06,31244
108,5.810180027765455e-06,5.1931297093688045e-06,2.408641648798948e-06,31463
109,5.734657861466985e-06,5.124435119796544e-06,2.377617420279421e-06,31733
110,5.720988156099338e-06,5.117526598041877e-06,2.3638494894839823e-06,31858
111,5.728620180889266e-06,5.1345118663448375e-06,2.337915020689252e-06,32297
112,5.688772944267839e-06,5.1010592869715765e-06,2.3195723315438954e-06,32398
113,5.6894195950008e-06,5.108600817038678e-06,2.303134806425078e-06,32619
114,5.663080628437456e-06,5.08962148160208e-06,2.2841325062472606e-06,32868
115,5.642363703373121e-06,5.076972229289822e-06,2.26043198381376e-06,33265
116,5.6157145991164725e-06,5.055217570770765e-06,2.2436061044572853e-06,33406
117,5.5939094636414666e-06,5.040263204136863e-06,2.226172455266351e-06,33500
118,5.58908413950121e-06,5.043766122980742e-06,2.198625907112728e-06,33520
119,5.557604708883446e-06,5.01564318255987e-06,2.191618477809243e-06,33834
120,5.543237421079539e-06,5.007947038393468e-06,2.170888365071733e-06,34127
121,5.517667432286544e-06,4.989127774024382e-06,2.153654122594162e-06,34125
122,5.498241080204025e-06,4.974868261342635e-06,2.138757281500148e-06,34491
123,5.485204383148812e-06,4.969420388079016e-06,2.1155501599423587e-06,34537
124,5.4620145419903565e-06,4.953424650011584e-06,2.0926645447616465e-06,34711
125,5.46203682461055e-06,4.959590114594903e-06,2.0776810742972884e-06,35045
126,5.457788120111218e-06,4.961171271133935e-06,2.06017875825637e-06,35169
127,5.421149126050295e-06,4.933303443976911e-06,2.033832515735412e-06,35191
128,5.392640105128521e-06,4.912138592771953e-06,2.0074949134141207e-06,35351
129,5.392474122345448e-06,4.917362275591586e-06,1.995640332097537e-06,35428
130,5.377890374802519e-06,4.909619292448042e-06,1.9733013232325902e-06,35579
131,5.339387826097664e-06,4.876599632552825e-06,1.954472509169136e-06,35886
132,5.313676865625894e-06,4.858225565840257e-06,1.93260302694398e-06,36147
133,5.331699412636226e-06,4.8811275519256014e-06,1.918587713589659e-06,36409
134,5.25887207913911e-06,4.813190571439918e-06,1.8983563450092331e-06,36197
135,5.24528331879992e-06,4.805161097465316e-06,1.8791595266520744e-06,36434
136,5.23185826750705e-06,4.798019745066995e-06,1.8583884866529845e-06,36505
137,5.210864401306026e-06,4.780856670549838e-06,1.848602096288232e-06,36710
138,5.185860572964884e-06,4.759709554491565e-06,1.8345082253290457e-06,37020
139,5.164321919437498e-06,4.745099886349635e-06,1.8131755723516108e-06,36841
140,5.16119371241075e-06,4.747117145598168e-06,1.7967462326851091e-06,36965
141,5.13314353156602e-06,4.725048711406998e-06,1.776153681021242e-06,37119
142,5.109321591589833e-06,4.704948878497817e-06,1.761093813001935e-06,37129
143,5.078465619590133e-06,4.6795794332865626e-06,1.7412622810297762e-06,37314
144,5.0911821745103225e-06,4.699563760368619e-06,1.7195370674016883e-06,37531
145,5.062843683845131e-06,4.6752656999160536e-06,1.706449438643176e-06,37773
146,5.064825927547645e-06,4.681192422140157e-06,1.6973023093669326e-06,37591
147,5.060374405729817e-06,4.682577127823606e-06,1.6800511275505414e-06,37861
148,5.039605184720131e-06,4.663525487558218e-06,1.6708415842003888e-06,37908
149,4.996359166398179e-06,4.623954282578779e-06,1.658225414757908e-06,37868
150,5.004143986298004e-06,4.635461664292961e-06,1.6453565194751718e-06,38047
151,5.01307795275352e-06,4.6505410864483565e-06,1.628196628189471e-06,38125
152,4.972393981006462e-06,4.613729288394097e-06,1.6146784673765069e-06,38184
153,4.964414529240457e-06,4.611462372849928e-06,1.591966338310158e-06,38290
154,4.921992058370961e-06,4.571852059598314e-06,1.580364141773316e-06,38254
155,4.91706668981351e-06,4.572470061248168e-06,1.5636496755178086e-06,38388
156,4.892385732091498e-06,4.552441168925725e-06,1.54708595800912e-06,38447
157,4.896447080682265e-06,4.560839897749247e-06,1.5321403452617233e-06,38551
158,4.849141532758949e-06,4.517315574048553e-06,1.5165135209826983e-06,38642
159,4.843112037633546e-06,4.51850928584463e-06,1.4955820688555832e-06,38665
160,4.804110176337417e-06,4.483580596570391e-06,1.476662646382465e-06,38683
161,4.833721050090389e-06,4.520070888247574e-06,1.457138068872155e-06,38746
162,4.796553184860386e-06,4.486854322749423e-06,1.4424731489270926e-06,38807
163,4.76492414236418e-06,4.4582948248717e-06,1.427979100299126e-06,38839
164,4.758336672239238e-06,4.455876023712335e-06,1.4159952570480527e-06,38869
165,4.717481260740897e-06,4.419297511049081e-06,1.3941142924522865e-06,38887
166,4.718429863714846e-06,4.425084171089111e-06,1.3805046137349564e-06,38933
167,4.715832801593933e-06,4.428829925018363e-06,1.358444364996103e-06,38965
168,4.674672254623147e-06,4.391114543977892e-06,1.3433528920359097e-06,39095
169,4.669263944379054e-06,4.388424258650048e-06,1.3374493619267014e-06,39089
170,4.635959157894831e-06,4.358899786893744e-06,1.321113472840807e-06,39095
171,4.6263089643616695e-06,4.354115390015068e-06,1.3035588608545368e-06,39112
172,4.603722572937841e-06,4.333959623181727e-06,1.294914568461536e-06,39188
173,4.585060651152162e-06,4.32003889727639e-06,1.2759273886331355e-06,39281
174,4.575510956783546e-06,4.315271780797048e-06,1.258457245967293e-06,39285
175,4.547414846456377e-06,4.288637228455627e-06,1.2534504776340327e-06,39289
176,4.537037057161797e-06,4.2831252358155325e-06,1.236250568581454e-06,39315
177,4.523025836533634e-06,4.272825208317954e-06,1.2241131344126188e-06,39333
178,4.5066499296808615e-06,4.261082267476013e-06,1.2071434412064264e-06,39439
179,4.4893390622746665e-06,4.248379809723701e-06,1.1911539559150697e-06,39460
180,4.468526185519295e-06,4.233084837323986e-06,1.17306990432553e-06,39484
181,4.44389525000588e-06,4.211660780129023e-06,1.1628426364040934e-06,39526
182,4.434857601154363e-06,4.207562142255483e-06,1.1448576060502091e-06,39477
183,4.415142939251382e-06,4.191680091025773e-06,1.1298666322545614e-06,39571
184,4.381053258839529e-06,4.159854142926633e-06,1.1209617696295029e-06,39541
185,4.380231985123828e-06,4.161944161751308e-06,1.1112186939499225e-06,39540
186,4.364372671261663e-06,4.151193479629001e-06,1.095793891181529e-06,39588
187,4.347845333541045e-06,4.136768893658882e-06,1.0868861863855273e-06,39597
188,4.345710294728633e-06,4.138710664847167e-06,1.076047055903473e-06,39629
189,4.306481514504412e-06,4.1035109461518005e-06,1.0570088306849357e-06,39616
190,4.296367478673346e-06,4.097093551536091e-06,1.0443430937812082e-06,39654
191,4.279786935512675e-06,4.082306986674666e-06,1.0423299272588338e-06,39603
192,4.259960405761376e-06,4.067408099217573e-06,1.022107198878075e-06,39695
193,4.244030151312472e-06,4.0554750739829615e-06,1.008192839435651e-06,39703
194,4.228153102303622e-06,4.041543434141204e-06,1.0017954537033802e-06,39708
195,4.2150791159656364e-06,4.032684955745936e-06,9.888142358249752e-07,39709
196,4.198262558929855e-06,4.019471816718578e-06,9.730075589686749e-07,39775
197,4.1842040445772e-06,4.009997155662859e-06,9.576345973982825e-07,39790
198,4.15326576330699e-06,3.979070243076421e-06,9.5661880550324e-07,39766
199,4.156494014750933e-06,3.986081082985038e-06,9.430076488570194e-07,39775
200,4.126352905586828e-06,3.956904947699513e-06,9.386915849063372e-07,39822
201,4.109294422960375e-06,3.943943283957196e-06,9.224050927514328e-07,39808
202,4.107023414690048e-06,3.9449710129702e-06,9.1260375256752e-07,39835
203,4.07824063586304e-06,3.917441972589586e-06,9.054602401192824e-07,39835
204,4.066142537340056e-06,3.908297003363259e-06,8.96939923222817e-07,39831
205,4.0600052670924924e-06,3.904297500412213e-06,8.890983167475497e-07,39831
206,4.054110377182951e-06,3.90167497243965e-06,8.778242204243725e-07,39828
207,4.02738805860281e-06,3.876906703226268e-06,8.663928952046263e-07,39864
