episode,grad_norm,grad_M,grad_F,n_obs
1,3.2887728593777865e-06,2.548951897551888e-06,2.067913101200247e-06,10302
2,3.267884721935843e-06,2.5324848138552625e-06,2.055157438007882e-06,10398
3,3.291245548098232e-06,2.5518534130242188e-06,2.067398327199044e-06,10493
4,3.214016714991885e-06,2.489443431841209e-06,2.022136868617963e-06,10259
5,3.2866312267287867e-06,2.550504632381489e-06,2.0616348592739087e-06,10425
6,3.224769443477271e-06,2.500755044820835e-06,2.0242728169250768e-06,10474
7,3.296764589322265e-06,2.558771257099579e-06,2.066395381916664e-06,10542
8,3.307538690933143e-06,2.570295464465744e-06,2.068495177809382e-06,10607
9,3.2686450595065253e-06,2.544613607824431e-06,2.0366392163850837e-06,10645
10,3.284084868937498e-06,2.553688545958721e-06,2.0511113234533696e-06,10506
11,3.2704688237572554e-06,2.5484250727458857e-06,2.033647888310952e-06,10587
12,3.264491169829853e-06,2.544114067859482e-06,2.0297884475439787e-06,10663
13,3.2485068004461937e-06,2.530037590986467e-06,2.0225479602231644e-06,10712
14,3.2633561204420403e-06,2.5442354854021687e-06,2.026863512583077e-06,10786
15,3.2193397601076867e-06,2.504644044165616e-06,2.007928515013191e-06,10608
16,3.297890089015709e-06,2.5744366212165914e-06,2.0438760657270905e-06,10745
17,3.291043867648113e-06,2.5706062842800748e-06,2.037097601714777e-06,10773
18,3.2482964797964087e-06,2.5315839593531564e-06,2.019155317611876e-06,10865
19,3.232242534068064e-06,2.5188276140397647e-06,2.008266619668575e-06,10572
20,3.303443008917384e-06,2.57729584518529e-06,2.0483164462348213e-06,10922
21,3.2354930681322003e-06,2.5254446427425137e-06,2.00425756702316e-06,10839
22,3.267247620897251e-06,2.5563897452229867e-06,2.014038273046026e-06,10858
23,3.225364707759581e-06,2.5161339181067888e-06,1.9989756765426137e-06,10907
24,3.33180423695012e-06,2.6104414700967027e-06,2.047513362413156e-06,10968
25,3.31014052790124e-06,2.591857992229052e-06,2.037241301877657e-06,10997
26,3.2986683891067514e-06,2.5810511488089105e-06,2.0319112081779167e-06,10996
27,3.319405323054525e-06,2.605876034067478e-06,2.030754103543586e-06,10998
28,3.321077201690059e-06,2.6020622954092687e-06,2.0393647446326213e-06,11104
29,3.292712335678516e-06,2.5831409402599093e-06,2.01564330382098e-06,11051
30,3.338552687637275e-06,2.6271170554537093e-06,2.0306092665123288e-06,11079
31,3.318704102639458e-06,2.608155227790121e-06,2.0235709143889835e-06,11086
32,3.2962682325887727e-06,2.5929653020284604e-06,2.0054449123563245e-06,11095
33,3.2742609619162977e-06,2.5722235932335025e-06,1.997744675463764e-06,11210
34,3.289691449026577e-06,2.5895169528666884e-06,1.9976480416517006e-06,11297
35,3.2464577088830997e-06,2.5524877855787054e-06,1.9759065708058188e-06,11258
36,3.284564400019008e-06,2.5883427952066995e-06,1.988751364478958e-06,11232
37,3.3045898817363195e-06,2.6022376005130354e-06,2.0047370981046697e-06,11185
38,3.3152882679132745e-06,2.6147390599362552e-06,2.0021157070004847e-06,11409
39,3.3114208690676605e-06,2.6085531317221462e-06,2.005766873480752e-06,11255
40,3.2787720556370914e-06,2.584309186204337e-06,1.982661842703237e-06,11547
41,3.338478336445405e-06,2.637600346133695e-06,2.0085562937310897e-06,11304
42,3.246087999286829e-06,2.5577746782801114e-06,1.9633239389804658e-06,11350
43,3.2137465950654587e-06,2.532146936573554e-06,1.9432495719229337e-06,11419
44,3.301419155832264e-06,2.609768671391066e-06,1.9812136997643397e-06,11603
45,3.2930199722613902e-06,2.6085663193953224e-06,1.96493942894449e-06,11634
46,3.3130056635855e-06,2.6286920729035046e-06,1.9682324818859342e-06,11823
47,3.360547907504952e-06,2.66687925432052e-06,1.995530510612298e-06,11629
48,3.3428138976887567e-06,2.653706133060041e-06,1.9818576220131945e-06,11614
49,3.296474233138724e-06,2.608453314678627e-06,1.9683507161971647e-06,11690
50,3.2673344776412705e-06,2.589676796560525e-06,1.9420212993281893e-06,11690
51,3.267529564254801e-06,2.587805283837952e-06,1.9441113181528635e-06,11888
52,3.3650021578068845e-06,2.6819327558769146e-06,1.970362063730136e-06,11774
53,3.2912791994021973e-06,2.607600208648364e-06,1.9556639472284587e-06,11816
54,3.325577154100756e-06,2.6467416773812147e-06,1.9515091480570845e-06,11717
55,3.2777122669358505e-06,2.6016148240159964e-06,1.935032742039766e-06,11637
56,3.3049668672902044e-06,2.629932623676723e-06,1.939874891832005e-06,11805
57,3.277513997090864e-06,2.5997214834205806e-06,1.934118472490809e-06,11952
58,3.3049350349756423e-06,2.6354075544077205e-06,1.922368483064929e-06,11920
59,3.3217856980627403e-06,2.653405999808456e-06,1.921093144119368e-06,11952
60,3.3375745260855183e-06,2.658996663740254e-06,1.946411202879972e-06,12077
61,3.247727136113099e-06,2.583642526587937e-06,1.8994498987012776e-06,12111
62,3.280378450654098e-06,2.6127984256163472e-06,1.9117453575745458e-06,12066
63,3.311724185550702e-06,2.640600769154844e-06,1.923155423355638e-06,12016
64,3.305580776213901e-06,2.6392015115561662e-06,1.912178504426265e-06,12149
65,3.3547255497978767e-06,2.6860684556595515e-06,1.922444198498852e-06,12145
66,3.3127157621493097e-06,2.6425361738802167e-06,1.9180961317033507e-06,12278
67,3.357382411195431e-06,2.6873708520724904e-06,1.9240087567595765e-06,12212
68,3.308457053208258e-06,2.646388793436927e-06,1.900984784697357e-06,12332
69,3.308943860247382e-06,2.6468749183550244e-06,1.8972585849041932e-06,12344
70,3.276130883023143e-06,2.612757725728443e-06,1.8932207694888348e-06,12284
71,3.3638577860983787e-06,2.704426606214838e-06,1.8995136770172396e-06,12431
72,3.3015307963069063e-06,2.6403984065836994e-06,1.891912233986659e-06,12483
73,3.3353790058754385e-06,2.675108362382161e-06,1.896343519547372e-06,12306
74,3.275499011579086e-06,2.617351583467098e-06,1.8808196955433232e-06,12323
75,3.3558069389982847e-06,2.698008529478102e-06,1.8936610786113304e-06,12404
76,3.3587666621315293e-06,2.697312311283895e-06,1.9012601342183189e-06,12518
77,3.38692257173534e-06,2.7218982268095715e-06,1.913637106554233e-06,12444
78,3.324316594444099e-06,2.6631664695742074e-06,1.894772481136897e-06,12677
79,3.245001835239236e-06,2.597274715299136e-06,1.8541124973125989e-06,12587
80,3.369893192939344e-06,2.716378276090836e-06,1.885013034552685e-06,12699
81,3.3095493563450877e-06,2.653851879586e-06,1.8813381075233335e-06,12824
82,3.332563210278749e-06,2.677292513908469e-06,1.8869346831706932e-06,12774
83,3.379144800419453e-06,2.7240660074312477e-06,1.8920936781796629e-06,12625
84,3.285430238975096e-06,2.6370255454821745e-06,1.862699491539388e-06,12832
85,3.318214567116229e-06,2.6633952074917038e-06,1.882007836684352e-06,12865
86,3.353554120621993e-06,2.695235252758721e-06,1.8966429706779309e-06,12676
87,3.330237632326316e-06,2.681057367226458e-06,1.8712712517299224e-06,12835
88,3.292513383712503e-06,2.635764985825517e-06,1.884355924630654e-06,13112
89,3.368414354554261e-06,2.7132798550155712e-06,1.8915366126748268e-06,13012
90,3.3262140277656727e-06,2.6762108973343857e-06,1.873664928098151e-06,12849
91,3.321092435726314e-06,2.676966687431559e-06,1.859210442489712e-06,13153
92,3.269508852099534e-06,2.6227689886582084e-06,1.8591749721963424e-06,12998
93,3.2842517612152733e-06,2.639317017383292e-06,1.8590035324450584e-06,13025
94,3.338635224281461e-06,2.6890304525295505e-06,1.8745383840723664e-06,13206
95,3.3061678550438955e-06,2.666668024176033e-06,1.8473599538992855e-06,13187
96,3.400817377041676e-06,2.7542514544620644e-06,1.874846816463105e-06,13296
97,3.367321596670081e-06,2.7147943910676986e-06,1.8850670358006028e-06,13273
98,3.3400688153051306e-06,2.690993824217003e-06,1.8731836917140756e-06,13184
99,3.3544401958351955e-06,2.7164635412191278e-06,1.8508955008655905e-06,13575
