episode,grad_norm,grad_M,grad_F,n_obs
1,5.187086571822874e-05,2.5690820621093732e-05,4.378913581604138e-05,11057
2,5.543301449506544e-05,2.7266753022558987e-05,4.720962533610873e-05,11669
3,5.7252000260632485e-05,2.826381023623981e-05,4.884642112301663e-05,12311
4,6.062871034373529e-05,2.992977169924416e-05,5.198081635171548e-05,13065
5,6.340510299196467e-05,3.13100972562097e-05,5.449460513773374e-05,13579
6,6.600107735721394e-05,3.260764424339868e-05,5.6865421356633306e-05,14368
7,6.899855361552909e-05,3.417099651414901e-05,5.949427577434108e-05,15460
8,7.0965412305668e-05,3.5394823498791084e-05,6.112977280281484e-05,16301
9,7.373862172244117e-05,3.695793202496134e-05,6.348285387502983e-05,17513
10,7.608126907143742e-05,3.828747139777988e-05,6.545065116370097e-05,18595
11,7.663357246201485e-05,3.8774942368036136e-05,6.582190690096468e-05,20190
12,7.830063987057656e-05,3.982479029218666e-05,6.715824565617368e-05,21476
13,7.965523400343955e-05,4.071097646374256e-05,6.822310388088226e-05,23250
14,8.019879169296473e-05,4.113510294700973e-05,6.861650035716593e-05,24813
15,8.14134837128222e-05,4.1842078644549474e-05,6.962280167499557e-05,26924
16,8.219419396482408e-05,4.218684625811875e-05,7.033740257611498e-05,29278
17,8.117665129248053e-05,4.148534935666248e-05,6.958333688089624e-05,30835
18,7.820250175427645e-05,3.967256634496152e-05,6.721216777805239e-05,33229
19,7.271805225173011e-05,3.653221210697666e-05,6.271075835684314e-05,34761
20,6.341451080515981e-05,3.1683037377661094e-05,5.47799609194044e-05,36498
21,5.198423241381533e-05,2.587807466625236e-05,4.49515318905469e-05,37661
22,4.061190702486783e-05,2.025502544711344e-05,3.5081448004348204e-05,38619
23,3.0914208764443174e-05,1.546138992125634e-05,2.6664250981411897e-05,39118
24,2.2979504137765616e-05,1.1545290362846572e-05,1.977641113626305e-05,39467
25,1.7083308193832636e-05,8.595073268224951e-06,1.4685951100545935e-05,39748
26,1.2913697901240084e-05,6.468981609941693e-06,1.1112826541648246e-05,39867
27,1.024041648634011e-05,5.073493866802892e-06,8.842273018672131e-06,39934
28,8.362314474652521e-06,4.061841082148021e-06,7.26509460946545e-06,39968
29,6.990987913013669e-06,3.311891987323179e-06,6.1203827499412e-06,39988
30,6.011575351294596e-06,2.7649493858916685e-06,5.307787432684563e-06,39990
31,5.236774541117484e-06,2.3332388536800863e-06,4.6645118345622905e-06,39995
32,4.632090167433489e-06,1.9939964204240823e-06,4.162563527643215e-06,40000
33,4.127550255361712e-06,1.7197930901602376e-06,3.737731276487466e-06,39999
34,3.701740070027881e-06,1.4986216001489083e-06,3.372753099029069e-06,40000
35,3.3481514947197866e-06,1.324638219557528e-06,3.0639739634352736e-06,40000
36,3.0445592074102024e-06,1.177783474304306e-06,2.796361513901502e-06,40000
37,2.7855792268383084e-06,1.0561676617726334e-06,2.5661081508587813e-06,40000
38,2.5631240987422643e-06,9.55865289142821e-07,2.3659383714402797e-06,40000
39,2.358659003220964e-06,8.748849609219178e-07,2.1779983399028424e-06,40000
40,2.1884479792788625e-06,8.088521781246527e-07,2.0215939002810046e-06,40000
41,2.0338952708698343e-06,7.551891485491069e-07,1.8775168655338348e-06,40000
42,1.8942386077469564e-06,7.109010766725987e-07,1.7463053154642694e-06,40000
43,1.772675432221149e-06,6.72948033297871e-07,1.632121211514459e-06,40000
44,1.661280862208514e-06,6.372523557729437e-07,1.5278650380423642e-06,40000
45,1.562697207191377e-06,6.034713919689239e-07,1.4360136901814258e-06,40000
46,1.4706000683872844e-06,5.703967644876684e-07,1.3507409448720864e-06,40000
47,1.388530677104427e-06,5.391063950810349e-07,1.275368617825734e-06,40000
48,1.3112589840602595e-06,5.101160240883473e-07,1.2042039543302965e-06,40000
49,1.2408947895892195e-06,4.833590878661198e-07,1.1395214869480697e-06,40000
50,1.1729835023288615e-06,4.574695253722894e-07,1.076949956768658e-06,40000
51,1.1128790902148469e-06,4.330116212258872e-07,1.0223086519545177e-06,40000
52,1.05965170860145e-06,4.101134720713162e-07,9.74333147496509e-07,40000
53,1.008522758638719e-06,3.870545697282069e-07,9.284655675401154e-07,40000
54,9.618281637813195e-07,3.640124930370803e-07,8.871013505995506e-07,40000
