episode,grad_norm,grad_M,grad_F,n_obs
1,1.7903996649693e-06,1.6085724610093166e-06,7.686812750762329e-07,12121
2,1.736595777401817e-06,1.5676487237215042e-06,7.236546366584662e-07,13814
3,1.7152018472188502e-06,1.5550194802926851e-06,6.966839123379032e-07,15846
4,1.6792093902040506e-06,1.530675604044518e-06,6.613742016270407e-07,18070
5,1.6381736713810824e-06,1.5036112017696723e-06,6.198961841619166e-07,21108
6,1.5787364873176557e-06,1.4609328218284643e-06,5.65670745800162e-07,24342
7,1.529620362816786e-06,1.4281696394391474e-06,5.148809236743546e-07,27969
8,1.4671934422949562e-06,1.381752326778951e-06,4.6175577494977926e-07,30856
9,1.4067578604226585e-06,1.3357264379010303e-06,4.132489550556784e-07,33932
10,1.343055373581592e-06,1.2844553793911473e-06,3.695091095323733e-07,36105
11,1.2821782320315831e-06,1.233511511600227e-06,3.3291425438619626e-07,37703
12,1.229916620104632e-06,1.1874109304699232e-06,3.090068219080422e-07,38753
13,1.1681104297167622e-06,1.1296783668512944e-06,2.888035055548244e-07,39379
14,1.1167817319801545e-06,1.080934566743963e-06,2.741723506005656e-07,39685
15,1.0634530553943478e-06,1.0289082865710952e-06,2.6313654188925284e-07,39851
16,1.011883000501257e-06,9.7818622180057e-07,2.536422698540264e-07,39945
17,9.518375918560196e-07,9.192701782012592e-07,2.417071414129168e-07,39964
18,9.022558629112608e-07,8.700301918906916e-07,2.3406300897477197e-07,39983
19,8.509798021805182e-07,8.194619454116037e-07,2.2465562210527426e-07,39993
20,7.999200306585408e-07,7.690207439736696e-07,2.152849702952153e-07,39992
21,7.555948968729354e-07,7.249824989230547e-07,2.0795728516986858e-07,39998
22,7.179579029070737e-07,6.87546446442866e-07,2.019920373186324e-07,40000
23,6.860327630420215e-07,6.555402478625183e-07,1.9786628513429605e-07,39999
24,6.57662724279362e-07,6.272667292250844e-07,1.938480949092991e-07,40000
25,6.289950533755473e-07,5.988878228890826e-07,1.892000796033244e-07,40000
26,6.03671423959895e-07,5.739378821090213e-07,1.844248203042298e-07,40000
27,5.79132631628454e-07,5.499956046151055e-07,1.7895263226819225e-07,40000
28,5.526342192752054e-07,5.244102680990181e-07,1.7222863846200198e-07,40000
29,5.300385623741022e-07,5.023600238018844e-07,1.6722368911814558e-07,40000
30,5.084442022962321e-07,4.813945793102903e-07,1.6208637987347174e-07,40000
31,4.88174634938332e-07,4.619835749508639e-07,1.5642444850527681e-07,40000
32,4.7094459887375706e-07,4.455352780041722e-07,1.5141580433919446e-07,40000
33,4.5331637466006214e-07,4.28756976589284e-07,1.4607491038987066e-07,40000
34,4.354323266397842e-07,4.115024125894706e-07,1.4138424830889562e-07,40000
35,4.17241864170137e-07,3.9391758832607593e-07,1.3669016141193424e-07,40000
36,3.991783614765154e-07,3.763666427403223e-07,1.3223649375504465e-07,40000
37,3.822117662366509e-07,3.597343152250687e-07,1.2840042984407773e-07,40000
38,3.648834194791562e-07,3.427145998102788e-07,1.245265508487137e-07,40000
39,3.484001354081556e-07,3.2675995953468373e-07,1.2019596340451244e-07,40000
40,3.331912807880144e-07,3.120239000509173e-07,1.162459852821485e-07,40000
41,3.190855863977049e-07,2.984915283832379e-07,1.1221536055927572e-07,40000
42,3.056347281926719e-07,2.857919412235788e-07,1.078126601328222e-07,40000
43,2.9406109547380765e-07,2.748678866737464e-07,1.0401461025821845e-07,40000
44,2.8286655151532614e-07,2.641973253503238e-07,1.005710359436307e-07,40000
45,2.735329189818003e-07,2.5495498334748845e-07,9.854850446799901e-08,40000
46,2.645346057761344e-07,2.45908097440406e-07,9.686294077937418e-08,40000
47,2.5601624997761974e-07,2.372639471559524e-07,9.537342293697293e-08,40000
48,2.4778131546554505e-07,2.2900356100308275e-07,9.357218999639373e-08,40000
49,2.399630432137201e-07,2.2126840804048697e-07,9.147599655534577e-08,40000
50,2.3234365187363442e-07,2.138210390967288e-07,8.916445892737103e-08,40000
