episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
1,0.0,99.5,199,60.81565575819663,61.62068969673103,48.29054967454462,48.91901316062297,0.8050339385344003,0.6284634860783456,1.2809557856063623,0.008090793352104525,0.006316215940485885,0.007203504646295205,12.70167653610806,467,379,609,486,71,66,-945.48951986908,0.7668308702791461,0.779835390946502,0.8479657387580299,0.8258575197889182,467,379,609,486,71,66,-964.6350168184342,0.7668308702791461,0.779835390946502,0.8479657387580299,0.8258575197889182,467,379,139,47,106,361,109,33,40,339,100,7,0.3530377668308703,0.2880658436213992,0.22698072805139186,0.10554089709762533,0.762589928057554,0.851063829787234,37,33,-0.013004520667355912,1.2809557856063623
2,99.5,199.0,199,61.62068969673103,62.584850843274616,48.91901316062297,49.61795326860018,0.9641611465435886,0.6989401079772151,1.3794617529303663,0.008890427563205974,0.006670369819374676,0.007780398691290325,12.966897574674434,571,404,694,499,81,58,-579.593302010381,0.8227665706051873,0.8096192384769539,0.8581436077057794,0.8564356435643564,1038,783,1303,985,152,124,-1583.888963338722,0.7966231772831927,0.7949238578680203,0.8535645472061657,0.8416347381864623,571,404,140,43,217,821,203,62,72,711,184,18,0.32233307751343054,0.2598984771573604,0.20905587668593448,0.09195402298850575,0.7777777777777778,0.8,34,20,0.01314733212823338,1.3328237869784887
3,199.0,298.5,199,62.584850843274616,63.50858820071121,49.61795326860018,50.3400874395522,0.9237373574365932,0.7221341709520175,1.279176910045393,0.00902154922115438,0.006866123165854533,0.007943836193504457,13.16850076115901,527,420,633,535,87,67,-769.8128682931908,0.8325434439178515,0.7850467289719626,0.8349146110056926,0.8404761904761905,1565,1203,1936,1520,239,191,-2279.4409268840454,0.8083677685950413,0.7914473684210527,0.8472843450479233,0.8412302576891105,527,420,145,60,343,1222,290,81,122,1081,289,28,0.3269628099173554,0.27039473684210524,0.21916932907348244,0.10141313383208644,0.8089622641509434,0.8133333333333334,38,45,0.04749671494588892,1.3139218454482224
4,298.5,398.0,199,63.50858820071121,64.39450575850319,50.3400874395522,51.06290146811557,0.8859175577919771,0.72281402856337,1.2256507521758866,0.008992085427905928,0.006965708024047608,0.007978896725976767,13.331604290387617,520,414,651,517,81,59,-663.0658697329776,0.7987711213517665,0.8007736943907157,0.8442307692307692,0.857487922705314,2085,1617,2587,2037,320,250,-2959.2057108059,0.8059528411287206,0.7938144329896907,0.8465227817745804,0.8453927025355596,520,414,129,55,444,1641,393,109,161,1456,376,44,0.323540780827213,0.26362297496318116,0.21294964028776978,0.09956709956709957,0.8028933092224232,0.7853658536585366,39,36,-0.002002573038949129,1.290907600040468
5,398.0,497.5,199,64.39450575850319,65.29435950008614,51.06290146811557,51.85708123454079,0.8998537415829588,0.7941797664252235,1.1330605231022153,0.009002419581687474,0.007168907658283762,0.008085663619985618,13.437278265545352,540,440,681,558,93,60,-963.0073947100722,0.7929515418502202,0.7885304659498208,0.8277777777777777,0.8636363636363636,2625,2057,3268,2595,413,310,-3909.031839750398,0.8032435740514076,0.7926782273603082,0.8426666666666667,0.8492950899368011,540,440,154,51,562,2063,498,145,197,1860,479,59,0.3243574051407589,0.2605009633911368,0.2140952380952381,0.095770539620807,0.7949080622347949,0.76953125,44,32,0.004421075900399418,1.2557588981195853
6,497.5,597.0,199,65.29435950008614,66.17705392646117,51.85708123454079,52.61098056366223,0.8826944263750249,0.7538993291214382,1.1708385884938761,0.00898056644600426,0.007236902661838542,0.008108734553921401,13.566073362798939,523,416,662,528,89,48,-474.1071395891557,0.7900302114803626,0.7878787878787878,0.8298279158699808,0.8846153846153846,3148,2473,3930,3123,502,358,-4404.096097936844,0.8010178117048347,0.7918667947486391,0.8405336721728082,0.8552365547917509,523,416,143,50,674,2474,606,176,239,2234,583,67,0.3256997455470738,0.2632084534101825,0.21410419313850063,0.09664375252729479,0.7929411764705883,0.7810457516339869,42,29,0.00215142360157472,1.240940615846661
7,597.0,696.5,199,66.17705392646117,67.07306137500048,52.61098056366223,53.32948284221796,0.8960074485393079,0.7185022785557322,1.2470488616130493,0.008984071237335033,0.007234649199818151,0.008109360218576592,13.743578532782514,525,400,680,503,73,50,-178.07055578288703,0.7720588235294118,0.7952286282306164,0.8609523809523809,0.875,3673,2873,4610,3626,575,408,-4620.834550528875,0.7967462039045553,0.7923331494760066,0.8434522188946365,0.8579881656804733,525,400,125,52,774,2899,736,201,285,2588,680,73,0.3275488069414317,0.2661334804191947,0.21072692621835012,0.0991994430908458,0.7938461538461539,0.7960893854748603,37,28,-0.023169804701204555,1.2418115915780485
8,696.5,796.0,199,67.07306137500048,67.95047077382533,53.32948284221796,54.058485103699084,0.8774093988248524,0.7290022614811207,1.2035756885612556,0.008963335446769728,0.00724615003662621,0.008104742741697969,13.891985670126246,511,420,673,556,69,59,-463.9470518824051,0.7592867756315007,0.7553956834532374,0.8649706457925637,0.8595238095238096,4184,3293,5283,4182,644,467,-5104.617205188549,0.7919742570509181,0.7874222859875658,0.8460803059273423,0.8581840267233526,511,420,125,45,868,3316,867,232,318,2975,804,85,0.3284118871853114,0.2682926829268293,0.2074569789674952,0.0965684785909505,0.7890909090909091,0.7890818858560794,26,36,0.0038910921782633334,1.236979002844804
9,796.0,895.5,199,67.95047077382533,68.85978517893791,54.058485103699084,54.7872274048931,0.9093144051125819,0.7287423011940177,1.2477859507026055,0.00898283575738837,0.007254804835676695,0.008118820296532533,14.07255777404481,526,416,711,556,73,58,-54.92668874858118,0.739803094233474,0.7482014388489209,0.8612167300380228,0.8605769230769231,4710,3709,5994,4738,717,525,-5165.215842919552,0.7857857857857858,0.7828197551709583,0.8477707006369427,0.8584524130493394,526,416,153,58,988,3722,1019,265,358,3351,926,103,0.33483483483483484,0.2710004221190376,0.20976645435244162,0.09652197357778376,0.7885075818036712,0.7765726681127982,45,37,-0.008398344615446862,1.2381912347543518
10,895.5,995.0,199,68.85978517893791,69.86595003422175,54.7872274048931,55.454974207909146,1.006164855283842,0.667746803016044,1.506805949110125,0.009095773141733796,0.007200426666698015,0.008148099904215906,14.410975826312608,588,395,763,529,98,59,-1119.6665674448238,0.7706422018348624,0.7466918714555766,0.8333333333333334,0.850632911392405,5298,4104,6757,5267,815,584,-6272.580467815956,0.7840757732721622,0.7791911904309854,0.8461683654209136,0.8576998050682261,588,395,175,62,1121,4177,1152,307,401,3703,1041,122,0.3363918898919639,0.2737801404974369,0.21158927897319743,0.09770955165692008,0.7850140056022409,0.7667304015296367,40,29,0.023950330379285845,1.2632269673409442
