episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
1,0.0,99.5,199,60.81565575819663,61.33934303335497,48.29054967454462,48.76410461577285,0.5236872751583448,0.4735549412282296,1.105863817617635,0.005263188695058742,0.004759346142997283,0.005011267419028012,12.57523841758212,323,279,576,481,58,42,-944.9625064865781,0.5607638888888888,0.58004158004158,0.8204334365325078,0.8494623655913979,323,279,576,481,58,42,-956.1244154240388,0.5607638888888888,0.58004158004158,0.8204334365325078,0.8494623655913979,323,279,135,53,74,249,192,61,32,247,181,21,0.4618055555555556,0.44282744282744285,0.22910216718266255,0.11469534050179211,0.5481481481481482,0.6037735849056604,25,25,-0.01927769115269118,1.105863817617635
2,99.5,199.0,199,61.33934303335497,62.04616240220195,48.76410461577285,49.3025771659084,0.706819368846979,0.5384725501355518,1.3126376983730157,0.006183450472388562,0.005085565283235082,0.005634507877811822,12.743585236293548,424,296,661,505,63,32,-68.35218615352241,0.6414523449319214,0.5861386138613861,0.8514150943396226,0.8918918918918919,747,575,1237,986,121,74,-946.6000543182923,0.6038803556992725,0.5831643002028397,0.8380187416331994,0.8713043478260869,424,296,138,45,154,593,371,119,57,518,370,41,0.4244139046079224,0.4330628803245436,0.20615796519410978,0.09913043478260869,0.5641025641025641,0.5816326530612245,25,15,0.05531373107053528,1.2158826262191016
3,199.0,298.5,199,62.04616240220195,62.78662650893716,49.3025771659084,49.80399755135812,0.7404641067352102,0.5014203854497197,1.4767331529034151,0.006602917087907987,0.005070177141753772,0.00583654711483088,12.982628957579038,418,291,658,481,56,43,-412.199535688804,0.6352583586626139,0.604989604989605,0.8660287081339713,0.852233676975945,1165,866,1895,1467,177,117,-1336.4176955936243,0.6147757255936676,0.5903203817314246,0.848068669527897,0.8648960739030023,418,291,138,55,241,924,560,170,90,776,538,63,0.42269129287598944,0.4280845262440354,0.20686695278969958,0.10392609699769054,0.5863746958637469,0.5882352941176471,39,26,0.030268753673008963,1.3023050089378219
4,298.5,398.0,199,62.78662650893716,63.439144011895976,49.80399755135812,50.35530849722429,0.6525175029588155,0.5513109458661702,1.1835743655218718,0.00659167902939535,0.0051878362378886215,0.005889757633641986,13.083835514671684,384,328,629,491,65,49,-756.8996656582806,0.6104928457869634,0.6680244399185336,0.8307291666666666,0.850609756097561,1549,1194,2524,1958,242,166,-2073.4679989446727,0.6137083993660856,0.609805924412666,0.8437701743060039,0.8609715242881072,384,328,109,51,303,1246,758,217,124,1070,684,80,0.420364500792393,0.41266598569969354,0.19561007101355712,0.10385259631490787,0.5826923076923077,0.6078431372549019,22,22,-0.05753159413157016,1.2706027575145806
5,398.0,497.5,199,63.439144011895976,64.13263061184308,50.35530849722429,50.975415580736936,0.6934865999471072,0.620107083512643,1.1183336207333747,0.006667286137982828,0.005396715389331285,0.006032000763657057,13.157215031106148,421,344,667,529,69,43,-695.5307826468032,0.631184407796102,0.6502835538752363,0.836104513064133,0.875,1970,1538,3191,2487,311,209,-2780.970520653151,0.6173613287370731,0.6184157619622035,0.8421319796954314,0.864109232769831,421,344,136,47,393,1577,958,263,150,1388,848,101,0.4233782513318709,0.40128669079211904,0.19949238578680203,0.09752925877763328,0.5990853658536586,0.5976095617529881,30,30,-0.01909914607913432,1.2354340848070886
6,497.5,597.0,199,64.13263061184308,64.82623440684328,50.975415580736936,51.5525223943135,0.6936037950002003,0.5771068135765631,1.2018638121800338,0.006717887183662742,0.0054639409041354736,0.006090914043899108,13.273712012529785,420,329,648,503,68,45,-659.1190024625536,0.6481481481481481,0.6540755467196819,0.8380952380952381,0.8632218844984803,2390,1867,3839,2990,379,254,-3398.7629503939625,0.6225579578015108,0.6244147157190636,0.8414225941422594,0.8639528655597215,420,329,132,61,470,1920,1131,318,190,1677,1001,122,0.4170356863766606,0.39832775919732444,0.19665271966527198,0.10176754151044456,0.5964467005076142,0.6089743589743589,36,25,-0.005927398571533793,1.229494846581924
7,597.0,696.5,199,64.82623440684328,65.49084803740898,51.5525223943135,52.15641041178767,0.6646136305656967,0.6038880174741692,1.1005577380811749,0.006712408153930156,0.0055504102472979855,0.006131409200614071,13.334437625621312,383,337,633,521,54,56,-554.2609317496149,0.6050552922590837,0.6468330134357005,0.8590078328981723,0.8338278931750742,2773,2204,4472,3511,433,310,-3957.8359864380213,0.6200805008944544,0.6277413842210197,0.8438514244500541,0.8593466424682396,383,337,138,59,553,2220,1326,373,229,1975,1165,142,0.420169946332737,0.39703788094559955,0.1994230075730256,0.10390199637023594,0.5971922246220303,0.6172506738544474,31,28,-0.04177772117661682,1.2093535171022443
8,696.5,796.0,199,65.49084803740898,66.19974897953561,52.15641041178767,52.74909017178341,0.7089009421266326,0.5926797599957396,1.1960944003414733,0.006763936207712294,0.005601181529194455,0.006182558868453375,13.450658807752205,421,336,696,531,64,51,-363.96284731602697,0.6048850574712644,0.632768361581921,0.847980997624703,0.8482142857142857,3194,2540,5168,4042,497,361,-4338.261535891419,0.6180340557275542,0.6284017812963879,0.8443957420162805,0.8578740157480315,421,336,168,55,650,2544,1530,444,265,2275,1341,161,0.4218266253869969,0.39732805541810984,0.20350657482780213,0.10433070866141732,0.5941499085923218,0.6220657276995305,34,20,-0.027883304110656537,1.2075909649521863
9,796.0,895.5,199,66.19974897953561,66.86559220191994,52.74909017178341,53.35604037711608,0.6658432223843249,0.606950205332673,1.097031052192119,0.006755931260439208,0.005656606033022289,0.006206268646730748,13.509551824803857,392,369,631,568,63,62,-935.9018603721738,0.6212361331220285,0.6496478873239436,0.8392857142857143,0.8319783197831978,3586,2909,5799,4610,560,423,-5292.90910266377,0.6183824797378858,0.6310195227765727,0.8438371444506414,0.8545892059126847,392,369,122,60,725,2861,1722,491,300,2609,1515,186,0.4219693050525953,0.39370932754880694,0.20217512548800892,0.10312822275696115,0.5962171052631579,0.6172839506172839,34,34,-0.028411754201915107,1.194343608340275
10,895.5,995.0,199,66.86559220191994,67.55124741872261,53.35604037711608,53.90653208603518,0.6856552168026724,0.5504917089190968,1.2455323226374695,0.006769438854799983,0.005644203428633724,0.006206821141716854,13.644715332687433,437,317,677,537,94,46,-1494.5968951320565,0.6454948301329394,0.590316573556797,0.7848970251716247,0.8548895899053628,4023,3226,6476,5147,654,469,-6769.701744297925,0.6212168004941322,0.6267728774043132,0.8374347501864281,0.8546187228766274,437,317,136,68,810,3213,1911,542,348,2878,1715,206,0.4201667696108709,0.40081600932582084,0.20134228187919462,0.1078735275883447,0.599112426035503,0.628158844765343,29,22,0.05517825657614239,1.1993612456379237
