episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
1,0.0,99.5,199,60.81565575819663,61.84483864728076,48.29054967454462,49.097701328192485,1.029182889084133,0.807151653647864,1.2750799486475866,0.010343546623961137,0.00811207692108406,0.009227811772522599,12.747137319088274,611,464,629,478,94,57,-479.73297812171506,0.9713831478537361,0.9707112970711297,0.8461538461538461,0.8771551724137931,611,464,629,478,94,57,-511.59484503412716,0.9713831478537361,0.9707112970711297,0.8461538461538461,0.8771551724137931,611,464,117,52,115,496,16,2,50,414,12,2,0.2082670906200318,0.1297071129707113,0.18821603927986907,0.10775862068965517,0.9829059829059829,0.9615384615384616,49,46,0.0006718507826064535,1.2750799486475866
2,99.5,199.0,199,61.84483864728076,63.00175504167209,49.097701328192485,49.987142274925986,1.156916394391331,0.8894409467335009,1.3007231099941394,0.010985423535052583,0.008525590956690277,0.009755507245871431,13.014612766746104,684,493,705,514,103,65,-581.1999928878652,0.9702127659574468,0.9591439688715954,0.8494152046783625,0.8681541582150101,1295,957,1334,992,197,122,-1116.2971896285271,0.9707646176911544,0.9647177419354839,0.8478764478764479,0.8725182863113897,684,493,135,42,244,1051,31,8,88,869,29,6,0.20614692653673164,0.11794354838709678,0.18841698841698842,0.09195402298850575,0.9682539682539683,0.9361702127659575,35,26,0.0110687970858514,1.2885234103838874
3,199.0,298.5,199,63.00175504167209,64.03174756306011,49.987142274925986,50.82381614574274,1.0299925213880172,0.8366738708167532,1.231056158575322,0.01077417690071518,0.008486654844884818,0.009630415872799999,13.207931417317369,605,535,637,548,95,108,-1984.866710026087,0.9497645211930926,0.9762773722627737,0.8429752066115702,0.7981308411214953,1900,1492,1971,1540,292,230,-3108.9573713503382,0.9639776763064434,0.9688311688311688,0.8463157894736842,0.8458445040214477,605,535,150,45,383,1517,52,19,133,1359,42,6,0.2207001522070015,0.11363636363636363,0.20157894736842105,0.08914209115281502,0.9527363184079602,0.9568345323741008,48,46,-0.026512851069681043,1.2695434299662989
4,298.5,398.0,199,64.03174756306011,65.10854378926942,50.82381614574274,51.67895740880498,1.0767962262093107,0.8551412630622437,1.2592027454660824,0.010786150831841186,0.008513587272010958,0.009649869051926073,13.429586380464436,650,500,677,514,104,71,-881.0922956213552,0.9601181683899557,0.9727626459143969,0.84,0.858,2550,1992,2648,2054,396,301,-3999.597059033779,0.9629909365558912,0.9698149951314509,0.8447058823529412,0.8488955823293173,650,500,161,64,537,2013,72,26,196,1796,55,7,0.22998489425981872,0.12220058422590069,0.21058823529411766,0.09839357429718876,0.9538188277087034,0.9655172413793104,51,29,-0.0126444775244412,1.2669337245536256
5,398.0,497.5,199,65.10854378926942,66.20336986999253,51.67895740880498,52.6230062913345,1.0948260807231094,0.9440488825295148,1.1597133379254656,0.010829576104112365,0.00870845551113543,0.009769015807623897,13.58036357865803,668,566,693,585,117,88,-1630.04818541729,0.963924963924964,0.9675213675213675,0.8248502994011976,0.8445229681978799,3218,2558,3341,2639,513,389,-5621.15490190591,0.9631846752469321,0.969306555513452,0.8405842137973897,0.8479280688037529,668,566,175,59,706,2512,91,32,253,2305,72,9,0.23855133193654596,0.12315270935960591,0.21939092604101926,0.09890539483971852,0.9566395663956639,0.9656488549618321,42,46,-0.0035964035964035634,1.2435702393225383
6,497.5,597.0,199,66.20336986999253,67.28259768316366,52.6230062913345,53.55178253852784,1.07922781317113,0.9287762471933405,1.1619890328078883,0.010832398534283135,0.00881278536680606,0.009822591950544596,13.73081514463582,642,522,668,538,98,69,-699.164740866166,0.9610778443113772,0.9702602230483272,0.8473520249221184,0.867816091954023,3860,3080,4009,3177,611,458,-6287.697058540148,0.9628336243452232,0.9694680516210261,0.8417098445595855,0.8512987012987013,642,522,135,52,837,3023,113,36,301,2779,84,13,0.23696682464454977,0.12118350645262826,0.21683937823834196,0.09772727272727273,0.9587628865979382,0.9585987261146497,53,41,-0.009182378736949937,1.2291685413199875
7,597.0,696.5,199,67.28259768316366,68.33287161404076,53.55178253852784,54.47121807349537,1.050273930877097,0.9194355349675334,1.1423029575577408,0.01079284401413371,0.00887389576303051,0.009833369888582109,13.861653540545383,665,541,687,557,116,86,-1607.6484156242584,0.9679767103347889,0.9712746858168761,0.825563909774436,0.8410351201478743,4525,3621,4696,3734,727,544,-7920.0380337573615,0.9635860306643952,0.9697375468666309,0.8393370165745857,0.8497652582159625,665,541,149,49,981,3544,130,41,349,3272,99,14,0.23658432708688246,0.11997857525441885,0.21679558011049724,0.0963822148577741,0.9598825831702544,0.9614325068870524,49,30,-0.003297975482087212,1.2162464268622264
8,696.5,796.0,199,68.33287161404076,69.59284020192,54.47121807349537,55.36975502324485,1.2599685878792428,0.8985369497494773,1.4022446024401523,0.011026613622768053,0.008893474056156064,0.009960043839462059,14.223085178675149,729,530,750,549,105,81,-787.7932284117727,0.972,0.9653916211293261,0.8559670781893004,0.8471698113207548,5254,4151,5446,4283,832,625,-8660.764638657487,0.964744766801322,0.9691804809712818,0.8416444613627712,0.8494338713562997,729,530,163,53,1140,4114,147,45,402,3749,118,14,0.236320235034888,0.12141022647676862,0.2169775409212029,0.09684413394362804,0.9620253164556962,0.9663461538461539,54,30,0.006608378870673892,1.2398544767930626
9,796.0,895.5,199,69.59284020192,70.85083456981543,55.36975502324485,56.29487563834351,1.257994367895435,0.9251206150986633,1.3598165983592,0.01120622982872005,0.008938387452595077,0.010072308640657564,14.55595893147192,747,543,779,560,134,76,-1689.7994699941876,0.9589216944801027,0.9696428571428571,0.820615796519411,0.860036832412523,6001,4694,6225,4843,966,701,-10332.255888223852,0.9640160642570281,0.9692339459013009,0.8390268288618563,0.8506604175543246,747,543,167,53,1298,4703,170,54,453,4241,133,16,0.23582329317269077,0.12099938054924633,0.21629728378603566,0.09650617809970174,0.9600591715976331,0.9658848614072495,46,55,-0.010721162662754469,1.2537194083555365
10,895.5,995.0,199,70.85083456981543,72.07791937834521,56.29487563834351,57.18316314073615,1.2270848085297814,0.888287502392636,1.381405012706564,0.011318857909697073,0.008937299966021635,0.010128078937859355,14.894756237609066,747,521,784,540,129,77,-1471.0005190897655,0.9528061224489796,0.9648148148148148,0.8273092369477911,0.8522072936660269,6748,5215,7009,5383,1095,778,-11778.198225316712,0.9627621629333714,0.9687906371911573,0.8377296976882039,0.8508149568552253,747,521,151,66,1438,5310,196,65,517,4698,150,18,0.2331288343558282,0.1239086011517741,0.21310017783046828,0.09913710450623202,0.9567531603459747,0.9663551401869159,58,35,-0.012008692365835238,1.2664739857372795
11,995.0,1094.5,199,72.07791937834521,73.18205982355055,57.18316314073615,58.12046639953106,1.1041404452053314,0.9373032587949126,1.1779970194757678,0.011298678908500611,0.008981193901312415,0.010139936404906513,15.061593424019485,691,554,718,571,128,83,-1883.6205844358497,0.9623955431754875,0.9702276707530648,0.8147612156295224,0.8501805054151624,7439,5769,7727,5954,1223,861,-13598.206870374132,0.9627280962857513,0.9689284514612025,0.8355961822825648,0.8507540301612064,691,554,153,75,1585,5854,217,71,591,5178,166,19,0.2332082308787369,0.12714141753443065,0.21306627234843392,0.10244409776391056,0.9571256038647343,0.9688524590163935,46,30,-0.007832127577577341,1.25803752069639
12,1094.5,1194.0,199,73.18205982355055,74.39108294048174,58.12046639953106,59.07053592661566,1.209023116931192,0.9500695270846009,1.2725627782644713,0.011369704507776475,0.009028464197714439,0.010199084352745457,15.320547013866076,700,572,727,582,106,98,-1274.0269821978827,0.9628610729023384,0.9828178694158075,0.8485714285714285,0.8286713286713286,8139,6341,8454,6536,1329,959,-14867.852700876421,0.9627395315826828,0.9701652386780906,0.8367121267969038,0.8487620249172054,700,572,142,79,1721,6418,238,77,668,5673,174,21,0.23172462739531582,0.1288249694002448,0.21145103821108244,0.10534615991168586,0.957174638487208,0.969521044992743,52,32,-0.019956796513469155,1.259317671177643
13,1194.0,1293.5,199,74.39108294048174,75.70937179390614,59.07053592661566,60.12791949658998,1.3182888534244057,1.05738356997432,1.2467461107386246,0.011514276022968315,0.009151426225006077,0.010332851123987196,15.581452297316162,771,617,803,640,105,90,-505.5308566552127,0.9601494396014943,0.9640625,0.8638132295719845,0.8541329011345219,8910,6958,9257,7176,1434,1049,-15400.184594762315,0.9625148536242843,0.9696209587513935,0.8390572390572391,0.8492382868640413,771,617,170,77,1883,7027,262,85,745,6213,197,21,0.23171653883547585,0.13127090301003344,0.21133557800224467,0.10707099741304972,0.9568089430894309,0.9725848563968669,53,45,-0.003913060398505697,1.2581947053789062
14,1293.5,1393.0,199,75.70937179390614,76.99103474073846,60.12791949658998,61.133345611555676,1.2816629468323129,1.0054261149656938,1.2747460283305299,0.01161190163857992,0.00921952328572222,0.010415712462151071,15.85768912918278,754,587,783,607,121,81,-1005.6967881938203,0.9629629629629629,0.9670510708401977,0.8395225464190982,0.8620102214650767,9664,7545,10040,7783,1555,1130,-16447.681932263582,0.9625498007968127,0.9694205319285623,0.8390935430463576,0.8502319416832339,754,587,159,62,2037,7627,286,90,805,6740,215,23,0.23137450199203188,0.13105486316330464,0.21078228476821192,0.10669317428760769,0.9576868829337094,0.9722222222222222,49,53,-0.004088107877234792,1.2594904615689455
15,1393.0,1492.5,199,76.99103474073846,78.27499132521969,61.133345611555676,62.130419755264555,1.2839565844812313,0.997074143708879,1.287724280669056,0.011698047281087478,0.009272944777701797,0.010485496029394636,16.144571569955133,759,587,784,607,131,80,-1503.9458246224656,0.9681122448979592,0.9670510708401977,0.8274044795783926,0.8637137989778535,10423,8132,10824,8390,1686,1210,-17948.792031454992,0.9629526977087953,0.9692491060786651,0.8382423486520196,0.85120511559272,759,587,180,70,2214,8209,308,93,872,7260,232,26,0.23300073909830007,0.13158522050059596,0.21241485177012376,0.10723069355632071,0.9596879063719116,0.9710467706013363,48,41,0.0010611740577615159,1.2615245277009743
16,1492.5,1592.0,199,78.27499132521969,79.50942572167013,62.130419755264555,63.162389357564294,1.234434396450439,1.031969602299739,1.196192594917048,0.011742317816252198,0.00934160784109276,0.01054196282867248,16.347036364105833,742,600,762,616,136,82,-1585.8410194727082,0.973753280839895,0.974025974025974,0.816711590296496,0.8633333333333333,11165,8732,11586,9006,1822,1292,-19491.453985271914,0.9636630416019334,0.9695758383300023,0.8368114643976713,0.8520384791571232,742,600,141,73,2350,8815,323,98,944,7788,247,27,0.23070947695494562,0.13224516988674218,0.21047917599641738,0.10810810810810811,0.9599673202614379,0.972193614830072,50,50,-0.0002726931860790316,1.2569910893282168
17,1592.0,1691.5,199,79.50942572167013,80.8559607652071,63.162389357564294,64.18576155208955,1.3465350435369743,1.0233721945252512,1.315782323127941,0.011847652974880564,0.009397110184773825,0.010622381579827193,16.670199213117556,772,605,801,620,108,99,-775.3403402758953,0.9637952559300874,0.9758064516129032,0.8601036269430051,0.8363636363636364,11937,9337,12387,9626,1930,1391,-20262.396712886093,0.9636715911843061,0.9699771452316642,0.8383178353020022,0.851022812466531,772,605,188,62,2530,9407,344,106,1005,8332,261,28,0.23201743763623153,0.1315188032412217,0.2119460500963391,0.10763628574488594,0.9597875569044007,0.972894482090997,56,36,-0.012011195682815834,1.2607762111885592
18,1691.5,1791.0,199,80.8559607652071,82.15769886521127,64.18576155208955,65.24166769516653,1.3017381000041723,1.0559061430769816,1.2328161063736403,0.011916271974882549,0.00946461084345165,0.0106904414091671,16.916031170044747,755,634,779,652,111,97,-1018.8148743443388,0.9691912708600771,0.9723926380368099,0.8529801324503311,0.8470031545741326,12692,9971,13166,10278,2041,1488,-21304.52814824057,0.9639981771228923,0.9701303755594474,0.8391900409706902,0.8507672249523619,755,634,158,77,2681,10011,361,113,1081,8890,278,29,0.23104967340118487,0.13222416812609458,0.21123542388906397,0.10841440176511885,0.9595561918396565,0.9738738738738739,55,51,-0.0032013671767328056,1.2590345416184912
19,1791.0,1890.5,199,82.15769886521127,83.55077214771177,65.24166769516653,66.26897563145029,1.3930732825004952,1.027307936283762,1.3560425587091949,0.01202598063449624,0.009509878845229129,0.010767929739862684,17.28179651626148,802,597,834,619,110,89,-533.7860844319089,0.9616306954436451,0.9644588045234249,0.8628428927680798,0.8509212730318259,13494,10568,14000,10897,2151,1577,-21879.030655635102,0.9638571428571429,0.9698082040928696,0.8405958203646064,0.850775927327782,802,597,169,65,2845,10649,388,118,1144,9424,298,31,0.23092857142857143,0.13232999908231624,0.21083444493849118,0.10825132475397427,0.9601754978062774,0.9736170212765958,58,44,-0.002828109079779817,1.2645776912846138
20,1890.5,1990.0,199,83.55077214771177,84.94367552726622,66.26897563145029,67.38290273447225,1.392903379554454,1.1139271030219646,1.2504439256174456,0.012124633049783716,0.009594147266295292,0.010859390158039505,17.56077279279397,819,658,836,681,121,90,-952.0089728495257,0.9796650717703349,0.9662261380323054,0.8522588522588522,0.8632218844984803,14313,11226,14836,11578,2272,1667,-22855.42586430347,0.9647479104880021,0.9695975125237519,0.8412631873122336,0.8515054338143595,819,658,186,79,3029,11284,403,120,1219,10007,317,35,0.23132919924507953,0.13266539989635515,0.21162579473206175,0.10858720826652414,0.961892664337885,0.9720893141945773,54,33,0.013438933738029513,1.2637530687462077
21,1990.0,2089.5,199,84.94367552726622,86.41620598426059,67.38290273447225,68.4889040748753,1.4725304569943631,1.10600134040304,1.3314002462761534,0.012251998193856884,0.009666596985082878,0.01095929758946988,17.927301909385292,878,638,900,659,141,81,-970.8425025461206,0.9755555555555555,0.9681335356600911,0.8394077448747153,0.8730407523510972,15191,11864,15736,12237,2413,1748,-23796.472239572955,0.9653660396542959,0.9695186728773392,0.841155947600553,0.8526635198921106,878,638,188,70,3212,11979,420,125,1286,10578,335,38,0.2308083375699034,0.13246710795129527,0.2114409847936278,0.1083951449763992,0.9625412046748577,0.9712990936555891,50,58,0.007422019895464427,1.2674572254086622
22,2089.5,2189.0,199,86.41620598426059,87.85698870806094,68.4889040748753,69.60552157696667,1.4407827238003534,1.1166175020913727,1.2903099952327761,0.01235328138413171,0.00973731014272364,0.011045295763427675,18.251467131094273,839,655,863,685,129,97,-1290.7817260818567,0.9721900347624566,0.9562043795620438,0.8462455303933254,0.8519083969465648,16030,12519,16599,12922,2542,1845,-25057.38635637856,0.9657208265558166,0.9688128772635815,0.8414223331253898,0.8526240115025162,839,655,158,86,3366,12664,440,129,1370,11149,363,40,0.2292909211398277,0.1341123665067327,0.20998128509045538,0.10943366083553,0.9630901287553648,0.9716312056737588,39,38,0.01598565520041273,1.2686544028139946
