episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
1,0.0,99.5,199,60.81565575819663,61.292790273428544,48.29054967454462,48.70804568233419,0.4771345152319171,0.4174960077895662,1.1428480903520661,0.004795321761124795,0.00419593977677956,0.0044956307689521776,12.584744591094356,288,249,575,477,48,35,-570.9492388016332,0.5008695652173913,0.5220125786163522,0.8333333333333334,0.8594377510040161,288,249,575,477,48,35,-556.0618007091383,0.5008695652173913,0.5220125786163522,0.8333333333333334,0.8594377510040161,288,249,120,61,67,221,234,53,33,216,200,28,0.5234782608695652,0.48846960167714887,0.2326388888888889,0.13253012048192772,0.5583333333333333,0.5409836065573771,28,22,-0.021143013398960853,1.1428480903520661
2,99.5,199.0,199,61.292790273428544,61.788264499614314,48.70804568233419,49.11575699629303,0.4954742261857703,0.40771131395884197,1.2152574854368352,0.004887481112651695,0.004146770461047277,0.004517125786849486,12.672507503321285,310,266,621,527,56,54,-1230.3824129242823,0.499194847020934,0.5047438330170778,0.8193548387096774,0.7969924812030076,598,515,1196,1004,104,89,-1786.256645412069,0.5,0.5129482071713147,0.8260869565217391,0.8271844660194174,310,266,128,45,133,465,483,115,56,459,439,50,0.5150501672240803,0.49302788844621515,0.22240802675585283,0.1087378640776699,0.5362903225806451,0.5283018867924528,16,14,-0.00554898599614384,1.1786234995552056
3,199.0,298.5,199,61.788264499614314,62.297561751748184,49.11575699629303,49.51709349718977,0.5092972521338694,0.4013365008967398,1.2690030709788518,0.004964509191127494,0.004109024531474532,0.0045367668613010125,12.780468254558414,304,235,644,476,52,29,-403.5568973523863,0.4720496894409938,0.49369747899159666,0.8289473684210527,0.8765957446808511,902,750,1840,1480,156,118,-2121.5012481048825,0.4902173913043478,0.5067567567567568,0.8270509977827051,0.8426666666666667,304,235,129,50,197,705,758,180,85,665,659,71,0.5190217391304348,0.5027027027027027,0.21840354767184036,0.11333333333333333,0.5225464190981433,0.5448717948717948,36,13,-0.02164778955060287,1.208196532559023
4,298.5,398.0,199,62.297561751748184,62.83568567775511,49.51709349718977,49.94461572169559,0.538123926006925,0.42752222450582167,1.2587039811297513,0.005075452059192165,0.004155944842087863,0.0046156984506400146,12.891069956059518,335,244,646,466,63,28,-738.8177075028589,0.5185758513931888,0.5236051502145923,0.8119402985074626,0.8852459016393442,1237,994,2486,1946,219,146,-2875.2468377470345,0.497586484312148,0.5107913669064749,0.8229587712206952,0.8531187122736419,335,244,126,52,262,975,1008,241,109,885,853,99,0.5108608205953339,0.4943473792394656,0.211802748585287,0.1096579476861167,0.5208747514910537,0.5240384615384616,30,19,-0.005029298821403461,1.2212510637273906
5,398.0,497.5,199,62.83568567775511,63.37661451649443,49.94461572169559,50.43845726686147,0.540928838739319,0.4938415451658784,1.0953489920691548,0.005147655795573469,0.004317402195611755,0.0047325289955926116,12.938157249632958,323,284,658,544,52,31,-147.74326978348736,0.4908814589665654,0.5220588235294118,0.8390092879256966,0.8908450704225352,1560,1278,3144,2490,271,177,-2999.41490360636,0.4961832061068702,0.5132530120481927,0.8262820512820512,0.8615023474178404,323,284,144,82,333,1227,1270,314,157,1121,1079,133,0.5098600508905853,0.4963855421686747,0.21346153846153845,0.12284820031298904,0.5146831530139103,0.5413793103448276,24,19,-0.03117736456284642,1.192303974090158
6,497.5,597.0,199,63.37661451649443,63.93339648355887,50.43845726686147,50.89440290235401,0.5567819670644454,0.4559456354925402,1.221158672706617,0.005222346273638603,0.004361563195660617,0.0047919547346496096,13.038993581204863,333,264,635,486,50,40,-339.8518185623797,0.5244094488188976,0.5432098765432098,0.8498498498498499,0.8484848484848485,1893,1542,3779,2976,321,217,-3335.1894966095956,0.5009261709446944,0.5181451612903226,0.8304278922345483,0.8592736705577173,333,264,131,50,404,1489,1512,374,186,1356,1280,154,0.5070124371526858,0.49260752688172044,0.21341785525620707,0.12062256809338522,0.519280205655527,0.5470588235294118,29,24,-0.01880042772431223,1.1973565529978776
7,597.0,696.5,199,63.93339648355887,64.48249547207126,50.89440290235401,51.3477964408592,0.5490989885123909,0.45339353850518904,1.2110869297404125,0.005264665777278733,0.004389442593416479,0.004827054185347606,13.134699031212065,326,273,642,508,48,39,-526.5633776044217,0.5077881619937694,0.5374015748031497,0.852760736196319,0.8571428571428572,2219,1815,4421,3484,369,256,-3832.829647565515,0.5019226419362135,0.5209529276693455,0.8337088778729157,0.8589531680440772,326,273,125,54,461,1758,1760,442,215,1600,1490,179,0.5023750282741462,0.4893800229621125,0.2077512392969806,0.1184573002754821,0.5105204872646734,0.5456852791878173,25,18,-0.029613412809380235,1.199392785128335
8,696.5,796.0,199,64.48249547207126,65.07053648153091,51.3477964408592,51.78002310472727,0.5880410094596442,0.4322266638680716,1.360492210723797,0.005345327541877238,0.00438376059068172,0.004864544066279479,13.290513376803638,347,269,643,533,56,44,-713.9072066908986,0.5396578538102644,0.5046904315196998,0.8386167146974064,0.8364312267657993,2566,2084,5064,4017,425,300,-4563.606593550264,0.5067140600315956,0.5187951207368683,0.8343725643024162,0.8560460652591171,347,269,120,58,532,2034,2007,491,247,1837,1728,205,0.5013823064770933,0.4916604431167538,0.2073265783320343,0.11852207293666027,0.520039100684262,0.5464601769911505,21,19,0.0349674222905646,1.2193475057099286
9,796.0,895.5,199,65.07053648153091,65.63158083329843,51.78002310472727,52.167290716621615,0.5610443517675208,0.38726761189434455,1.448725208449878,0.005377917448466558,0.0043291357253791105,0.004853526586922834,13.464290116676814,351,237,682,506,69,31,-913.6015944076671,0.5146627565982405,0.4683794466403162,0.8034188034188035,0.869198312236287,2917,2321,5746,4523,494,331,-5487.518897556559,0.5076575008701706,0.5131549856290073,0.8306479259513199,0.8573890564411891,351,237,150,48,601,2316,2257,572,268,2053,1970,232,0.4973894883397146,0.4948043334070307,0.20603359616043881,0.11546747091770788,0.5123614663256607,0.536,27,17,0.046283309957924235,1.2422612247842155
10,895.5,995.0,199,65.63158083329843,66.166664991182,52.167290716621615,52.58596001128139,0.5350841578835741,0.41866929465977165,1.2780592336450327,0.005377898726618468,0.0043169953133032814,0.0048474470199608745,13.580704979900617,323,246,665,515,53,36,-541.1831020090781,0.4857142857142857,0.47766990291262135,0.8359133126934984,0.8536585365853658,3240,2567,6411,5038,547,367,-6041.261649332636,0.5053813757604118,0.5095275903136165,0.8311728395061728,0.8570315543435918,323,246,110,58,649,2591,2537,634,299,2268,2212,259,0.4969583528310716,0.49841206828106394,0.20030864197530865,0.1164783794312427,0.5058456742010912,0.53584229390681,22,13,0.008044382801664363,1.2457504204477359
