episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
1,0.0,99.5,199,60.81565575819663,60.966988912087196,48.29054967454462,48.41324952112095,0.1513331538905689,0.1226998465763316,1.2333605796028808,0.0015209362200057175,0.0012331642871993124,0.001377050253602515,12.553739390966243,97,76,535,464,15,15,-197.76588046657423,0.18130841121495328,0.16379310344827586,0.845360824742268,0.8026315789473684,97,76,535,464,15,15,-210.12354090409966,0.18130841121495328,0.16379310344827586,0.845360824742268,0.8026315789473684,97,76,98,60,19,78,359,79,11,65,339,49,0.7065420560747664,0.7543103448275862,0.1958762886597938,0.14473684210526316,0.19387755102040816,0.18333333333333332,8,7,0.017515307766677424,1.2333605796028808
2,99.5,199.0,199,60.966988912087196,61.12297619588701,48.41324952112095,48.54576554535613,0.15598728379981708,0.13251602423517994,1.1771201611284536,0.0015443238074893768,0.0012824918131231736,0.0014134078103062752,12.57721065053088,96,80,594,538,20,11,-290.4651923843176,0.16161616161616163,0.14869888475836432,0.7916666666666666,0.8625,193,156,1129,1002,35,26,-502.08873328841764,0.17094774136403898,0.15568862275449102,0.8186528497409327,0.8333333333333334,96,80,128,66,43,150,753,183,23,133,743,103,0.7050487156775908,0.7644710578842315,0.22279792746113988,0.14743589743589744,0.1902654867256637,0.18253968253968253,5,9,0.01291727685779731,1.2041588037342552
3,199.0,298.5,199,61.12297619588701,61.246694262193344,48.54576554535613,48.6472767450897,0.12371806630633131,0.10151119973356515,1.2187627240250551,0.0014440150887662221,0.001195065562965081,0.0013195403258656514,12.599417517103646,81,64,579,491,17,11,-372.2690591349634,0.13989637305699482,0.13034623217922606,0.7901234567901234,0.828125,274,220,1708,1493,52,37,-874.3577924233809,0.16042154566744732,0.14735432016075017,0.8102189781021898,0.8318181818181818,81,64,134,48,58,216,1132,302,29,191,1128,145,0.6967213114754098,0.7749497655726725,0.2116788321167883,0.1318181818181818,0.16111111111111112,0.16666666666666666,6,1,0.009550140877768759,1.2083145339603558
4,298.5,398.0,199,61.246694262193344,61.39101651574793,48.6472767450897,48.77882354540116,0.14432225355458428,0.1315468003114617,1.0971171720853286,0.0014456300440987477,0.0012268187709963277,0.0013362244075475378,12.612192970346769,87,75,578,486,16,7,-86.99125641328212,0.15051903114186851,0.15432098765432098,0.8160919540229885,0.9066666666666666,361,295,2286,1979,68,44,-961.3490488366625,0.157917760279965,0.14906518443658415,0.8116343490304709,0.8508474576271187,87,75,109,56,74,287,1530,395,35,260,1489,195,0.7016622922134733,0.7700859019706923,0.20498614958448755,0.11864406779661017,0.15778251599147122,0.15217391304347827,6,5,-0.0038019565124524646,1.1783566393630562
5,398.0,497.5,199,61.39101651574793,61.542040664993856,48.77882354540116,48.91037367777858,0.15102414924592722,0.13155013237741997,1.1480349469557043,0.0014600701644165402,0.0012458773934350923,0.0013529737789258161,12.631666987215276,90,76,628,498,12,8,-45.53217394799738,0.14331210191082802,0.15261044176706828,0.8666666666666667,0.8947368421052632,451,371,2914,2477,80,52,-1006.8812227846602,0.1547700754975978,0.14977795720629794,0.8226164079822617,0.8598382749326146,90,76,125,60,92,359,1961,502,41,330,1857,249,0.7045298558682224,0.766249495357287,0.2039911308203991,0.1105121293800539,0.15488215488215487,0.1413793103448276,9,5,-0.009298339856240262,1.171921227650566
6,497.5,597.0,199,61.542040664993856,61.68806653967103,48.91037367777858,49.03076739036575,0.14602587467717143,0.12039371258717324,1.212902829717447,0.0014613245920844225,0.0012398956713921803,0.0013506101317383014,12.657299149305274,101,73,565,487,24,12,-379.6727852680191,0.17876106194690267,0.14989733059548255,0.7623762376237624,0.8356164383561644,552,444,3479,2964,104,64,-1386.554008052678,0.15866628341477437,0.14979757085020243,0.8115942028985508,0.8558558558558559,101,73,114,49,120,432,2339,588,49,395,2230,290,0.706812302385743,0.7688933873144399,0.21739130434782608,0.11036036036036036,0.1694915254237288,0.14454277286135694,8,5,0.02886373135142012,1.1785867358046482
7,597.0,696.5,199,61.68806653967103,61.84957388892446,49.03076739036575,49.149813401707554,0.16150734925343357,0.11904601134180126,1.3566800553251517,0.001484448141748505,0.0012336880504851871,0.001359068096116846,12.699760487216906,102,74,587,470,15,9,-115.8852174480587,0.1737649063032368,0.1574468085106383,0.8529411764705882,0.8783783783783784,654,518,4066,3434,119,73,-1489.5131688842716,0.16084604033448105,0.15084449621432733,0.8180428134556574,0.859073359073359,102,74,120,51,135,519,2719,693,58,460,2584,332,0.7019183472700443,0.7693651718112988,0.20642201834862386,0.11196911196911197,0.16304347826086957,0.14871794871794872,7,4,0.01631809779259849,1.203260533458761
8,696.5,796.0,199,61.84957388892446,62.019590225046905,49.149813401707554,49.25242058362709,0.17001633612244405,0.10260718191953799,1.656963313306535,0.0015124804859928114,0.0012083805390483303,0.0013604305125205708,12.767169641419812,94,67,620,464,11,13,-45.275480880807706,0.15161290322580645,0.14439655172413793,0.8829787234042553,0.8059701492537313,748,585,4686,3898,130,86,-1534.7886497650788,0.1596244131455399,0.1500769625448948,0.8262032085561497,0.852991452991453,94,67,120,51,153,595,3143,795,69,516,2941,372,0.7033717456252667,0.7721908671113391,0.20454545454545456,0.11794871794871795,0.16139240506329114,0.1564625850340136,4,5,0.007216351501668522,1.2516590900942326
9,796.0,895.5,199,62.019590225046905,62.16657267769979,49.25242058362709,49.39796611798627,0.14698245265288534,0.14554553435917938,1.0098726374535127,0.001508561607485386,0.0012366459446584593,0.0013726037760719227,12.768606559713518,87,82,608,497,12,9,-97.80521215685337,0.14309210526315788,0.16498993963782696,0.8620689655172413,0.8902439024390244,835,667,5294,4395,142,95,-1632.5938619219319,0.15772572723838307,0.15176336746302616,0.829940119760479,0.8575712143928036,87,82,150,60,166,669,3527,932,73,594,3300,428,0.6975821684926332,0.7674630261660979,0.19880239520958085,0.10944527736131934,0.151183970856102,0.14570858283433133,4,3,-0.02189783437466908,1.2198815788798993
10,895.5,995.0,199,62.16657267769979,62.332353198577756,49.39796611798627,49.550428062029575,0.16578052087796635,0.15246194404330282,1.0873567296956461,0.0015243190355589242,0.0012662094346582442,0.0013952642351085843,12.781925136548182,100,88,610,498,16,8,101.5373587505947,0.16393442622950818,0.17670682730923695,0.84,0.9090909090909091,935,755,5904,4893,158,103,-1531.056503171336,0.15836720867208673,0.1543020641733088,0.8310160427807487,0.8635761589403974,100,88,114,57,187,748,3944,1025,87,668,3667,471,0.6996951219512195,0.7672184753729818,0.2,0.1152317880794702,0.1542904290429043,0.15591397849462366,4,5,-0.012772401079728768,1.2038443197750655
11,995.0,1094.5,199,62.332353198577756,62.45953685562826,49.550428062029575,49.657246106956386,0.1271836570505016,0.10681804492681124,1.1906570386833453,0.00150194709678541,0.0012486947760728775,0.0013753209364291436,12.802290748671872,75,70,572,463,12,12,-149.11225983824417,0.13111888111888112,0.1511879049676026,0.84,0.8285714285714285,1010,825,6476,5356,170,115,-1680.1687630095798,0.15596046942557135,0.15403286034353997,0.8316831683168316,0.8606060606060606,75,70,129,65,207,803,4332,1134,97,728,4005,526,0.7008956145768993,0.7658700522778192,0.20495049504950494,0.11757575757575757,0.15436241610738255,0.15569823434991975,3,10,-0.020069023848721473,1.2028136303324712
12,1094.5,1194.0,199,62.45953685562826,62.633948974096874,49.657246106956386,49.78446790369161,0.17441211846861648,0.1272217967352276,1.370929533652168,0.001522858639782452,0.0012511877966055209,0.0013870232181939866,12.849481070405261,104,85,594,476,16,17,-290.3956163551287,0.1750841750841751,0.17857142857142858,0.8461538461538461,0.8,1114,910,7070,5832,186,132,-1943.6359561650122,0.15756718528995756,0.15603566529492455,0.8330341113105925,0.8549450549450549,104,85,126,50,233,881,4722,1234,106,804,4355,567,0.7008486562942009,0.7649176954732511,0.20915619389587073,0.11648351648351649,0.15882753919563736,0.1575037147102526,3,5,-0.0034872534872534833,1.2171303491881678
13,1194.0,1293.5,199,62.633948974096874,62.818971451406846,49.78446790369161,49.940479456675355,0.18502247730997112,0.1560115529837418,1.1859536923477236,0.001548755850954943,0.0012755545281258089,0.001412155189540376,12.87849199473149,117,89,661,521,22,13,-115.43160897416938,0.17700453857791226,0.1708253358925144,0.811965811965812,0.8539325842696629,1231,999,7731,6353,208,145,-2038.7455721927713,0.15922907773897296,0.15724854399496302,0.8310316815597075,0.8548548548548549,117,89,125,68,251,980,5159,1341,117,882,4730,624,0.6997801060664856,0.7629466393829687,0.20389926888708368,0.11711711711711711,0.15766331658291458,0.15789473684210525,10,10,0.006179202685397872,1.214182394248996
14,1293.5,1393.0,199,62.818971451406846,63.004405997670624,49.940479456675355,50.0492760777015,0.1854345462637781,0.10879662102614418,1.7044145720225774,0.0015712492745685548,0.001262545874484478,0.0014168975745265165,12.955129919969124,117,74,609,482,22,15,-460.7506712497184,0.1921182266009852,0.15352697095435686,0.811965811965812,0.7972972972972973,1348,1073,8340,6835,230,160,-2499.496243442493,0.16163069544364508,0.15698610095098756,0.8293768545994065,0.8508853681267474,117,74,137,60,272,1076,5535,1457,122,951,5083,679,0.6962829736211031,0.761521580102414,0.20178041543026706,0.11369990680335508,0.15731636784268363,0.1523096129837703,7,5,0.03859125564662835,1.2445086600992825
15,1393.0,1492.5,199,63.004405997670624,63.159283147724565,50.0492760777015,50.21067067102952,0.15487715005394165,0.1613945933280192,0.9596179578281692,0.0015702696077239118,0.0012865132304756429,0.0014283914190997772,12.948612476695047,98,88,604,511,22,9,-203.5753120150969,0.16225165562913907,0.17221135029354206,0.7755102040816326,0.8977272727272727,1446,1161,8944,7346,252,169,-2703.0715554575913,0.1616726296958855,0.1580451946637626,0.8257261410788381,0.8544358311800172,98,88,143,55,290,1156,5916,1582,131,1030,5460,725,0.6938729874776386,0.7610944731826844,0.20055325034578148,0.11283376399655469,0.15491452991452992,0.1530373831775701,7,5,-0.009959694664402996,1.220562346757491
16,1492.5,1592.0,199,63.159283147724565,63.300059138359956,50.21067067102952,50.34552875962859,0.14077599063539026,0.13485808859907422,1.0438824404067422,0.0015605548870372668,0.0012908160082185749,0.0014256854476279207,12.954530378731363,86,93,587,476,13,20,-320.6790471824074,0.1465076660988075,0.1953781512605042,0.8488372093023255,0.7849462365591398,1532,1254,9531,7822,265,189,-3023.750602639998,0.1607386423250446,0.1603170544617745,0.827023498694517,0.8492822966507176,86,93,122,56,311,1221,6316,1683,140,1114,5796,772,0.6953100409191061,0.7588851956021477,0.20300261096605743,0.11164274322169059,0.1559679037111334,0.15350877192982457,9,7,-0.0488704851616967,1.20896772049717
17,1592.0,1691.5,199,63.300059138359956,63.48937102812852,50.34552875962859,50.51641076319245,0.18931188976856106,0.17088200356385386,1.1078515339259847,0.0015806770735630445,0.001315909600146512,0.0014482933368547782,12.97296026493607,125,105,613,514,23,16,-294.7929086759678,0.2039151712887439,0.20428015564202334,0.8160000000000001,0.8476190476190476,1657,1359,10144,8336,288,205,-3290.6435167070695,0.16334779179810727,0.1630278310940499,0.8261919130959565,0.8491537895511405,125,105,126,58,344,1313,6711,1776,151,1208,6158,819,0.6954850157728707,0.756837811900192,0.2076041038020519,0.1111111111111111,0.16226415094339622,0.1556701030927835,10,9,-0.0003649843532794461,1.2012049105706453
18,1691.5,1791.0,199,63.48937102812852,63.63022635394593,50.51641076319245,50.65244981569501,0.14085532581741234,0.13603905250256076,1.0354036082011149,0.0015715078703234517,0.0013187605478226611,0.0014451342090730564,12.977776538250922,96,81,624,475,21,12,-415.2406215364496,0.15384615384615385,0.1705263157894737,0.78125,0.8518518518518519,1753,1440,10768,8811,309,217,-3705.884138243518,0.16279717682020803,0.1634320735444331,0.8237307472903594,0.8493055555555555,96,81,123,59,365,1388,7137,1878,163,1277,6505,866,0.6966939078751857,0.7567812961071388,0.20821448944666288,0.11319444444444444,0.16272848863129738,0.15840621963070942,10,2,-0.016680161943319838,1.1916552045161566
