episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
1,0.0,99.5,199,60.81565575819663,61.765343751509576,48.29054967454462,49.020085918692665,0.9496879933129492,0.7295362441480435,1.3017694472767423,0.009544602947868836,0.007332022554251694,0.008438312751060266,12.745257832816911,572,452,618,485,94,81,-1348.0855232746026,0.9255663430420712,0.931958762886598,0.8356643356643356,0.8207964601769911,572,452,618,485,94,81,-1371.2574320784477,0.9255663430420712,0.931958762886598,0.8356643356643356,0.8207964601769911,572,452,123,50,112,460,35,11,46,406,29,4,0.23786407766990292,0.15463917525773196,0.1958041958041958,0.10176991150442478,0.9105691056910569,0.92,42,49,-0.006392419844526764,1.3017694472767423
2,99.5,199.0,199,61.765343751509576,62.84527751056037,49.020085918692665,49.784628568561864,1.079933759050796,0.764542649869199,1.4125225835805961,0.010199104283234901,0.007507934140790163,0.008853519212012533,13.060648941998508,639,457,694,507,92,72,-630.8337306743837,0.920749279538905,0.9013806706114399,0.8560250391236307,0.8424507658643325,1211,909,1312,992,186,153,-2029.3159577972433,0.9230182926829268,0.9163306451612904,0.8464079273327828,0.8316831683168316,639,457,132,65,234,977,80,21,103,806,71,12,0.23932926829268292,0.17540322580645162,0.19322873658133774,0.11331133113311331,0.9176470588235294,0.8956521739130435,29,26,0.01936860892746506,1.3584434935069247
3,199.0,298.5,199,62.84527751056037,63.89280110441884,49.784628568561864,50.615130474659196,1.0475235938584646,0.8305019060973322,1.2613138948481812,0.010308694627210083,0.007787540368893047,0.009048117498051565,13.27767062975964,619,494,669,529,96,76,-1014.7493523872648,0.9252615844544095,0.9338374291115312,0.8449111470113085,0.8461538461538461,1830,1403,1981,1521,282,229,-3095.6891128489274,0.9237758707723372,0.9224194608809994,0.8459016393442623,0.8367783321454028,619,494,143,59,366,1464,119,32,160,1243,104,14,0.24482584553255932,0.17357001972386588,0.2,0.11404133998574484,0.9195979899497487,0.9195402298850575,45,51,-0.00857584465712169,1.3237420467684076
4,298.5,398.0,199,63.89280110441884,64.88787128885426,50.615130474659196,51.450957398283336,0.99507018443542,0.8358269236241398,1.1905218129619497,0.010231697313210124,0.00794072292396662,0.009086210118588373,13.43691389057092,586,491,648,538,98,71,-1195.647806933286,0.904320987654321,0.912639405204461,0.8327645051194539,0.8553971486761711,2416,1894,2629,2059,380,300,-4292.114079393729,0.9189806009889692,0.9198640116561437,0.8427152317880795,0.8416050686378036,586,491,130,66,487,1929,172,41,222,1672,147,18,0.2506656523392925,0.17921321029626033,0.2015728476821192,0.11721224920802534,0.9223484848484849,0.925,46,32,-0.008318417550139956,1.2885095489642269
5,398.0,497.5,199,64.88787128885426,65.9854426803819,51.450957398283336,52.38624959485421,1.0975713915276373,0.9352921965708774,1.173506413879785,0.010391531501879934,0.008232562653888626,0.00931204707788428,13.59919308552768,658,519,710,557,109,71,-1081.7087616986223,0.9267605633802817,0.9317773788150808,0.8343465045592705,0.8631984585741811,3074,2413,3339,2616,489,371,-5397.788260779168,0.9206349206349206,0.9224006116207951,0.8409238776837996,0.8462494819726482,658,519,169,56,637,2437,205,60,272,2141,179,24,0.25217130877508237,0.17240061162079512,0.20722186076772933,0.112722751761293,0.9139167862266858,0.918918918918919,47,36,-0.005016815434799149,1.2622474846239433
6,497.5,597.0,199,65.9854426803819,67.09350738004349,52.38624959485421,53.20206649767497,1.1080646996615968,0.8158169028207567,1.3582271902314949,0.010515664358202451,0.008226996353652176,0.009371330355927313,13.89144088236852,629,485,678,531,86,76,-633.0774485115894,0.9277286135693216,0.9133709981167608,0.8632750397456279,0.843298969072165,3703,2898,4017,3147,575,447,-6026.980145323126,0.921832213094349,0.9208770257387988,0.84472049689441,0.8457556935817805,629,485,144,63,772,2931,245,69,334,2564,224,25,0.25317401045556387,0.1773117254528122,0.20847961112611396,0.11525189786059352,0.9179548156956004,0.9303621169916435,51,40,0.014357615452560757,1.2781899864990554
7,597.0,696.5,199,67.09350738004349,68.1512411631137,53.20206649767497,54.057110674260336,1.057733783070205,0.8550441765853662,1.2370516191271932,0.01053206806161819,0.00827934099025946,0.009405704525938825,14.09413048885336,621,478,678,543,95,52,-286.4273082671115,0.915929203539823,0.8802946593001841,0.8470209339774557,0.891213389121339,4324,3376,4695,3690,670,499,-6244.756471518284,0.9209797657082002,0.9149051490514906,0.8450508788159112,0.8521919431279621,621,478,145,51,903,3421,288,83,379,2997,283,31,0.2536741214057508,0.17940379403794038,0.20883441258094357,0.11226303317535545,0.9158215010141988,0.9243902439024391,40,34,0.035634544239638855,1.2720901426827367
8,696.5,796.0,199,68.1512411631137,69.26890440921377,54.057110674260336,54.90227990715322,1.1176632461000793,0.8451692328928857,1.3224135505672492,0.010619659109318025,0.008306193759558543,0.009462926434438284,14.366624502060553,656,512,710,562,104,89,-1391.4280544233143,0.923943661971831,0.9110320284697508,0.8414634146341463,0.826171875,4980,3888,5405,4252,774,588,-7652.74898460739,0.9213691026827012,0.9143932267168391,0.844578313253012,0.8487654320987654,656,512,129,65,1020,3960,330,95,439,3449,328,36,0.24976873265494912,0.1803857008466604,0.20481927710843373,0.11291152263374486,0.9147982062780269,0.9242105263157895,53,25,0.012911633502080133,1.2785229211752023
9,796.0,895.5,199,69.26890440921377,70.39210290588005,54.90227990715322,55.79128551540384,1.1231984966662765,0.8890056082506206,1.263432408347231,0.010693966664079759,0.008376031089736707,0.009534998876908233,14.600817390476209,682,507,747,551,122,70,-1332.7756978552795,0.9129852744310576,0.9201451905626135,0.8211143695014662,0.8619329388560157,5662,4395,6152,4803,896,658,-8968.144647361985,0.9203511053315995,0.915053091817614,0.8417520310844224,0.8502844141069397,682,507,180,62,1187,4475,382,108,499,3896,370,38,0.25503901170351106,0.180928586300229,0.209643235605793,0.11353811149032993,0.9166023166023166,0.9292364990689013,52,38,-0.007159916131555866,1.276734356583664
10,895.5,995.0,199,70.39210290588005,71.52534080552242,55.79128551540384,56.720888317701736,1.133237899642367,0.929602802297893,1.2190560278444802,0.010763502560126424,0.008472702153926748,0.009618102357026585,14.804452487820683,666,532,736,578,96,75,-600.5802168371195,0.904891304347826,0.9204152249134948,0.8558558558558559,0.8590225563909775,6328,4927,6888,5381,992,733,-9585.711057045442,0.9186991869918699,0.9156290652295113,0.843236409608091,0.8512279277450782,666,532,151,67,1326,5002,440,120,559,4368,409,45,0.25638792102206737,0.17989221334324476,0.2095448798988622,0.11345646437994723,0.91701244813278,0.9254966887417219,57,34,-0.015523920565668758,1.2703742400690887
