episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
1,0.0,99.5,199,60.81565575819663,61.780495173554975,48.29054967454462,48.9833211611883,0.9648394153583482,0.6927714866436787,1.3927239125166324,0.009696878546315056,0.00696252750395657,0.008329703025135813,12.797174012366675,572,427,632,483,85,69,-1000.6789424925121,0.9050632911392406,0.8840579710144928,0.8513986013986015,0.8384074941451991,572,427,632,483,85,69,-942.1789902923002,0.9050632911392406,0.8840579710144928,0.8513986013986015,0.8384074941451991,572,427,143,39,128,444,45,15,36,391,53,3,0.2737341772151899,0.18426501035196688,0.22377622377622378,0.08430913348946135,0.8951048951048951,0.9230769230769231,44,49,0.02100532012474776,1.3927239125166324
2,99.5,199.0,199,61.780495173554975,62.79148701461767,48.9833211611883,49.744712861553126,1.0109918410626975,0.7613917003648254,1.3278209370791336,0.009928800283522842,0.007307352698535196,0.008618076491029018,13.046774153064547,619,444,692,507,111,55,-892.7949609227851,0.8945086705202312,0.8757396449704142,0.8206785137318255,0.8761261261261262,1191,871,1324,990,196,124,-1826.8542714593686,0.899546827794562,0.8797979797979798,0.8354324097397146,0.8576349024110218,619,444,148,68,259,932,101,32,98,773,110,9,0.2719033232628399,0.2101010101010101,0.2174643157010915,0.11251435132032148,0.8900343642611683,0.9158878504672897,37,25,0.018769025549816964,1.3587410780805929
3,199.0,298.5,199,62.79148701461767,63.745850261714196,49.744712861553126,50.53304915088541,0.9543632470965235,0.7883362893322854,1.210604230720955,0.009816396996708774,0.007512561059768139,0.008664479028238456,13.212801110828785,570,455,651,522,91,57,-426.68875383035146,0.8755760368663594,0.8716475095785441,0.8403508771929824,0.8747252747252747,1761,1326,1975,1512,287,181,-2293.2719180289487,0.8916455696202532,0.876984126984127,0.8370244179443498,0.8634992458521871,570,455,140,48,386,1375,169,45,138,1188,169,17,0.2810126582278481,0.20304232804232805,0.21919363997728564,0.10407239819004525,0.8955916473317865,0.8903225806451613,39,47,0.003928527287815342,1.3066645207422432
4,298.5,398.0,199,63.745850261714196,64.7705757510347,50.53304915088541,51.35858364379617,1.0247254893205024,0.8255344929107622,1.2412873091558057,0.00993698490662832,0.00770862806344611,0.008822806485037214,13.411992107238525,578,487,647,537,81,75,-709.7304264120277,0.893353941267388,0.9068901303538175,0.8598615916955017,0.8459958932238193,2339,1813,2622,2049,368,256,-2963.8931442677026,0.8920671243325705,0.8848218643240605,0.8426678067550235,0.8587975730832873,578,487,136,73,509,1830,225,58,205,1608,213,23,0.2799389778794813,0.20400195217179112,0.2176143651132963,0.11307225592939879,0.8977072310405644,0.8991228070175439,46,32,-0.013536189086429506,1.2890730782237316
5,398.0,497.5,199,64.7705757510347,65.78280108473928,51.35858364379617,52.28893122296715,1.0122253337045777,0.9303475791709772,1.0880077041814424,0.009984211711643516,0.008036947836025184,0.00901057977383435,13.493869861772126,607,512,693,576,95,67,-569.2777775362457,0.8759018759018758,0.8888888888888888,0.8434925864909391,0.869140625,2946,2325,3315,2625,463,323,-3551.5565587179203,0.8886877828054298,0.8857142857142857,0.8428377460964019,0.8610752688172043,607,512,156,61,645,2301,291,78,258,2067,269,31,0.2823529411764706,0.20076190476190475,0.2189409368635438,0.11096774193548387,0.8921161825726142,0.8927335640138409,52,34,-0.012987012987012991,1.242288977774601
6,497.5,597.0,199,65.78280108473928,66.77002874354132,52.28893122296715,53.06197557843655,0.9872276588020412,0.773044355469402,1.277064701161403,0.009973824096054759,0.00799233819747392,0.00898308114676434,13.708053165104765,611,458,691,504,114,78,-1801.768048372837,0.8842257597684515,0.9087301587301587,0.8134206219312602,0.8296943231441047,3557,2783,4006,3129,577,401,-5319.955195266016,0.8879181228157763,0.8894215404282518,0.8377846499859432,0.855910887531441,611,458,138,51,766,2791,354,95,303,2480,309,37,0.2795806290564154,0.1955896452540748,0.21535001405678944,0.10887531440891125,0.8896631823461092,0.8911764705882353,38,46,-0.024504398961707197,1.247923179628098
7,597.0,696.5,199,66.77002874354132,67.79523088604239,53.06197557843655,53.88614754310043,1.0252021425010724,0.8241719646638757,1.2439177580120473,0.010020926242420335,0.00803388064401408,0.009027403443217208,13.909083342941962,606,486,677,544,101,80,-1185.5398886733437,0.8951255539143279,0.8933823529411765,0.8333333333333334,0.8353909465020576,4163,3269,4683,3673,678,481,-6469.511404604451,0.8889600683322656,0.8900081677103185,0.8371366802786452,0.8528602018966045,606,486,142,70,901,3262,418,102,364,2905,358,46,0.2816570574418108,0.1965695616662129,0.2164304588037473,0.11134903640256959,0.8983050847457628,0.8878048780487805,41,38,0.001743200973151393,1.2473332236877046
8,696.5,796.0,199,67.79523088604239,68.86837706198286,53.88614754310043,54.69178101801044,1.0731461759404652,0.8056334749100102,1.3320526137029451,0.010116484049982699,0.008041747918926905,0.009079115984454801,14.176596043972417,641,482,725,544,112,79,-1397.2341274793625,0.8841379310344828,0.8860294117647058,0.8252730109204368,0.8360995850622407,4804,3751,5408,4217,790,560,-7886.502888384216,0.8883136094674556,0.8894949015888072,0.8355537052456287,0.8507064782724607,641,482,165,59,1053,3751,489,115,416,3335,413,53,0.28513313609467456,0.19658525017785156,0.21919233971690258,0.11090375899760065,0.901541095890411,0.8869936034115139,48,31,-0.0018914807302230496,1.2579956685999487
9,796.0,895.5,199,68.86837706198286,69.9172427659113,54.69178101801044,55.580536386221745,1.048865703928442,0.8887553682113065,1.1801511883291018,0.01016369291760432,0.008140688678589752,0.009152190798097037,14.336706379689552,621,510,702,565,103,65,-724.2903089053376,0.8846153846153846,0.9026548672566371,0.8341384863123994,0.8725490196078431,5425,4261,6110,4782,893,625,-8634.943031432014,0.8878887070376432,0.8910497699707235,0.8353917050691244,0.8533208167096926,621,510,156,60,1192,4233,553,132,466,3795,458,63,0.2855973813420622,0.1932245922208281,0.21972350230414747,0.10936399906125323,0.9003021148036254,0.8809073724007561,49,35,-0.018039482641252547,1.2485052946853414
10,895.5,995.0,199,69.9172427659113,70.90106385563318,55.580536386221745,56.504377214777946,0.9838210897218858,0.9238408285562016,1.06492488674637,0.010136088540137242,0.008255103055510879,0.009195595797824061,14.396686640855236,584,553,655,607,90,93,-1276.4115664939284,0.8916030534351145,0.9110378912685337,0.845890410958904,0.8318264014466547,6009,4814,6765,5389,983,718,-9929.767000170701,0.8882483370288249,0.8933011690480609,0.836412048593776,0.8508516825924387,584,553,119,56,1300,4709,613,143,516,4298,506,69,0.2827790096082779,0.1896455743180553,0.2163421534365119,0.10718737017033651,0.9009009009009009,0.882051282051282,45,39,-0.01943483783341926,1.2278572989310736
