episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
1,0.0,99.5,199,60.81565575819663,61.83449615902826,48.29054967454462,49.08974613798167,1.0188404008316354,0.799196463437049,1.2748309676571628,0.010239602018408397,0.008032125260673859,0.009135863639541128,12.744750021046592,622,472,634,482,107,67,-965.1592482368854,0.9810725552050473,0.979253112033195,0.8279742765273312,0.8580508474576272,622,472,634,482,107,67,-953.7498290661201,0.9810725552050473,0.979253112033195,0.8279742765273312,0.8580508474576272,622,472,145,46,142,480,9,3,44,428,8,2,0.23817034700315456,0.1078838174273859,0.2282958199356913,0.09322033898305085,0.9793103448275862,0.9565217391304348,52,48,0.0018194431718523418,1.2748309676571628
2,99.5,199.0,199,61.83449615902826,62.97020500730618,49.08974613798167,49.954548350791875,1.1357088482779147,0.8648022128102042,1.3132584901550959,0.01082688064879171,0.008361802393202278,0.009594341520996995,13.015656656514302,676,521,688,527,99,83,-854.1562810719837,0.9825581395348837,0.9886148007590133,0.8535502958579881,0.8406909788867563,1298,993,1322,1009,206,150,-1770.3300970063751,0.9818456883509834,0.9841427155599604,0.8412942989214176,0.8489425981873112,676,521,129,59,269,1029,19,5,101,892,12,4,0.2178517397881997,0.11199207135777998,0.20724191063174113,0.10171198388721048,0.9817518248175182,0.9619047619047619,36,29,-0.0060566612241296225,1.2948022614829329
3,199.0,298.5,199,62.97020500730618,63.971217169852245,49.954548350791875,50.89727164746813,1.0010121625460684,0.942723296676256,1.0618303017177155,0.01057139501392167,0.008732736927716948,0.009652065970819308,13.073945522384115,619,550,627,559,96,81,-929.5685916176271,0.9872408293460925,0.9838998211091234,0.8449111470113085,0.8527272727272728,1917,1543,1949,1568,302,231,-2689.8560726959786,0.9835813237557722,0.9840561224489796,0.8424621804903495,0.8502916396629941,619,550,153,71,422,1495,27,5,169,1374,18,7,0.23037455105182145,0.11926020408163265,0.22013562858633282,0.10952689565780946,0.9882903981264637,0.9602272727272727,51,48,0.003341008236969034,1.2105477471065205
4,298.5,398.0,199,63.971217169852245,65.03232200562461,50.89727164746813,51.77322494612221,1.0611048357723618,0.8759532986540819,1.2113714708338545,0.010594638812633117,0.00875044038084822,0.009672539596740668,13.259097059502395,664,504,682,510,129,62,-1494.185664887563,0.9736070381231672,0.9882352941176471,0.8057228915662651,0.876984126984127,2581,2047,2631,2078,431,293,-4140.060197432933,0.9809958190801976,0.9850818094321463,0.833010461061604,0.8568637029799707,664,504,154,56,571,2010,40,10,225,1822,24,7,0.2322310908399848,0.11982675649663138,0.22123208058891902,0.10991695163654128,0.9827882960413081,0.9698275862068966,54,29,-0.014628255994479922,1.2107549279258254
5,398.0,497.5,199,65.03232200562461,66.17032856794599,51.77322494612221,52.745807500793056,1.1380065623213795,0.9725825546708435,1.1700873687853894,0.01076316142663188,0.00895529211306218,0.009859226769847029,13.42452106715293,688,574,701,584,115,90,-1386.98058510203,0.9814550641940085,0.9828767123287672,0.8328488372093024,0.8432055749128919,3269,2621,3332,2662,546,383,-5539.173009465162,0.9810924369747899,0.9845980465815176,0.8329764453961456,0.8538725677222434,688,574,151,67,720,2549,51,12,290,2331,32,9,0.23139255702280911,0.12096168294515403,0.22025084123585195,0.11064479206409768,0.9836065573770492,0.9698996655518395,47,45,-0.0014216481347586463,1.2018772018539454
6,497.5,597.0,199,66.17032856794599,67.27547197860275,52.745807500793056,53.61306509133155,1.1051434106567655,0.8672575905384932,1.2742966135016074,0.01082046268074728,0.008915436209023329,0.009867949444885303,13.662406887271203,687,518,701,527,140,71,-1877.1645283527469,0.9800285306704708,0.9829222011385199,0.7962154294032023,0.8629343629343629,3956,3139,4033,3189,686,454,-7415.345414266539,0.9809075130176048,0.9843211037942928,0.826592517694641,0.8553679515769353,687,518,147,52,865,3091,63,14,342,2797,41,9,0.23010166129432186,0.12010034493571653,0.2186552072800809,0.1089518955081236,0.9840728100113766,0.9743589743589743,55,41,-0.0028936704680491143,1.2136773150590061
7,597.0,696.5,199,67.27547197860275,68.3884033865321,53.61306509133155,54.491834493212885,1.1129314079293522,0.8787694018813355,1.2664658163412439,0.010872573766454383,0.008903495791339934,0.009888034778897159,13.89656889331922,700,526,709,531,137,85,-2021.5766014602552,0.9873060648801129,0.9905838041431262,0.8042857142857143,0.8384030418250951,4656,3665,4742,3720,823,539,-9333.970489247742,0.981864192323914,0.9852150537634409,0.8232388316151202,0.8529331514324693,700,526,160,63,1025,3631,72,14,404,3261,45,10,0.23133698861239982,0.1206989247311828,0.22014604810996563,0.11023192360163711,0.9865255052935515,0.9758454106280193,53,33,-0.003277739263013335,1.2211578486991246
8,696.5,796.0,199,68.3884033865321,69.56512709067897,54.491834493212885,55.480472718176586,1.1767237041468661,0.9886382249637009,1.1902470230605042,0.010991798156384854,0.009032566637728598,0.010012182397056726,14.084654372502385,709,562,725,572,119,75,-916.004632242921,0.9779310344827586,0.9825174825174825,0.8321579689703809,0.8665480427046264,5365,4227,5467,4292,942,614,-10248.139849747531,0.9813426010609109,0.9848555452003728,0.8244175209692451,0.8547433167731251,709,562,160,62,1184,4181,87,15,464,3763,53,12,0.2324858240351198,0.12045666356011184,0.2206896551724138,0.10977052282942985,0.987489574645538,0.9747899159663865,46,33,-0.004586448034723856,1.216907507825366
9,796.0,895.5,199,69.56512709067897,70.80051559418233,55.480472718176586,56.437192428371674,1.2353885035033585,0.9567197101950882,1.2912752714705187,0.011150038901156564,0.009097311841236239,0.010123675371196402,14.363323165810655,737,559,743,565,111,80,-630.8119331898957,0.9919246298788694,0.9893805309734514,0.8493894165535957,0.8568872987477638,6102,4786,6210,4857,1053,694,-10902.810102846306,0.9826086956521739,0.9853819229977352,0.8274336283185841,0.8549937317175094,737,559,159,61,1343,4759,93,15,524,4262,58,13,0.23123993558776168,0.11982705373687462,0.22009177318911832,0.109486000835771,0.9889543446244478,0.9757914338919925,46,54,0.0025440989054180685,1.225641057022552
10,895.5,995.0,199,70.80051559418233,72.02883668006592,56.437192428371674,57.3977176793155,1.228321085883593,0.9605252509438245,1.278801452306047,0.011269528564692759,0.009152932668111433,0.010211230616402096,14.631119000750424,772,548,791,559,154,73,-1959.2299267272856,0.9759797724399494,0.9803220035778175,0.8005181347150259,0.8667883211678832,6874,5334,7001,5416,1207,767,-12808.374988779302,0.981859734323668,0.9848596750369276,0.8244108233924934,0.8562054743157106,772,548,151,74,1488,5386,106,21,597,4737,68,14,0.22768175974860735,0.12278434268833087,0.21646784986907186,0.11192350956130484,0.9860834990059643,0.9770867430441899,56,41,-0.0043422311378681355,1.2312478386250438
